utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
637014884079266179; -0,19642; 2,14394; -0,66763; -0,13008; 0,36932; 0,92015
637014884090392671; -0,14433; 2,15093; -0,59891; 0,51250; 0,41337; 0,75264
637014884092936236; -0,19992; 2,14157; -0,59816; 0,15322; 0,32279; 0,93398
637014884095489432; -0,19700; 2,12978; -0,57812; -0,10963; 0,09711; 0,98922
637014884098103975; -0,17617; 2,13130; -0,58546; -0,09308; 0,12534; 0,98774
637014884100647172; -0,16221; 2,14479; -0,60472; -0,06834; 0,30701; 0,94925
637014884103210313; -0,16260; 2,14305; -0,60746; -0,06663; 0,30137; 0,95118
637014884105761181; -0,16767; 2,14104; -0,60080; -0,05011; 0,25242; 0,96632
637014884108314366; -0,18223; 2,12939; -0,57765; -0,05461; 0,09751; 0,99373
637014884110869830; -0,16847; 2,12873; -0,58108; -0,00518; 0,09611; 0,99536
637014884113423114; -0,16935; 2,12946; -0,58734; -0,03052; 0,10646; 0,99385
637014884115976171; -0,17326; 2,12844; -0,59064; -0,06348; 0,08732; 0,99416
637014884118530636; -0,17584; 2,12462; -0,59166; -0,07494; 0,05261; 0,99580
637014884121079501; -0,18111; 2,12558; -0,58914; -0,09874; 0,06117; 0,99323
637014884123642734; -0,18515; 2,12558; -0,58951; -0,09698; 0,06078; 0,99343
637014884126195810; -0,18337; 2,12936; -0,58814; -0,11056; 0,10352; 0,98846
637014884128754063; -0,17720; 2,13027; -0,59289; -0,14068; 0,12974; 0,98152
637014884131306710; -0,17250; 2,13499; -0,59445; -0,09278; 0,17713; 0,97980
637014884133859874; -0,17460; 2,13884; -0,58869; -0,03273; 0,22318; 0,97423
637014884136413048; -0,18857; 2,14005; -0,59659; -0,16029; 0,24807; 0,95539
637014884138966215; -0,18862; 2,14077; -0,60005; -0,15136; 0,25695; 0,95450
637014884141525023; -0,17423; 2,13910; -0,59739; -0,03098; 0,23539; 0,97141
637014884144071492; -0,16813; 2,13609; -0,59125; 0,02330; 0,20037; 0,97944
637014884146635943; -0,17425; 2,13239; -0,58955; -0,04339; 0,15769; 0,98654
637014884149189110; -0,17667; 2,13169; -0,59022; -0,08565; 0,14982; 0,98500
637014884151742283; -0,17707; 2,13210; -0,59153; -0,08422; 0,15707; 0,98399
637014884154294399; -0,17794; 2,13217; -0,59119; -0,08674; 0,15776; 0,98366
637014884156850269; -0,17767; 2,13473; -0,58594; -0,07548; 0,17737; 0,98125
637014884159413408; -0,17985; 2,12804; -0,58386; -0,08920; 0,10484; 0,99048
637014884161966581; -0,16931; 2,13240; -0,58494; -0,03663; 0,14578; 0,98864
637014884164499806; -0,17029; 2,13350; -0,58313; -0,03861; 0,14922; 0,98805
637014884167062945; -0,16910; 2,13251; -0,58107; -0,03360; 0,13447; 0,99035
637014884169626087; -0,17041; 2,13300; -0,58621; -0,03471; 0,15848; 0,98675
637014884172179266; -0,15574; 2,13684; -0,59434; 0,05816; 0,21450; 0,97499
637014884174732427; -0,15804; 2,13733; -0,59021; 0,05213; 0,20870; 0,97659
637014884177286699; -0,17873; 2,13344; -0,57800; -0,00176; 0,16893; 0,98563
637014884179839873; -0,18016; 2,13903; -0,58512; -0,10847; 0,22462; 0,96839
637014884182398291; -0,17898; 2,13807; -0,59243; -0,14431; 0,22143; 0,96444
637014884184946570; -0,18132; 2,13830; -0,59490; -0,12540; 0,22133; 0,96710
637014884187509717; -0,17367; 2,13684; -0,59198; -0,02425; 0,20312; 0,97885
637014884190062887; -0,16309; 2,13532; -0,58804; 0,05367; 0,18430; 0,98140
637014884192602352; -0,16778; 2,13734; -0,58798; 0,00236; 0,19686; 0,98043
637014884195167583; -0,18004; 2,13379; -0,59030; -0,08533; 0,15716; 0,98388
637014884197730727; -0,18314; 2,13031; -0,58953; -0,14229; 0,11574; 0,98304
637014884200273924; -0,18193; 2,12976; -0,58983; -0,13159; 0,10674; 0,98554
637014884202827094; -0,18111; 2,13012; -0,59130; -0,11416; 0,11123; 0,98722
637014884205376100; -0,17818; 2,12872; -0,59079; -0,08334; 0,09577; 0,99191
637014884207942552; -0,17332; 2,12743; -0,59067; -0,03606; 0,07837; 0,99627
637014884210495723; -0,16932; 2,12095; -0,59080; -0,00939; 0,00500; 0,99994
637014884213048890; -0,16625; 2,11850; -0,58810; 0,00742; -0,02051; 0,99976
637014884215602063; -0,16418; 2,11921; -0,58844; 0,02026; -0,01882; 0,99962
637014884218173323; -0,16487; 2,11818; -0,58838; 0,01508; -0,02771; 0,99950
637014884220716522; -0,16556; 2,11772; -0,58892; 0,01297; -0,03024; 0,99946
637014884223269702; -0,16380; 2,11846; -0,59070; 0,01263; -0,02429; 0,99963
637014884225817977; -0,14465; 2,11853; -0,60657; 0,05012; 0,00844; 0,99871
637014884228381118; -0,13891; 2,11914; -0,60528; 0,07322; 0,00764; 0,99729
637014884230923920; -0,14483; 2,11578; -0,59931; 0,06044; -0,03386; 0,99760
637014884233497030; -0,15058; 2,11709; -0,59835; 0,03875; -0,02580; 0,99892
637014884236030270; -0,15199; 2,11792; -0,59876; 0,03355; -0,01886; 0,99926
637014884238593408; -0,15189; 2,11669; -0,59689; 0,03345; -0,03221; 0,99892
637014884241136602; -0,15350; 2,11665; -0,59624; 0,02853; -0,03421; 0,99901
637014884243687983; -0,15584; 2,11802; -0,59633; 0,02055; -0,01891; 0,99961
637014884246261099; -0,17066; 2,13328; -0,60182; -0,11066; 0,15483; 0,98172
637014884248804292; -0,17617; 2,14235; -0,60889; -0,13343; 0,27531; 0,95205
637014884251367448; -0,17950; 2,14331; -0,61251; -0,14360; 0,30107; 0,94273
637014884253923351; -0,17604; 2,14223; -0,61010; -0,10560; 0,28931; 0,95139
637014884256474859; -0,16996; 2,14159; -0,60669; -0,05515; 0,27757; 0,95912
637014884259028038; -0,17109; 2,14131; -0,60659; -0,05948; 0,27253; 0,96031
637014884261581202; -0,17304; 2,14030; -0,60513; -0,07804; 0,25935; 0,96262
637014884264134373; -0,17372; 2,14032; -0,60399; -0,08239; 0,25692; 0,96292
637014884266688361; -0,17618; 2,14019; -0,60492; -0,09940; 0,25657; 0,96140
637014884269251512; -0,18339; 2,13891; -0,60477; -0,15584; 0,23972; 0,95825
637014884271794693; -0,18574; 2,13795; -0,60500; -0,16731; 0,22720; 0,95937
637014884274357838; -0,18253; 2,13752; -0,60417; -0,14059; 0,22160; 0,96495
637014884276913799; -0,16983; 2,13602; -0,59990; -0,01201; 0,20323; 0,97906
637014884279466408; -0,16679; 2,13535; -0,59764; 0,01769; 0,19432; 0,98078
637014884282019581; -0,16629; 2,13579; -0,59894; 0,02889; 0,20360; 0,97863
637014884284572749; -0,16719; 2,13647; -0,60022; 0,02545; 0,21124; 0,97710
637014884287125916; -0,16704; 2,13644; -0,60035; 0,02691; 0,20928; 0,97749
637014884289674893; -0,16702; 2,13542; -0,59903; 0,01827; 0,19741; 0,98015
637014884292231871; -0,17182; 2,13577; -0,59993; -0,01286; 0,20340; 0,97901
637014884294795024; -0,17388; 2,13629; -0,60065; -0,01800; 0,20775; 0,97802
637014884297348186; -0,17385; 2,13540; -0,60008; -0,01587; 0,20104; 0,97945
637014884299901365; -0,17336; 2,13535; -0,59937; -0,01133; 0,19838; 0,98006
637014884302454530; -0,17309; 2,13508; -0,59928; -0,00818; 0,19603; 0,98056
637014884305007694; -0,17328; 2,13459; -0,59871; -0,01104; 0,19150; 0,98143
637014884307560876; -0,18729; 2,13799; -0,59954; -0,20328; 0,23868; 0,94958
637014884310124015; -0,21986; 2,14828; -0,63770; -0,74234; 0,39164; 0,54365
637014884312676346; -0,23082; 2,13959; -0,64452; -0,79611; 0,29683; 0,52736
637014884315229517; -0,29307; 2,11104; -0,64506; -0,93971; -0,00748; 0,34189
637014884317782687; -0,30562; 2,10259; -0,65530; -0,97341; -0,05854; 0,22147
637014884320325889; -0,29228; 2,11300; -0,63952; -0,93997; -0,01008; 0,34111
637014884322889031; -0,32478; 2,09240; -0,66208; -0,96144; -0,12796; 0,24344
637014884325443946; -0,32131; 2,09885; -0,66048; -0,95887; -0,07395; 0,27404
637014884327995892; -0,31510; 2,10394; -0,65079; -0,94912; -0,04106; 0,31222
637014884330549065; -0,31550; 2,10307; -0,65354; -0,95115; -0,04433; 0,30554
637014884333122172; -0,31548; 2,10337; -0,65446; -0,95242; -0,03899; 0,30229
637014884335665382; -0,31012; 2,11151; -0,65427; -0,95272; 0,03097; 0,30228
637014884338208789; -0,30509; 2,11292; -0,65584; -0,95365; 0,05042; 0,29668
637014884340771934; -0,30848; 2,11173; -0,65416; -0,95585; 0,04130; 0,29095
637014884343325098; -0,31362; 2,10833; -0,65611; -0,97268; 0,01332; 0,23178
637014884345878271; -0,31688; 2,10713; -0,65830; -0,97455; 0,00637; 0,22410
637014884348431445; -0,31606; 2,10681; -0,65987; -0,97474; 0,00374; 0,22329
637014884350964661; -0,31602; 2,10640; -0,65827; -0,97644; 0,00256; 0,21577
637014884353544904; -0,31915; 2,10472; -0,66189; -0,98022; -0,00971; 0,19768
637014884356098177; -0,31827; 2,10329; -0,66984; -0,98200; -0,01368; 0,18840
637014884358641277; -0,31750; 2,10415; -0,66632; -0,98098; -0,00826; 0,19392
637014884361204418; -0,32402; 2,09754; -0,67822; -0,99261; -0,05796; 0,10657
637014884363765745; -0,32756; 2,09364; -0,68990; -0,99314; -0,06945; 0,09403
637014884366318927; -0,32574; 2,10154; -0,67294; -0,97756; -0,04307; 0,20621
637014884368872094; -0,24977; 2,13042; -0,59511; -0,33901; 0,16527; 0,92615
637014884371425265; -0,15615; 2,12635; -0,56453; 0,19226; 0,06376; 0,97927
637014884373978429; -0,16489; 2,12688; -0,56979; -0,00270; 0,09925; 0,99506
637014884376541579; -0,18795; 2,13356; -0,58812; -0,12963; 0,17797; 0,97546
637014884379086883; -0,19262; 2,13488; -0,59479; -0,18236; 0,20544; 0,96153
637014884381656953; -0,18557; 2,13049; -0,58881; -0,13351; 0,15297; 0,97917
