utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636967232123252734; -0,12167; 2,20227; -0,39931; 0,10866; -0,28194; 0,95326
636967232134365735; -0,13741; 2,20980; -0,35572; 0,01345; -0,08126; 0,99660
636967232136859072; -0,13399; 2,21490; -0,36037; 0,04569; -0,00993; 0,99891
636967232139412252; -0,13494; 2,21615; -0,35804; 0,05212; 0,00997; 0,99859
636967232142012399; -0,13357; 2,22556; -0,35892; 0,07071; 0,12782; 0,98927
636967232144577908; -0,13168; 2,22017; -0,35480; 0,07194; 0,05116; 0,99610
636967232147151175; -0,13087; 2,21667; -0,34965; 0,07156; 0,00423; 0,99743
636967232149654473; -0,13280; 2,21939; -0,35050; 0,04585; 0,03921; 0,99818
636967232152237565; -0,13094; 2,21590; -0,34719; 0,06701; -0,00240; 0,99775
636967232154790750; -0,12660; 2,21117; -0,34168; 0,08956; -0,06108; 0,99411
636967232157346016; -0,12456; 2,20793; -0,33841; 0,08869; -0,09637; 0,99139
636967232159899221; -0,12427; 2,20661; -0,33684; 0,08634; -0,10579; 0,99063
636967232162471726; -0,12421; 2,20658; -0,33651; 0,08507; -0,10526; 0,99080
636967232165004627; -0,12398; 2,20649; -0,33686; 0,08222; -0,10705; 0,99085
636967232167557812; -0,12414; 2,20623; -0,33581; 0,08179; -0,10851; 0,99073
636967232170130925; -0,12375; 2,20675; -0,33576; 0,08006; -0,10531; 0,99121
636967232172679343; -0,12348; 2,20671; -0,33521; 0,08244; -0,10448; 0,99110
636967232175216876; -0,12434; 2,20655; -0,33446; 0,08023; -0,10513; 0,99122
636967232177774369; -0,12519; 2,20908; -0,33589; 0,07532; -0,07926; 0,99400
636967232180327536; -0,12997; 2,21699; -0,34067; 0,02952; 0,02851; 0,99916
636967232182890690; -0,13355; 2,21770; -0,34366; 0,00233; 0,04062; 0,99917
636967232185453843; -0,13313; 2,21812; -0,34411; 0,01970; 0,05199; 0,99845
636967232187995227; -0,13131; 2,21821; -0,34213; 0,03957; 0,07074; 0,99671
636967232190554438; -0,13249; 2,21938; -0,34161; 0,05822; 0,08718; 0,99449
636967232193107781; -0,13216; 2,21878; -0,34118; 0,04099; 0,06724; 0,99689
636967232195666025; -0,13434; 2,21811; -0,34205; 0,04413; 0,05232; 0,99766
636967232198219198; -0,14320; 2,21744; -0,34073; -0,01660; 0,03959; 0,99908
636967232200772374; -0,14003; 2,21780; -0,34024; 0,00524; 0,04420; 0,99901
636967232203325554; -0,13596; 2,21809; -0,33929; 0,03038; 0,04373; 0,99858
636967232205883847; -0,12872; 2,21779; -0,33810; 0,07210; 0,04296; 0,99647
636967232208436895; -0,12635; 2,21771; -0,33899; 0,09048; 0,04188; 0,99502
636967232210990074; -0,13072; 2,21769; -0,33920; 0,06002; 0,04094; 0,99736
636967232213543241; -0,13515; 2,21773; -0,33944; 0,02998; 0,04013; 0,99874
636967232216102338; -0,13726; 2,21756; -0,33952; 0,02301; 0,03753; 0,99903
636967232218658057; -0,13405; 2,21663; -0,33838; 0,04186; 0,02534; 0,99880
636967232221211233; -0,12819; 2,21318; -0,33620; 0,07990; -0,01176; 0,99673
636967232223764398; -0,12547; 2,21145; -0,33444; 0,09567; -0,02912; 0,99499
636967232226317577; -0,12533; 2,21073; -0,33218; 0,08930; -0,03781; 0,99529
636967232228870774; -0,12559; 2,21103; -0,33206; 0,08525; -0,03423; 0,99577
636967232231423944; -0,12651; 2,21119; -0,33226; 0,08107; -0,03012; 0,99625
636967232233967149; -0,12980; 2,21565; -0,33484; 0,05100; 0,02078; 0,99848
636967232236530297; -0,13483; 2,21707; -0,33721; 0,01307; 0,04445; 0,99893
636967232239083479; -0,13928; 2,21761; -0,33700; -0,01356; 0,05314; 0,99849
636967232241646609; -0,13917; 2,21715; -0,33554; -0,00004; 0,04953; 0,99877
636967232244194969; -0,13704; 2,21650; -0,33649; 0,01183; 0,04306; 0,99900
636967232246756538; -0,13733; 2,21646; -0,33678; 0,02217; 0,04287; 0,99883
636967232249304802; -0,13676; 2,21690; -0,33682; 0,01761; 0,04158; 0,99898
636967232251857975; -0,13715; 2,21753; -0,33748; 0,01065; 0,04370; 0,99899
636967232254411154; -0,13802; 2,21746; -0,33774; 0,01119; 0,04265; 0,99903
636967232256974389; -0,13657; 2,21762; -0,33895; 0,01882; 0,04437; 0,99884
636967232259517431; -0,13458; 2,21761; -0,33959; 0,03172; 0,04409; 0,99852
636967232262071054; -0,13380; 2,21784; -0,33960; 0,04035; 0,04512; 0,99817
636967232264634193; -0,13272; 2,21774; -0,33976; 0,04292; 0,04441; 0,99809
636967232267187372; -0,13478; 2,21778; -0,33946; 0,03302; 0,04407; 0,99848
636967232269740560; -0,13687; 2,21806; -0,33920; 0,02044; 0,04333; 0,99885
636967232272303529; -0,13765; 2,21791; -0,33967; 0,02118; 0,04298; 0,99885
636967232274863786; -0,13592; 2,21807; -0,34011; 0,02867; 0,04455; 0,99860
636967232277404604; -0,13270; 2,21769; -0,34028; 0,05030; 0,04183; 0,99786
636967232279957777; -0,13068; 2,21763; -0,34051; 0,05723; 0,03982; 0,99757
636967232282510953; -0,13092; 2,21767; -0,34066; 0,05700; 0,04013; 0,99757
636967232285074095; -0,13238; 2,21767; -0,34056; 0,04642; 0,04048; 0,99810
636967232287625217; -0,13342; 2,21780; -0,34010; 0,03950; 0,03980; 0,99843
636967232290180903; -0,13579; 2,21769; -0,34003; 0,02746; 0,04018; 0,99882
636967232292734065; -0,13765; 2,21775; -0,34003; 0,01597; 0,03883; 0,99912
636967232295287846; -0,13627; 2,21807; -0,34071; 0,02016; 0,04175; 0,99892
636967232297846476; -0,13322; 2,21712; -0,34031; 0,04801; 0,03343; 0,99829
636967232300398433; -0,13018; 2,21606; -0,33891; 0,06112; 0,01998; 0,99793
