utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636959462467277207; -0,26815; 2,07697; -0,44155; 0,14238; 0,00914; 0,98977
636959462478557031; -0,24402; 2,08285; -0,46414; 0,40553; 0,13823; 0,90357
636959462481110204; -0,25462; 2,08470; -0,45888; 0,33384; 0,16423; 0,92821
636959462483666174; -0,25474; 2,08883; -0,45834; 0,30728; 0,20344; 0,92962
636959462486247443; -0,25129; 2,08631; -0,46988; 0,19706; 0,18766; 0,96226
636959462488820570; -0,23242; 2,08951; -0,49901; 0,05806; 0,29041; 0,95514
636959462491383709; -0,22337; 2,08910; -0,52189; 0,03807; 0,38136; 0,92364
636959462493931978; -0,23133; 2,08456; -0,53427; 0,01409; 0,39581; 0,91822
636959462496485146; -0,23598; 2,08434; -0,54490; 0,00875; 0,42197; 0,90657
636959462499044117; -0,23972; 2,08356; -0,54328; 0,00671; 0,41229; 0,91103
636959462501597281; -0,24312; 2,08086; -0,54171; 0,01327; 0,39896; 0,91687
636959462504150452; -0,24158; 2,07896; -0,54286; 0,02655; 0,39046; 0,92024
636959462506708713; -0,24251; 2,07945; -0,54452; 0,02576; 0,39609; 0,91785
636959462509262140; -0,24478; 2,07974; -0,54709; 0,02577; 0,40379; 0,91449
636959462511819060; -0,24544; 2,08011; -0,54590; 0,02579; 0,40194; 0,91530
636959462514372227; -0,24491; 2,07971; -0,54691; 0,02514; 0,40359; 0,91459
636959462516925398; -0,24512; 2,07959; -0,54633; 0,02662; 0,40109; 0,91565
636959462519478565; -0,24531; 2,07964; -0,54682; 0,02693; 0,40155; 0,91544
636959462522033390; -0,24500; 2,07959; -0,54676; 0,02825; 0,40067; 0,91579
636959462524595841; -0,24540; 2,07948; -0,54660; 0,02630; 0,39998; 0,91615
636959462527144117; -0,24496; 2,07954; -0,54669; 0,02840; 0,40014; 0,91601
636959462529697284; -0,24550; 2,07940; -0,54675; 0,02771; 0,39996; 0,91611
636959462532260426; -0,24491; 2,07922; -0,54666; 0,02820; 0,39924; 0,91641
636959462534826805; -0,24533; 2,07937; -0,54662; 0,02751; 0,39902; 0,91653
636959462537370007; -0,24496; 2,07921; -0,54683; 0,02777; 0,39935; 0,91638
636959462539918332; -0,24463; 2,07923; -0,54668; 0,02773; 0,39858; 0,91671
636959462542467432; -0,24499; 2,07913; -0,54664; 0,02711; 0,39841; 0,91681
636959462545030582; -0,24458; 2,07907; -0,54674; 0,02710; 0,39873; 0,91667
636959462547583776; -0,24476; 2,07899; -0,54674; 0,02723; 0,39800; 0,91698
636959462550136911; -0,24446; 2,07899; -0,54668; 0,02736; 0,39768; 0,91712
636959462552675218; -0,24451; 2,07894; -0,54672; 0,02748; 0,39771; 0,91710
636959462555237731; -0,24469; 2,07898; -0,54655; 0,02792; 0,39723; 0,91730
636959462557796168; -0,24403; 2,07880; -0,54657; 0,02849; 0,39699; 0,91738
636959462560349347; -0,24422; 2,07872; -0,54673; 0,02862; 0,39638; 0,91764
636959462562902520; -0,24384; 2,07855; -0,54648; 0,02853; 0,39543; 0,91805
636959462565455682; -0,24388; 2,07855; -0,54644; 0,02851; 0,39503; 0,91823
636959462568019721; -0,24417; 2,07858; -0,54626; 0,02840; 0,39477; 0,91834
636959462570563297; -0,24407; 2,07842; -0,54650; 0,02828; 0,39503; 0,91823
636959462573131666; -0,24354; 2,07834; -0,54651; 0,02877; 0,39473; 0,91835
636959462575664658; -0,24406; 2,07849; -0,54652; 0,02837; 0,39439; 0,91851
636959462578237767; -0,24444; 2,07827; -0,54657; 0,02832; 0,39442; 0,91849
636959462580791040; -0,24491; 2,07833; -0,54666; 0,02913; 0,39451; 0,91843
636959462583334137; -0,24456; 2,07824; -0,54664; 0,02952; 0,39459; 0,91838
636959462585895811; -0,24436; 2,07824; -0,54663; 0,02984; 0,39467; 0,91834
636959462588453497; -0,24462; 2,07834; -0,54676; 0,03077; 0,39441; 0,91842
636959462591006623; -0,24488; 2,07824; -0,54647; 0,03098; 0,39342; 0,91884
636959462593559794; -0,24478; 2,07821; -0,54647; 0,03011; 0,39332; 0,91891
636959462596112961; -0,24373; 2,07906; -0,54579; 0,03165; 0,39278; 0,91909
636959462598671555; -0,24373; 2,07852; -0,54583; 0,03436; 0,39106; 0,91972
636959462601218276; -0,24324; 2,07869; -0,54497; 0,03408; 0,38933; 0,92047
