utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636952598127408913; 0,00000; 1,10000; 0,00000; 0,00000; 0,00000; 1,00000
636952598139491842; 0,13643; 2,30232; -0,49037; -0,05842; -0,01235; 0,99822
636952598142087322; 0,12842; 2,29465; -0,50321; -0,14147; -0,10745; 0,98409
636952598144761403; 0,13118; 2,30281; -0,51413; -0,17420; -0,03491; 0,98409
636952598147424314; 0,12620; 2,30242; -0,51009; -0,15123; -0,02933; 0,98806
636952598150097164; 0,12323; 2,30121; -0,51620; -0,21238; -0,10185; 0,97187
636952598152650331; 0,13337; 2,30544; -0,52073; -0,17565; -0,05570; 0,98288
636952598155203169; 0,12914; 2,30874; -0,52138; -0,23110; 0,05984; 0,97109
636952598157756210; 0,14254; 2,30815; -0,51974; -0,13555; 0,05812; 0,98906
636952598160339297; 0,13844; 2,30540; -0,51721; -0,12389; 0,01370; 0,99220
636952598162922655; 0,14041; 2,30599; -0,51142; -0,07397; 0,03005; 0,99681
636952598165470916; 0,13830; 2,30369; -0,51087; -0,09520; 0,01600; 0,99533
636952598168023815; 0,13674; 2,30239; -0,51050; -0,09798; 0,00888; 0,99515
636952598170581068; 0,13419; 2,30259; -0,50832; -0,03885; -0,00117; 0,99924
636952598173134183; 0,13326; 2,30976; -0,51636; -0,04193; 0,05603; 0,99755
636952598175687353; 0,13945; 2,31623; -0,51225; -0,03504; 0,07798; 0,99634
636952598178245190; 0,13767; 2,31411; -0,50913; -0,08492; 0,04951; 0,99516
636952598180796113; 0,13693; 2,31428; -0,51256; -0,09090; 0,05943; 0,99409
636952598183349287; 0,13366; 2,31479; -0,51359; -0,10200; 0,06855; 0,99242
636952598185912428; 0,13109; 2,31557; -0,51310; -0,12671; 0,07386; 0,98919
636952598188455621; 0,13308; 2,31354; -0,51422; -0,10606; 0,06552; 0,99220
636952598191012243; 0,13587; 2,31365; -0,51339; -0,10023; 0,06754; 0,99267
636952598193565288; 0,14089; 2,31587; -0,51384; -0,09952; 0,09855; 0,99014
636952598196123543; 0,14046; 2,31563; -0,51511; -0,09690; 0,09721; 0,99054
636952598198676710; 0,13917; 2,31639; -0,51627; -0,10293; 0,10593; 0,98903
636952598201225114; 0,13834; 2,32029; -0,51716; -0,11424; 0,14424; 0,98293
636952598203784711; 0,14062; 2,32003; -0,51765; -0,10930; 0,14326; 0,98363
636952598206347853; 0,14425; 2,32069; -0,51614; -0,12337; 0,14165; 0,98220
636952598208891055; 0,15215; 2,31969; -0,51718; -0,12217; 0,13681; 0,98304
636952598211444225; 0,15426; 2,31935; -0,51860; -0,12655; 0,13864; 0,98222
636952598213993479; 0,15348; 2,31845; -0,51547; -0,11391; 0,12592; 0,98548
636952598216556615; 0,15627; 2,31819; -0,51464; -0,09671; 0,12715; 0,98716
636952598219119757; 0,16131; 2,31853; -0,51197; -0,06772; 0,13329; 0,98876
636952598221662956; 0,16330; 2,31981; -0,51031; -0,04987; 0,14260; 0,98852
636952598224221217; 0,15318; 2,31360; -0,51180; -0,05899; 0,08466; 0,99466
636952598226774390; 0,14756; 2,31450; -0,51009; -0,04715; 0,08637; 0,99515
636952598229330094; 0,14801; 2,31373; -0,51568; -0,05044; 0,09534; 0,99417
636952598231883297; 0,14891; 2,31343; -0,51773; -0,04348; 0,09827; 0,99421
636952598234446406; 0,14929; 2,31236; -0,51490; -0,04184; 0,08262; 0,99570
636952598236995269; 0,15154; 2,31220; -0,51526; -0,04660; 0,08311; 0,99545
636952598239544275; 0,15381; 2,31142; -0,51508; -0,04258; 0,07520; 0,99626
636952598242102477; 0,15267; 2,31193; -0,51341; -0,05405; 0,07379; 0,99581
636952598244655648; 0,15366; 2,31172; -0,51409; -0,05418; 0,07488; 0,99572
636952598247208818; 0,15360; 2,31138; -0,51268; -0,05232; 0,07077; 0,99612
636952598249754095; 0,15256; 2,31171; -0,51338; -0,06084; 0,07286; 0,99549
636952598252317234; 0,15217; 2,31182; -0,51314; -0,06450; 0,07329; 0,99522
636952598254870401; 0,15193; 2,31162; -0,51307; -0,06709; 0,07266; 0,99510
636952598257423574; 0,15258; 2,31153; -0,51315; -0,06622; 0,07038; 0,99532
636952598259996687; 0,15376; 2,31061; -0,51240; -0,06755; 0,06287; 0,99573
636952598262535088; 0,15708; 2,30939; -0,51107; -0,05492; 0,05067; 0,99720
636952598265090453; 0,15970; 2,30916; -0,50952; -0,04534; 0,03876; 0,99822
636952598267643611; 0,15994; 2,30897; -0,51126; -0,04756; 0,04173; 0,99800
636952598270206750; 0,15822; 2,30944; -0,51337; -0,05512; 0,05141; 0,99716
636952598272758503; 0,15003; 2,30898; -0,51663; -0,01517; 0,05404; 0,99842
636952598275311682; 0,12895; 2,30901; -0,51904; -0,02682; 0,05818; 0,99795
636952598277844901; 0,12253; 2,30910; -0,51755; -0,05311; 0,05807; 0,99690
636952598280418020; 0,12727; 2,30985; -0,51943; -0,03797; 0,06862; 0,99692
636952598282971190; 0,12672; 2,31007; -0,52309; -0,04978; 0,07489; 0,99595
636952598285529445; 0,12697; 2,31392; -0,52012; -0,06316; 0,09174; 0,99378
636952598288082730; 0,12730; 2,31418; -0,53007; -0,06319; 0,11579; 0,99126
636952598290635780; 0,12217; 2,31146; -0,52246; -0,06184; 0,07820; 0,99502
636952598293188951; 0,12739; 2,31026; -0,52049; -0,04163; 0,06536; 0,99699
636952598295743717; 0,12396; 2,30977; -0,52190; -0,04369; 0,06004; 0,99724
636952598298306852; 0,12463; 2,30973; -0,52053; -0,05193; 0,05777; 0,99698
636952598300850054; 0,12617; 2,30993; -0,52032; -0,03985; 0,05778; 0,99753
636952598303413196; 0,12582; 2,30986; -0,52062; -0,04260; 0,05732; 0,99745
636952598305966366; 0,12629; 2,30948; -0,52093; -0,04263; 0,05920; 0,99734
636952598308514735; 0,12683; 2,31161; -0,52167; -0,04784; 0,07969; 0,99567
636952598311052358; 0,12443; 2,31579; -0,52523; -0,06688; 0,12221; 0,99025
636952598313615506; 0,12266; 2,31588; -0,52696; -0,07613; 0,12857; 0,98877
636952598316178656; 0,12181; 2,31635; -0,52630; -0,08123; 0,13163; 0,98797
636952598318730494; 0,12154; 2,31655; -0,52727; -0,08559; 0,13427; 0,98724
