utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636952651533710803; 0,00000; 1,10000; 0,00000; 0,00000; 0,00000; 1,00000
636952651545922708; 0,10775; 2,21330; 0,09839; 0,13019; 0,03282; 0,99095
636952651548485960; 0,10762; 2,21435; 0,09521; 0,14763; 0,02392; 0,98875
636952651551039031; 0,09277; 2,21940; 0,09550; 0,02321; 0,08544; 0,99607
636952651553642066; 0,09752; 2,22361; 0,09177; -0,03425; 0,12070; 0,99210
636952651556205213; 0,10845; 2,22410; 0,09086; -0,05825; 0,13018; 0,98978
636952651558748407; 0,11840; 2,21931; 0,09523; -0,01276; 0,08299; 0,99647
636952651561302936; 0,12071; 2,22104; 0,09459; 0,06716; 0,09212; 0,99348
636952651563866022; 0,11115; 2,22387; 0,08657; 0,03800; 0,11036; 0,99317
636952651566414619; 0,10822; 2,22455; 0,08657; 0,02902; 0,11318; 0,99315
636952651568967795; 0,11232; 2,22404; 0,08260; 0,05653; 0,12243; 0,99087
636952651571540902; 0,12274; 2,21462; 0,09457; 0,09588; 0,05244; 0,99401
636952651574076444; 0,12802; 2,20932; 0,10389; 0,09403; 0,00484; 0,99556
636952651576651866; 0,12639; 2,21115; 0,10066; 0,09432; 0,02180; 0,99530
636952651579195068; 0,12423; 2,21265; 0,09659; 0,11653; 0,00716; 0,99316
636952651581748238; 0,12328; 2,21358; 0,09832; 0,10491; 0,01176; 0,99441
636952651584301414; 0,12109; 2,21844; 0,09543; 0,08836; 0,06515; 0,99396
636952651586844614; 0,10238; 2,22667; 0,08746; -0,10342; 0,12678; 0,98652
636952651589407866; 0,10460; 2,22629; 0,08275; -0,11789; 0,11761; 0,98604
636952651591960922; 0,11203; 2,22437; 0,08332; -0,03571; 0,10131; 0,99421
636952651594514096; 0,10307; 2,22772; 0,07608; -0,05386; 0,13195; 0,98979
636952651597062371; 0,10418; 2,22711; 0,07211; -0,01523; 0,11961; 0,99270
636952651599625521; 0,10552; 2,22942; 0,06175; 0,09105; 0,14056; 0,98588
636952651602169808; 0,11243; 2,23242; 0,06625; 0,11040; 0,16374; 0,98031
636952651604732949; 0,11446; 2,22677; 0,07111; -0,01878; 0,11490; 0,99320
636952651607256203; 0,10620; 2,22793; 0,07282; -0,15805; 0,12338; 0,97969
636952651609823004; 0,12234; 2,23101; 0,06831; -0,14934; 0,14509; 0,97808
636952651612396119; 0,13060; 2,23498; 0,05546; -0,27788; 0,18970; 0,94170
636952651614949292; 0,14726; 2,23779; 0,04967; -0,26276; 0,20169; 0,94355
636952651617502469; 0,16545; 2,23810; 0,05062; -0,25408; 0,20681; 0,94481
636952651620055636; 0,17695; 2,23525; 0,05842; -0,20857; 0,16906; 0,96329
636952651622618415; 0,16966; 2,23421; 0,06222; -0,18649; 0,16443; 0,96860
636952651625158014; 0,16063; 2,23406; 0,06307; -0,16316; 0,15429; 0,97446
636952651627716240; 0,15781; 2,23099; 0,06272; -0,12770; 0,13316; 0,98283
636952651630279381; 0,15703; 2,22802; 0,06947; -0,04910; 0,09923; 0,99385
636952651632832648; 0,14621; 2,22849; 0,06968; -0,10413; 0,09617; 0,98990
636952651635381651; 0,13934; 2,22979; 0,05727; -0,03721; 0,12577; 0,99136
636952651637944842; 0,12747; 2,22753; 0,04899; -0,09275; 0,10758; 0,98986
636952651640497963; 0,13397; 2,22604; 0,05177; -0,01601; 0,07209; 0,99727
636952651643051131; 0,13685; 2,22682; 0,05673; 0,03125; 0,08202; 0,99614
636952651645597463; 0,12090; 2,23338; 0,04952; -0,08316; 0,16354; 0,98303
636952651648162732; 0,11586; 2,23374; 0,04668; -0,11811; 0,16828; 0,97864
636952651650715902; 0,11887; 2,23306; 0,04531; -0,12013; 0,16406; 0,97911
636952651653269075; 0,11953; 2,23408; 0,04459; -0,11126; 0,17734; 0,97784
636952651655812271; 0,12097; 2,23388; 0,04583; -0,10324; 0,18125; 0,97800
636952651658360523; 0,12097; 2,23226; 0,05021; -0,10886; 0,16678; 0,97997
636952651660933636; 0,12098; 2,23134; 0,05421; -0,11479; 0,15395; 0,98139
636952651663486812; 0,12193; 2,22903; 0,05937; -0,11542; 0,13316; 0,98435
636952651666039977; 0,11777; 2,22571; 0,06089; -0,19864; 0,08930; 0,97599
636952651668588264; 0,11384; 2,22650; 0,06281; -0,16506; 0,10594; 0,98058
636952651671161376; 0,11617; 2,22395; 0,06602; -0,15911; 0,07466; 0,98443
636952651673707513; 0,12193; 2,22142; 0,07079; -0,13740; 0,03726; 0,98982
636952651676250715; 0,12199; 2,22006; 0,06704; -0,12237; 0,00448; 0,99247
636952651678793908; 0,12589; 2,21952; 0,06882; -0,08339; -0,00769; 0,99649
636952651681347081; 0,12500; 2,21802; 0,06893; -0,09148; -0,03033; 0,99534
636952651683916439; 0,12066; 2,22131; 0,06588; -0,12433; -0,00564; 0,99222
636952651686469589; 0,11521; 2,22664; 0,05458; -0,15772; 0,05785; 0,98579
636952651689032753; 0,11774; 2,22833; 0,05211; -0,13128; 0,08281; 0,98788
636952651691575932; 0,11805; 2,22969; 0,05591; -0,12884; 0,09955; 0,98666
636952651694131028; 0,11882; 2,23554; 0,04198; -0,09503; 0,16672; 0,98142
636952651696689263; 0,11082; 2,24335; 0,00812; -0,05125; 0,32398; 0,94468
636952651699247618; 0,11813; 2,24287; -0,01479; -0,10949; 0,42269; 0,89963
636952651701810783; 0,12361; 2,24638; 0,01529; -0,12764; 0,37627; 0,91768
636952651704363930; 0,12717; 2,24482; 0,03176; -0,09853; 0,33094; 0,93849
636952651706907132; 0,13052; 2,24493; 0,02404; -0,04534; 0,35277; 0,93461
