utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636954300081224623; -0,29619; 2,12013; -0,12904; 0,08432; 0,00754; 0,99641
636954300092424289; -0,32820; 2,05822; -0,15564; -0,02694; -0,14390; 0,98923
636954300095023399; -0,32005; 2,06615; -0,17337; 0,05124; -0,00895; 0,99865
636954300097579743; -0,31368; 2,06964; -0,18399; 0,07895; 0,06067; 0,99503
636954300100178613; -0,32283; 2,07125; -0,19468; 0,05410; 0,11123; 0,99232
636954300102741755; -0,32864; 2,07242; -0,19975; 0,05720; 0,13634; 0,98901
636954300105294928; -0,32783; 2,07399; -0,19875; 0,04460; 0,16118; 0,98592
636954300107847669; -0,32272; 2,07584; -0,19817; 0,05235; 0,20187; 0,97801
636954300110400594; -0,33264; 2,07306; -0,21223; 0,08521; 0,17773; 0,98038
636954300112963797; -0,33108; 2,07182; -0,22198; 0,08332; 0,20107; 0,97603
636954300115516964; -0,33594; 2,07438; -0,23260; 0,03276; 0,26243; 0,96440
636954300118060154; -0,33917; 2,07156; -0,24199; 0,03908; 0,28156; 0,95875
636954300120623308; -0,32503; 2,07116; -0,24992; 0,10730; 0,32439; 0,93982
636954300123176478; -0,32669; 2,06312; -0,25228; 0,04162; 0,30340; 0,95195
636954300125731034; -0,31415; 2,05521; -0,25054; 0,08079; 0,26571; 0,96066
636954300128284221; -0,31689; 2,05638; -0,25206; 0,09293; 0,26391; 0,96006
636954300130837377; -0,32699; 2,05598; -0,25271; 0,07360; 0,25377; 0,96446
636954300133400577; -0,32176; 2,05714; -0,24416; 0,05667; 0,25944; 0,96410
636954300135969338; -0,32354; 2,05441; -0,24347; 0,05504; 0,20835; 0,97650
636954300138507280; -0,32827; 2,05381; -0,24496; 0,05865; 0,19970; 0,97810
636954300141055541; -0,31852; 2,05295; -0,23789; 0,08133; 0,17525; 0,98116
636954300143608714; -0,32890; 2,05125; -0,24236; 0,06217; 0,17127; 0,98326
636954300146161873; -0,32209; 2,05329; -0,24585; 0,06953; 0,19579; 0,97818
636954300148715052; -0,32914; 2,05477; -0,24691; 0,05983; 0,20841; 0,97621
636954300151274210; -0,33211; 2,05636; -0,24603; 0,08354; 0,22502; 0,97077
636954300153837349; -0,32932; 2,06081; -0,25141; 0,15263; 0,28422; 0,94653
636954300156380545; -0,33431; 2,05652; -0,25598; 0,13365; 0,25662; 0,95723
636954300158933724; -0,33923; 2,05735; -0,25123; 0,09327; 0,25110; 0,96346
636954300161492707; -0,34124; 2,06005; -0,24556; 0,09216; 0,26841; 0,95889
636954300164038569; -0,33731; 2,05738; -0,24854; 0,07913; 0,23296; 0,96926
636954300166601710; -0,33725; 2,05822; -0,24745; 0,06354; 0,23704; 0,96942
636954300169144912; -0,33964; 2,05754; -0,24415; 0,03047; 0,22060; 0,97489
636954300171708048; -0,33795; 2,05806; -0,24931; 0,02829; 0,25545; 0,96641
636954300174261215; -0,33827; 2,05850; -0,25498; 0,04097; 0,28034; 0,95903
636954300176814394; -0,33866; 2,05881; -0,25652; 0,03301; 0,28756; 0,95719
636954300179368310; -0,33712; 2,05824; -0,25794; 0,03828; 0,29274; 0,95543
636954300181931449; -0,33755; 2,05842; -0,25932; 0,04528; 0,30381; 0,95166
636954300184484616; -0,33895; 2,05774; -0,25887; 0,03796; 0,29707; 0,95410
636954300187037827; -0,34048; 2,05760; -0,25866; 0,03106; 0,29706; 0,95435
636954300189590957; -0,33855; 2,05793; -0,25865; 0,03153; 0,29959; 0,95355
636954300192148242; -0,33742; 2,05753; -0,25967; 0,04701; 0,30437; 0,95139
636954300194704653; -0,33621; 2,05720; -0,25942; 0,04730; 0,30434; 0,95139
636954300197247852; -0,33615; 2,05718; -0,25951; 0,04543; 0,30601; 0,95094
636954300199820974; -0,33758; 2,05670; -0,25997; 0,03119; 0,30969; 0,95033
636954300202364167; -0,33302; 2,05742; -0,26003; 0,05426; 0,31625; 0,94712
636954300204916069; -0,33110; 2,05564; -0,25992; 0,06325; 0,30887; 0,94900
636954300207467752; -0,33269; 2,05593; -0,25874; 0,06046; 0,28857; 0,95555
636954300210025867; -0,33825; 2,05555; -0,25595; 0,01972; 0,26908; 0,96292
636954300212579043; -0,33063; 2,05961; -0,25319; 0,09076; 0,32246; 0,94222
636954300215132208; -0,32648; 2,06218; -0,24685; 0,10467; 0,32929; 0,93841
636954300217695346; -0,32941; 2,05589; -0,24720; 0,09078; 0,25131; 0,96364
636954300220238539; -0,32860; 2,05616; -0,24729; 0,11450; 0,24091; 0,96377
636954300222802566; -0,31806; 2,05465; -0,24616; 0,10894; 0,24683; 0,96291
636954300225351523; -0,30021; 2,05349; -0,23841; 0,10307; 0,22567; 0,96874
636954300227909749; -0,28955; 2,05510; -0,23665; 0,10774; 0,25246; 0,96159
636954300230462931; -0,30234; 2,05270; -0,23947; 0,06185; 0,22868; 0,97153
636954300233016098; -0,28105; 2,05084; -0,23161; 0,01639; 0,19906; 0,97985
636954300235576800; -0,27303; 2,04930; -0,23167; 0,02450; 0,19357; 0,98078
636954300238122296; -0,28399; 2,05237; -0,23883; 0,03754; 0,22428; 0,97380
636954300240683456; -0,25734; 2,05120; -0,23454; 0,02759; 0,23664; 0,97121
636954300243234659; -0,26363; 2,05256; -0,23652; 0,06394; 0,24247; 0,96805
636954300245787833; -0,29199; 2,05432; -0,25213; 0,07006; 0,26745; 0,96102
636954300248351097; -0,32023; 2,05510; -0,25936; 0,02963; 0,27542; 0,96087
636954300250894241; -0,32788; 2,05536; -0,25656; 0,03739; 0,24966; 0,96761
636954300253447344; -0,33394; 2,05361; -0,25599; 0,05230; 0,22659; 0,97258
636954300256010482; -0,33486; 2,05502; -0,25654; 0,03128; 0,24470; 0,96909
