utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636970704856423609; -0,36867; 2,18192; -0,54217; 0,34327; -0,25017; 0,90531
636970704869534734; -0,39398; 2,20030; -0,54722; 0,19984; -0,07294; 0,97711
636970704872070514; -0,40758; 2,21552; -0,57384; 0,07958; 0,13481; 0,98767
636970704874623687; -0,40619; 2,21631; -0,57427; 0,07646; 0,14531; 0,98643
636970704877225068; -0,40736; 2,21668; -0,57450; 0,05957; 0,14869; 0,98709
636970704879781616; -0,40651; 2,21750; -0,57623; 0,02858; 0,15374; 0,98770
636970704882332604; -0,39633; 2,21757; -0,57828; 0,01022; 0,15657; 0,98761
636970704884842494; -0,38899; 2,21734; -0,57922; 0,00108; 0,15698; 0,98760
636970704887395658; -0,38553; 2,21780; -0,57720; -0,01732; 0,15364; 0,98798
636970704889948832; -0,38163; 2,21778; -0,57773; -0,03239; 0,15383; 0,98757
636970704892502005; -0,37938; 2,21809; -0,57568; -0,02883; 0,15155; 0,98803
636970704895055269; -0,38371; 2,21793; -0,57733; -0,02776; 0,16325; 0,98619
636970704897622157; -0,38298; 2,21750; -0,58314; -0,05056; 0,17464; 0,98333
636970704900165356; -0,37524; 2,21604; -0,58693; -0,02836; 0,17544; 0,98408
636970704902768397; -0,37732; 2,21620; -0,58523; -0,02038; 0,17313; 0,98469
636970704905271706; -0,37865; 2,21569; -0,58482; -0,02100; 0,17005; 0,98521
636970704907834853; -0,37741; 2,21538; -0,58304; -0,00650; 0,16247; 0,98669
636970704910388024; -0,37788; 2,21565; -0,58341; -0,01135; 0,16525; 0,98619
636970704912937439; -0,37806; 2,21571; -0,58423; -0,01354; 0,16618; 0,98600
636970704915490606; -0,37936; 2,21611; -0,58439; -0,01951; 0,16952; 0,98533
636970704918053762; -0,37964; 2,21605; -0,58426; -0,02050; 0,16905; 0,98539
636970704920606930; -0,37950; 2,21612; -0,58391; -0,01997; 0,16839; 0,98552
636970704923154621; -0,37982; 2,21584; -0,58406; -0,01907; 0,16710; 0,98576
636970704925861724; -0,37911; 2,21558; -0,58389; -0,01666; 0,16541; 0,98608
636970704928374999; -0,38019; 2,21575; -0,58405; -0,02141; 0,16680; 0,98576
636970704930928169; -0,38121; 2,21588; -0,58352; -0,02554; 0,16623; 0,98576
636970704933481436; -0,38152; 2,21611; -0,58427; -0,02658; 0,16805; 0,98542
636970704936089448; -0,38037; 2,21608; -0,58354; -0,02082; 0,16704; 0,98573
636970704938641756; -0,37912; 2,21583; -0,58236; -0,01976; 0,16172; 0,98664
636970704941195116; -0,37954; 2,21563; -0,58140; -0,02287; 0,15738; 0,98727
636970704943759947; -0,37994; 2,21447; -0,57610; -0,02960; 0,13760; 0,99005
636970704946293166; -0,37468; 2,21325; -0,56810; 0,01329; 0,11385; 0,99341
636970704948806528; -0,37334; 2,21204; -0,56432; 0,03083; 0,09646; 0,99486
636970704951369594; -0,38363; 2,21189; -0,56248; -0,07121; 0,10102; 0,99233
636970704953922846; -0,38996; 2,21141; -0,56015; -0,14227; 0,09714; 0,98505
636970704956475999; -0,38959; 2,21126; -0,55847; -0,14620; 0,09719; 0,98447
636970704959031720; -0,39217; 2,21035; -0,55432; -0,17230; 0,09287; 0,98066
636970704961584891; -0,39799; 2,20918; -0,54682; -0,21379; 0,08417; 0,97325
636970704964108148; -0,38515; 2,21072; -0,54290; -0,05948; 0,09657; 0,99355
636970704966701209; -0,36965; 2,20860; -0,54230; 0,07958; 0,07387; 0,99409
636970704969249487; -0,37198; 2,20774; -0,54099; 0,04968; 0,06602; 0,99658
636970704971802669; -0,37366; 2,20733; -0,54178; 0,04640; 0,06294; 0,99694
636970704974355831; -0,37434; 2,20765; -0,54243; 0,04298; 0,06450; 0,99699
636970704976909010; -0,37597; 2,20752; -0,54220; 0,03151; 0,06226; 0,99756
636970704979472152; -0,37524; 2,20744; -0,54269; 0,03857; 0,06227; 0,99731
636970704982018741; -0,37372; 2,20765; -0,54294; 0,04235; 0,06444; 0,99702
636970704984571917; -0,37458; 2,20770; -0,54301; 0,03896; 0,06488; 0,99713
636970704987120245; -0,37454; 2,20748; -0,54274; 0,03787; 0,06342; 0,99727
636970704989683384; -0,37487; 2,20783; -0,54311; 0,03752; 0,06550; 0,99715
636970704992236554; -0,37489; 2,20783; -0,54305; 0,03734; 0,06591; 0,99713
636970704994789736; -0,37545; 2,20773; -0,54296; 0,03758; 0,06512; 0,99717
636970704997398905; -0,37157; 2,20846; -0,54410; 0,03986; 0,06638; 0,99700
636970704999952078; -0,37258; 2,20852; -0,54425; 0,04127; 0,06748; 0,99687
636970705002509396; -0,37276; 2,20880; -0,54459; 0,04189; 0,06862; 0,99676
636970705005062569; -0,37293; 2,20854; -0,54511; 0,04333; 0,06942; 0,99665
636970705007615742; -0,37368; 2,20856; -0,54533; 0,04459; 0,06958; 0,99658
636970705010178890; -0,37409; 2,20864; -0,54559; 0,04554; 0,06971; 0,99653
636970705012722086; -0,37425; 2,20905; -0,54548; 0,04222; 0,07129; 0,99656
636970705015271186; -0,37568; 2,21126; -0,54557; 0,03007; 0,08406; 0,99601
636970705017829406; -0,37835; 2,21330; -0,54766; 0,01524; 0,10369; 0,99449
636970705020382579; -0,38358; 2,21298; -0,54200; -0,04233; 0,09670; 0,99441
636970705022945724; -0,38753; 2,20808; -0,52282; -0,13310; 0,05893; 0,98935
636970705025498903; -0,38885; 2,20675; -0,51089; -0,12485; 0,06426; 0,99009
636970705028052067; -0,39027; 2,20498; -0,50928; -0,21437; 0,05824; 0,97502
636970705030610989; -0,39385; 2,20411; -0,50924; -0,30378; 0,05932; 0,95089
636970705033159256; -0,38962; 2,20352; -0,50886; -0,30466; 0,06331; 0,95036
636970705035712438; -0,38863; 2,20439; -0,51025; -0,31107; 0,07188; 0,94766
636970705038265602; -0,38138; 2,20462; -0,51142; -0,24197; 0,06092; 0,96837
636970705040808811; -0,37733; 2,20375; -0,51200; -0,18430; 0,04438; 0,98187
636970705043381926; -0,38344; 2,20107; -0,50927; -0,18650; 0,01426; 0,98235
636970705045936514; -0,38660; 2,20031; -0,50813; -0,17296; -0,00244; 0,98493
636970705048486841; -0,38621; 2,20109; -0,51250; -0,11156; -0,01143; 0,99369
636970705051099987; -0,38460; 2,20191; -0,51213; -0,05315; -0,01344; 0,99850
636970705053663003; -0,38921; 2,20538; -0,51986; -0,05474; 0,01066; 0,99844
636970705056206208; -0,38698; 2,20958; -0,52331; -0,04148; 0,03246; 0,99861
636970705058769344; -0,37957; 2,21119; -0,53002; 0,01612; 0,04398; 0,99890
636970705061320185; -0,38254; 2,21199; -0,53799; 0,00938; 0,05239; 0,99858
636970705063873361; -0,38397; 2,21326; -0,54426; -0,00031; 0,05791; 0,99832
636970705066446477; -0,38270; 2,21170; -0,55001; -0,00269; 0,05710; 0,99837
636970705068979702; -0,37891; 2,21228; -0,55401; -0,00317; 0,06800; 0,99768
636970705071692461; -0,37862; 2,21311; -0,55588; 0,00070; 0,08212; 0,99662
636970705074216670; -0,37610; 2,21350; -0,55433; 0,01024; 0,08330; 0,99647
636970705076751725; -0,37426; 2,21223; -0,55490; 0,01282; 0,07341; 0,99722
636970705079314872; -0,37725; 2,21378; -0,55241; 0,00634; 0,08005; 0,99677
636970705081868049; -0,38512; 2,21317; -0,55028; -0,02819; 0,06888; 0,99723
636970705084421219; -0,38543; 2,21271; -0,55038; -0,02490; 0,06509; 0,99757
636970705086984358; -0,38443; 2,21250; -0,54828; -0,02848; 0,05952; 0,99782
636970705089530552; -0,38353; 2,21211; -0,54960; -0,02023; 0,05744; 0,99814
636970705092083755; -0,38544; 2,21200; -0,55203; -0,02778; 0,06084; 0,99776
636970705094636811; -0,38535; 2,21377; -0,55290; -0,02273; 0,07688; 0,99678
636970705097189985; -0,38484; 2,21305; -0,55155; -0,02592; 0,07091; 0,99715
636970705099743222; -0,38564; 2,21314; -0,55223; -0,02931; 0,07248; 0,99694
636970705102300507; -0,38698; 2,21326; -0,55150; -0,03664; 0,07383; 0,99660
636970705104863655; -0,38651; 2,21334; -0,55191; -0,03641; 0,07687; 0,99638
