utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
637000100788316952; -0,45526; 2,20060; -0,23476; 0,00605; -0,06702; 0,99773
637000100799477101; -0,45676; 2,20028; -0,23654; 0,00440; -0,06955; 0,99757
637000100802067336; -0,45686; 2,20067; -0,23653; 0,00292; -0,06732; 0,99773
637000100804630469; -0,45697; 2,20109; -0,23717; 0,00277; -0,06231; 0,99805
637000100807223538; -0,45780; 2,20151; -0,23783; 0,00207; -0,05659; 0,99840
637000100809786677; -0,45766; 2,20180; -0,23784; 0,00101; -0,05402; 0,99854
637000100812345651; -0,45803; 2,20357; -0,23779; -0,00797; -0,02901; 0,99955
637000100814898821; -0,45770; 2,20500; -0,23891; -0,00586; -0,00695; 0,99996
637000100817451989; -0,45788; 2,20641; -0,23912; -0,00960; 0,01046; 0,99990
637000100819995188; -0,45776; 2,20622; -0,23918; -0,01027; 0,00897; 0,99991
637000100822555071; -0,45832; 2,20603; -0,23923; -0,01040; 0,00795; 0,99991
637000100825114261; -0,45807; 2,20582; -0,23894; -0,01088; 0,00558; 0,99993
637000100827667435; -0,45786; 2,20607; -0,23909; -0,00880; 0,00595; 0,99994
637000100830220605; -0,45808; 2,20608; -0,23918; -0,01050; 0,00655; 0,99992
637000100832773804; -0,45785; 2,20621; -0,23908; -0,01079; 0,00577; 0,99993
637000100835337063; -0,45795; 2,20608; -0,23928; -0,01124; 0,00538; 0,99992
637000100837895946; -0,45863; 2,20592; -0,23959; -0,01176; 0,00471; 0,99992
637000100840438415; -0,45839; 2,20591; -0,23972; -0,01103; 0,00425; 0,99993
637000100842991521; -0,45841; 2,20555; -0,23968; -0,01256; 0,00247; 0,99992
637000100845554668; -0,45856; 2,20538; -0,23930; -0,01427; -0,00157; 0,99990
637000100848099861; -0,45919; 2,20516; -0,23897; -0,01712; -0,00377; 0,99985
637000100850663011; -0,46135; 2,20457; -0,23708; -0,02629; -0,01327; 0,99957
637000100853211596; -0,46140; 2,20416; -0,23641; -0,02946; -0,01966; 0,99937
637000100855771140; -0,46062; 2,20394; -0,23651; -0,02478; -0,02297; 0,99943
637000100858324308; -0,46023; 2,20360; -0,23585; -0,02118; -0,03016; 0,99932
637000100860867507; -0,45892; 2,20252; -0,23545; -0,01493; -0,04137; 0,99903
637000100863420680; -0,45773; 2,20207; -0,23526; 0,00231; -0,04962; 0,99877
637000100865985379; -0,45831; 2,20158; -0,23553; -0,00622; -0,05600; 0,99841
637000100868544117; -0,45866; 2,20167; -0,23528; -0,00672; -0,05605; 0,99841
637000100871098576; -0,45727; 2,20103; -0,23527; 0,00613; -0,06470; 0,99789
637000100873621251; -0,45668; 2,20022; -0,23466; 0,02388; -0,07454; 0,99693
637000100876184390; -0,45687; 2,19861; -0,23443; 0,03584; -0,09295; 0,99503
637000100878757505; -0,45709; 2,19815; -0,23400; 0,03850; -0,10173; 0,99407
637000100881310667; -0,45664; 2,19827; -0,23448; 0,04223; -0,10014; 0,99408
637000100883863846; -0,45673; 2,19813; -0,23454; 0,04199; -0,10155; 0,99394
637000100886425418; -0,45699; 2,19816; -0,23463; 0,04201; -0,10114; 0,99399
637000100888978603; -0,45706; 2,19878; -0,23464; 0,03862; -0,09694; 0,99454
637000100891531759; -0,45731; 2,19979; -0,23566; 0,03586; -0,08559; 0,99568
637000100894084926; -0,45957; 2,20284; -0,23707; 0,02366; -0,04611; 0,99866
637000100896638094; -0,45991; 2,20393; -0,23824; 0,01873; -0,03226; 0,99930
637000100899203269; -0,45937; 2,20304; -0,23753; 0,01870; -0,04203; 0,99894
637000100901746480; -0,45906; 2,20306; -0,23801; 0,02020; -0,04177; 0,99892
637000100904289673; -0,46004; 2,20319; -0,23834; 0,01613; -0,04145; 0,99901
637000100906842838; -0,45988; 2,20323; -0,23824; 0,01467; -0,04177; 0,99902
637000100909401090; -0,46050; 2,20308; -0,23860; 0,01409; -0,04115; 0,99905
637000100911969781; -0,46012; 2,20340; -0,23830; 0,01316; -0,04063; 0,99909
637000100914518475; -0,46002; 2,20317; -0,23835; 0,01271; -0,04149; 0,99906
637000100917071771; -0,45992; 2,20311; -0,23847; 0,01243; -0,04218; 0,99903
637000100919635421; -0,45955; 2,20328; -0,23830; 0,01360; -0,04160; 0,99904
637000100922183702; -0,45946; 2,20310; -0,23875; 0,01601; -0,04113; 0,99903
637000100924737889; -0,45955; 2,20297; -0,23902; 0,01690; -0,04305; 0,99893
637000100927293953; -0,45921; 2,20290; -0,23918; 0,01815; -0,04259; 0,99893
637000100929847173; -0,45910; 2,20281; -0,23897; 0,01725; -0,04301; 0,99893
637000100932400346; -0,45911; 2,20304; -0,23884; 0,01613; -0,04281; 0,99895
637000100934953519; -0,45967; 2,20299; -0,23879; 0,01418; -0,04392; 0,99893
637000100937510874; -0,46011; 2,20282; -0,23907; 0,01411; -0,04479; 0,99890
637000100940064048; -0,46026; 2,20289; -0,23915; 0,01403; -0,04543; 0,99887
637000100942627192; -0,46031; 2,20284; -0,23893; 0,01214; -0,04569; 0,99888
637000100945180368; -0,46017; 2,20255; -0,23892; 0,00628; -0,04697; 0,99888
637000100947723556; -0,45789; 2,20255; -0,24049; -0,01810; -0,04922; 0,99862
637000100950286697; -0,45624; 2,20187; -0,23975; -0,00848; -0,05517; 0,99844
637000100952835104; -0,45815; 2,20131; -0,23942; -0,02238; -0,06054; 0,99792
637000100955398132; -0,46495; 2,20043; -0,23898; -0,26474; -0,06916; 0,96184
637000100957951276; -0,47240; 2,20538; -0,25221; -0,66638; -0,00143; 0,74561
637000100960504496; -0,46179; 2,20889; -0,26303; -0,83167; 0,02192; 0,55483
637000100963059332; -0,44198; 2,20965; -0,25793; -0,88564; 0,01240; 0,46420
637000100965611848; -0,42679; 2,20982; -0,25508; -0,91222; 0,01104; 0,40955
637000100968169513; -0,41640; 2,20987; -0,25534; -0,93369; 0,00976; 0,35795
637000100970722677; -0,40818; 2,20992; -0,25440; -0,94510; 0,01080; 0,32660
637000100973275847; -0,40395; 2,20984; -0,25378; -0,95257; 0,00909; 0,30419
637000100975834100; -0,40267; 2,20980; -0,25373; -0,95150; 0,01077; 0,30745
637000100978387361; -0,40421; 2,20922; -0,25413; -0,95068; 0,00629; 0,31011
637000100980943483; -0,40397; 2,20871; -0,25350; -0,94779; 0,00097; 0,31889
637000100983506618; -0,40204; 2,20856; -0,25164; -0,94080; 0,00133; 0,33896
637000100986049817; -0,40183; 2,20819; -0,24991; -0,93376; -0,00382; 0,35788
637000100988583046; -0,40164; 2,20802; -0,24966; -0,93284; -0,00696; 0,36022
637000100991146187; -0,40255; 2,20766; -0,25034; -0,93459; -0,01013; 0,35559
637000100993694448; -0,40279; 2,20792; -0,25072; -0,93457; -0,00900; 0,35568
637000100996247621; -0,40411; 2,20904; -0,25021; -0,93141; 0,00291; 0,36395
637000100998820731; -0,40556; 2,21136; -0,25198; -0,93064; 0,02540; 0,36505
637000101001373901; -0,40587; 2,21033; -0,25270; -0,92945; 0,02249; 0,36826
637000101003927074; -0,40643; 2,20924; -0,25208; -0,93005; 0,01129; 0,36725
