utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636961166681898380; -0,26664; 2,20159; -0,27693; 0,01599; 0,08808; 0,99598
636961166693369913; -0,25575; 2,19910; -0,27475; 0,05645; 0,05710; 0,99677
636961166695953018; -0,25240; 2,20042; -0,26841; 0,06839; 0,06671; 0,99543
636961166698506336; -0,25783; 2,19862; -0,26984; 0,04066; 0,04830; 0,99800
636961166701112130; -0,25329; 2,19793; -0,26970; 0,05839; 0,04130; 0,99744
636961166703665313; -0,25459; 2,19857; -0,26827; 0,05363; 0,03657; 0,99789
636961166706218478; -0,25660; 2,20384; -0,26754; 0,05457; 0,07921; 0,99536
636961166708771643; -0,25817; 2,20619; -0,26483; 0,03551; 0,11921; 0,99223
636961166711325180; -0,25815; 2,20581; -0,26438; 0,02291; 0,17164; 0,98489
636961166713868374; -0,26336; 2,20590; -0,26818; -0,00822; 0,20373; 0,97899
636961166716413322; -0,26991; 2,20670; -0,26458; -0,02783; 0,21437; 0,97636
636961166718996771; -0,26348; 2,20582; -0,25240; -0,05653; 0,17993; 0,98205
636961166721549609; -0,26138; 2,20483; -0,25194; -0,02465; 0,16836; 0,98542
636961166724102769; -0,25990; 2,20331; -0,24913; -0,04296; 0,14353; 0,98871
636961166726655943; -0,25724; 2,20450; -0,25466; -0,02783; 0,15831; 0,98700
636961166729211917; -0,25786; 2,20199; -0,24771; -0,05184; 0,13296; 0,98976
636961166731775158; -0,25824; 2,20221; -0,24726; -0,04203; 0,13368; 0,99013
636961166734318256; -0,25810; 2,20403; -0,24912; -0,02849; 0,14074; 0,98964
636961166736871433; -0,26222; 2,20687; -0,25190; -0,02475; 0,16006; 0,98680
636961166739428506; -0,25881; 2,20761; -0,25279; -0,00753; 0,15033; 0,98861
636961166741971709; -0,26003; 2,20794; -0,25323; -0,04196; 0,12833; 0,99084
636961166744541286; -0,25828; 2,20794; -0,25485; -0,02379; 0,13738; 0,99023
636961166747094735; -0,25970; 2,20686; -0,25416; -0,02070; 0,13880; 0,99010
636961166749647640; -0,26551; 2,20344; -0,24767; -0,08075; 0,09499; 0,99220
636961166752210908; -0,26597; 2,20310; -0,24502; -0,05796; 0,09596; 0,99370
636961166754757761; -0,26748; 2,20400; -0,24806; -0,05615; 0,12308; 0,99081
636961166757311031; -0,27139; 2,20618; -0,25153; -0,04785; 0,13200; 0,99009
636961166759871403; -0,26972; 2,20562; -0,25097; -0,04619; 0,12731; 0,99079
636961166762424574; -0,26734; 2,20346; -0,24748; -0,04485; 0,11062; 0,99285
636961166764977842; -0,26563; 2,20274; -0,24793; -0,03842; 0,10038; 0,99421
636961166767590884; -0,26356; 2,20240; -0,24997; -0,02228; 0,08951; 0,99574
636961166770198201; -0,26323; 2,20528; -0,25360; 0,00496; 0,09558; 0,99541
636961166772761887; -0,25518; 2,20758; -0,25856; 0,08147; 0,11521; 0,98999
636961166775295121; -0,25054; 2,20546; -0,26265; 0,11639; 0,09580; 0,98857
