utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636967157989098242; -0,23276; 2,08421; -0,49423; -0,83087; -0,10649; 0,54618
636967158000343405; -0,19664; 2,03607; -0,41262; 0,26627; -0,50362; 0,82187
636967158002886759; -0,19444; 2,06000; -0,43288; 0,31081; -0,32437; 0,89341
636967158005444985; -0,21214; 2,07640; -0,44765; 0,24493; -0,18402; 0,95192
636967158008038058; -0,22576; 2,09199; -0,46796; 0,12161; -0,03466; 0,99197
636967158010601199; -0,24725; 2,09976; -0,48275; -0,12210; 0,06810; 0,99018
636967158013154373; -0,23085; 2,10883; -0,51401; -0,04222; 0,18494; 0,98184
636967158015707546; -0,22842; 2,10602; -0,54702; -0,03208; 0,27477; 0,96097
636967158018270898; -0,22988; 2,10526; -0,56083; -0,01695; 0,30275; 0,95292
636967158020794146; -0,22716; 2,10098; -0,56619; -0,00353; 0,27731; 0,96077
636967158023367276; -0,22583; 2,09821; -0,56458; 0,02991; 0,24074; 0,97013
636967158025930415; -0,22643; 2,09837; -0,56646; 0,01702; 0,24925; 0,96829
636967158028483600; -0,22965; 2,09916; -0,57281; 0,04043; 0,27937; 0,95933
636967158031036838; -0,23455; 2,10246; -0,57161; 0,04137; 0,29541; 0,95448
636967158033593854; -0,23322; 2,10315; -0,57466; 0,04398; 0,30458; 0,95147
636967158036151542; -0,22928; 2,10490; -0,58047; 0,02704; 0,33841; 0,94061
636967158038694741; -0,22325; 2,10603; -0,57999; 0,05557; 0,34468; 0,93707
636967158041257886; -0,22372; 2,10498; -0,57704; 0,08891; 0,33085; 0,93949
636967158043811062; -0,23061; 2,10412; -0,57728; 0,08627; 0,32894; 0,94040
636967158046366194; -0,23408; 2,10533; -0,57779; 0,04733; 0,33866; 0,93972
636967158048919373; -0,22645; 2,10344; -0,57880; 0,02345; 0,32734; 0,94462
636967158051472540; -0,21363; 2,10478; -0,58067; 0,00107; 0,33528; 0,94212
636967158054035691; -0,20389; 2,10492; -0,58131; 0,01598; 0,33737; 0,94124
636967158056578899; -0,21475; 2,10466; -0,58081; 0,02599; 0,33675; 0,94124
636967158059132066; -0,23421; 2,10427; -0,57957; 0,04078; 0,33644; 0,94082
636967158061692350; -0,24746; 2,10408; -0,57730; 0,02601; 0,33487; 0,94191
636967158064245514; -0,25060; 2,10403; -0,57685; 0,01144; 0,33642; 0,94164
636967158066798684; -0,24302; 2,10405; -0,57927; 0,00568; 0,34021; 0,94033
636967158069351864; -0,22963; 2,10436; -0,58151; 0,01605; 0,34274; 0,93929
636967158071910315; -0,22304; 2,10417; -0,58309; 0,02248; 0,34384; 0,93876
636967158074449280; -0,22450; 2,10402; -0,58307; 0,01928; 0,34319; 0,93907
