utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636953349950774143; -0,55472; 1,96625; 1,08511; 0,92304; 0,06133; 0,37978
636953349962359745; -0,58536; 2,06901; 0,95730; 0,44056; -0,35980; 0,82247
636953349964865684; -0,40956; 2,30886; 0,84951; 0,02042; -0,02257; 0,99954
636953349967428689; -0,32995; 2,46555; 0,77021; -0,27586; -0,16396; 0,94711
636953349969996968; -0,32185; 2,62421; 0,74926; -0,27010; -0,40564; 0,87322
636953349972583304; -0,33871; 2,25714; 0,74887; -0,52423; -0,42557; 0,73761
636953349975140057; -0,37477; 2,28326; 0,79983; -0,58001; 0,43190; 0,69069
636953349977693216; -0,34908; 2,33193; 0,80972; -0,67226; 0,47805; 0,56528
636953349980256351; -0,33313; 2,33962; 0,79552; -0,62281; 0,44261; 0,64514
636953349982814580; -0,32914; 2,34242; 0,78678; -0,62268; 0,42235; 0,65870
636953349985355494; -0,33545; 2,34293; 0,78491; -0,62851; 0,45162; 0,63326
636953349987909731; -0,33016; 2,33795; 0,77163; -0,63411; 0,42684; 0,64475
636953349990463004; -0,33056; 2,33545; 0,77022; -0,61039; 0,44890; 0,65262
636953349993026020; -0,32354; 2,33627; 0,76932; -0,61833; 0,43490; 0,65462
636953349995575502; -0,26071; 2,41147; 0,74140; -0,68191; 0,44991; 0,57670
636953349998138506; -0,15629; 2,49723; 0,68054; -0,61967; 0,08617; 0,78011
636953350000681711; -0,08160; 2,54629; 0,66654; -0,59831; 0,11039; 0,79363
636953350003234884; -0,00176; 2,53280; 0,63790; -0,61642; 0,07709; 0,78364
636953350005789335; 0,03562; 2,50106; 0,60392; -0,61319; 0,08586; 0,78526
636953350008352529; 0,03121; 2,45972; 0,60762; -0,59349; 0,05752; 0,80278
636953350010906459; 0,03441; 2,40651; 0,57814; -0,57148; -0,04972; 0,81911
636953350013459635; 0,05313; 2,39890; 0,55712; -0,56032; 0,02376; 0,82794
636953350016012806; 0,06808; 2,39218; 0,55418; -0,53265; -0,03809; 0,84548
636953350018565216; 0,07384; 2,38752; 0,56572; -0,39603; -0,26374; 0,87955
636953350021124275; 0,07072; 2,38488; 0,58714; -0,34979; -0,33181; 0,87610
636953350023677440; 0,07336; 2,37262; 0,59739; -0,34863; -0,34333; 0,87211
636953350026230616; 0,07664; 2,37004; 0,60788; -0,35880; -0,32518; 0,87494
636953350028783812; 0,08435; 2,37834; 0,62044; -0,35467; -0,27682; 0,89307
636953350031326980; 0,09998; 2,38803; 0,62997; -0,30778; -0,23418; 0,92219
636953350033876941; 0,10914; 2,38809; 0,63352; -0,26053; -0,24281; 0,93443
636953350036450062; 0,11420; 2,38863; 0,64968; -0,24857; -0,32832; 0,91127
636953350039003230; 0,12184; 2,38645; 0,66056; -0,19299; -0,36698; 0,90999
636953350041555860; 0,13317; 2,39021; 0,65857; -0,17213; -0,34663; 0,92208
636953350044113302; 0,14481; 2,38969; 0,66111; -0,11525; -0,36109; 0,92538
636953350046665102; 0,14645; 2,39395; 0,66278; -0,11846; -0,31125; 0,94292
636953350049228241; 0,15001; 2,39382; 0,67216; -0,08000; -0,29730; 0,95143
636953350051771443; 0,15143; 2,39886; 0,67824; -0,09341; -0,27403; 0,95718
636953350054323915; 0,15545; 2,39917; 0,68061; -0,07983; -0,28896; 0,95401
636953350056887056; 0,15642; 2,40178; 0,67733; -0,07853; -0,24999; 0,96506
636953350059440227; 0,15525; 2,40029; 0,67874; -0,08951; -0,26043; 0,96133
636953350061993406; 0,16088; 2,39980; 0,67909; -0,03229; -0,26105; 0,96479
636953350064528685; 0,15627; 2,40222; 0,67504; -0,06773; -0,24195; 0,96792
636953350067083042; 0,15351; 2,40570; 0,67778; -0,10482; -0,22470; 0,96877
636953350069656158; 0,15364; 2,41126; 0,67736; -0,10246; -0,18014; 0,97829
636953350072209381; 0,15210; 2,40798; 0,67278; -0,10904; -0,21674; 0,97012
636953350074762504; 0,15702; 2,40458; 0,67401; -0,09608; -0,25943; 0,96097
636953350077315678; 0,15918; 2,40660; 0,67488; -0,08240; -0,25848; 0,96250
636953350079886581; 0,15965; 2,40623; 0,67284; -0,10528; -0,27189; 0,95655
636953350082429806; 0,16676; 2,40770; 0,66836; -0,13517; -0,25468; 0,95753
636953350084982980; 0,15766; 2,40479; 0,66845; -0,10102; -0,30693; 0,94636
636953350087536147; 0,15478; 2,40817; 0,67400; -0,06285; -0,28454; 0,95660
636953350090089396; 0,15226; 2,41113; 0,67438; -0,04730; -0,24814; 0,96757
636953350092645156; 0,14938; 2,41469; 0,66847; -0,03923; -0,22410; 0,97378
636953350095198201; 0,15646; 2,41094; 0,66872; -0,02586; -0,26586; 0,96366
636953350097751371; 0,16196; 2,40965; 0,66882; 0,01313; -0,25971; 0,96560
636953350100304544; 0,16611; 2,40600; 0,66625; 0,04487; -0,28464; 0,95758
636953350102872911; 0,16969; 2,40171; 0,65440; 0,07406; -0,29809; 0,95166
636953350105416145; 0,17385; 2,38923; 0,62815; 0,10821; -0,31109; 0,94420
636953350107979246; 0,18129; 2,37483; 0,57478; 0,11178; -0,22398; 0,96816
636953350110522454; 0,19223; 2,34893; 0,51567; 0,12258; -0,21772; 0,96828
636953350113078742; 0,20224; 2,30890; 0,45461; 0,15766; -0,24695; 0,95612
636953350115637436; 0,20375; 2,28000; 0,39935; 0,12070; -0,18996; 0,97434
636953350118183958; 0,20767; 2,26240; 0,37072; 0,03260; -0,09944; 0,99451
636953350120737108; 0,20794; 2,25246; 0,32018; -0,03069; 0,04864; 0,99834
636953350123300246; 0,17758; 2,23971; 0,26412; -0,44676; 0,18544; 0,87523
