utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636991466310282468; -0,20383; 2,19767; -0,68620; 0,02748; -0,03536; 0,99900
636991466320999548; -0,18799; 2,20534; -0,69035; 0,02168; 0,05834; 0,99806
636991466323673837; -0,19065; 2,21708; -0,70035; -0,04688; 0,18914; 0,98083
636991466326227009; -0,18631; 2,22402; -0,70551; -0,02165; 0,26253; 0,96468
636991466328780175; -0,18315; 2,21798; -0,70147; -0,00609; 0,20590; 0,97855
636991466331453021; -0,18208; 2,21664; -0,70498; -0,00569; 0,19843; 0,98010
636991466334001595; -0,18210; 2,21600; -0,70441; -0,00839; 0,19557; 0,98065
636991466336557929; -0,18963; 2,21533; -0,70321; -0,01204; 0,18633; 0,98241
636991466339111101; -0,19056; 2,21481; -0,70303; -0,01624; 0,20499; 0,97863
636991466341674238; -0,18953; 2,21618; -0,70317; -0,02864; 0,27213; 0,96183
636991466344257338; -0,19006; 2,21877; -0,70335; -0,03889; 0,31432; 0,94852
636991466346826401; -0,19032; 2,22198; -0,70588; -0,02787; 0,34418; 0,93849
636991466349375996; -0,18964; 2,22304; -0,70986; -0,03678; 0,35312; 0,93486
636991466351939139; -0,18832; 2,22165; -0,70830; -0,04072; 0,34228; 0,93872
636991466354482340; -0,18665; 2,23008; -0,72290; -0,00788; 0,43376; 0,90099
636991466357045480; -0,18321; 2,23107; -0,73730; -0,01170; 0,47578; 0,87949
636991466359598646; -0,18170; 2,23130; -0,73821; -0,01574; 0,47584; 0,87939
636991466362153378; -0,18390; 2,23027; -0,73410; -0,02065; 0,45433; 0,89059
636991466364706547; -0,18231; 2,22900; -0,72879; -0,01190; 0,43209; 0,90175
636991466367259716; -0,18187; 2,22814; -0,72474; -0,00806; 0,41680; 0,90896
636991466369822862; -0,18236; 2,22875; -0,72559; -0,00225; 0,42541; 0,90500
636991466372369739; -0,18356; 2,22948; -0,73019; -0,00309; 0,44134; 0,89733
636991466374920453; -0,18275; 2,22889; -0,72817; 0,00117; 0,43348; 0,90116
636991466377472219; -0,18516; 2,22793; -0,72532; -0,01262; 0,42011; 0,90738
636991466380035367; -0,18671; 2,22768; -0,72502; -0,02334; 0,41713; 0,90855
636991466382598507; -0,18618; 2,22644; -0,72254; -0,02138; 0,40285; 0,91502
636991466385141705; -0,18101; 2,22541; -0,71862; 0,02636; 0,37561; 0,92640
636991466387694871; -0,17790; 2,22451; -0,71972; 0,06386; 0,32818; 0,94245
636991466390247210; -0,17925; 2,22237; -0,71845; 0,02891; 0,30066; 0,95329
636991466392800271; -0,18644; 2,22143; -0,72070; 0,00297; 0,30911; 0,95102
636991466395358510; -0,18944; 2,22104; -0,72231; -0,00577; 0,30151; 0,95345
636991466397921653; -0,18774; 2,22126; -0,72050; -0,00544; 0,28586; 0,95826
636991466400454871; -0,18627; 2,22228; -0,71890; -0,00572; 0,29262; 0,95621
636991466403007739; -0,18509; 2,22211; -0,72171; -0,02149; 0,29639; 0,95482
636991466405574096; -0,18517; 2,22234; -0,72016; -0,02144; 0,28958; 0,95691
636991466408132347; -0,18658; 2,22103; -0,71940; -0,01507; 0,28306; 0,95898
636991466410685510; -0,18146; 2,22116; -0,71949; 0,03889; 0,28602; 0,95743
636991466413238682; -0,17750; 2,22093; -0,72020; 0,07198; 0,28364; 0,95623
636991466415801906; -0,17830; 2,22039; -0,72002; 0,06708; 0,27907; 0,95793
636991466418355178; -0,18025; 2,22039; -0,71895; 0,05368; 0,27541; 0,95983
636991466420903343; -0,18252; 2,21928; -0,71741; 0,03416; 0,26427; 0,96384
636991466423461673; -0,18499; 2,21951; -0,71606; 0,02114; 0,26169; 0,96492
636991466426014833; -0,18576; 2,21948; -0,71677; 0,01672; 0,26182; 0,96497
636991466428568005; -0,18506; 2,21911; -0,71681; 0,01769; 0,25906; 0,96570
636991466431121183; -0,18502; 2,21887; -0,71631; 0,01831; 0,25500; 0,96677
636991466433675628; -0,18431; 2,21774; -0,71409; 0,03374; 0,23880; 0,97048
636991466436233879; -0,18371; 2,21740; -0,71320; 0,03560; 0,23310; 0,97180
636991466438787051; -0,18398; 2,21723; -0,71348; 0,03467; 0,23361; 0,97171
636991466441340217; -0,18496; 2,21715; -0,71317; 0,03194; 0,23264; 0,97204
636991466443893386; -0,18530; 2,21708; -0,71295; 0,02978; 0,23110; 0,97247
636991466446446558; -0,18522; 2,21702; -0,71315; 0,03138; 0,23109; 0,97243
636991466448999721; -0,18463; 2,21744; -0,71304; 0,03406; 0,23478; 0,97145
636991466451547995; -0,18608; 2,21822; -0,71359; 0,02057; 0,24306; 0,96979
