utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636960466888406238; -0,28717; 2,15996; -0,28073; 0,07841; -0,15529; 0,98475
636960466899625900; -0,30161; 2,17026; -0,29063; 0,01269; -0,05658; 0,99832
636960466902159129; -0,29782; 2,17391; -0,29174; 0,03162; -0,01985; 0,99930
636960466904712303; -0,30046; 2,17712; -0,29373; 0,01752; 0,01436; 0,99974
636960466907308197; -0,30239; 2,18063; -0,29500; 0,00156; 0,04935; 0,99878
636960466909871333; -0,30479; 2,18279; -0,29667; -0,01180; 0,07394; 0,99719
636960466912433254; -0,31106; 2,18355; -0,29527; -0,03712; 0,08118; 0,99601
636960466914986285; -0,30737; 2,18354; -0,29761; -0,02262; 0,08877; 0,99580
636960466917529491; -0,30722; 2,18429; -0,29748; -0,00054; 0,09007; 0,99594
636960466920082665; -0,30796; 2,18457; -0,29856; -0,00061; 0,09335; 0,99563
636960466922650626; -0,30871; 2,18526; -0,29522; -0,01572; 0,09752; 0,99511
636960466925188209; -0,30219; 2,18448; -0,29519; -0,00097; 0,09725; 0,99526
636960466927751343; -0,31112; 2,18209; -0,29560; -0,02710; 0,06813; 0,99731
636960466930314617; -0,31211; 2,18076; -0,29791; -0,04451; 0,06077; 0,99716
636960466932867665; -0,31049; 2,18266; -0,29933; -0,03663; 0,07517; 0,99650
636960466935419515; -0,30681; 2,18422; -0,30404; -0,02997; 0,12013; 0,99231
636960466937968846; -0,31154; 2,18482; -0,30612; -0,05986; 0,14021; 0,98831
636960466940529195; -0,31269; 2,18441; -0,30736; -0,06738; 0,14183; 0,98760
636960466943082378; -0,31447; 2,18541; -0,30865; -0,07385; 0,15612; 0,98497
636960466945635543; -0,31876; 2,18405; -0,30625; -0,07436; 0,15504; 0,98511
636960466948193320; -0,31469; 2,18462; -0,30540; -0,05534; 0,13738; 0,98897
636960466950742245; -0,30954; 2,18580; -0,30324; -0,02918; 0,13924; 0,98983
636960466953295419; -0,31073; 2,18710; -0,30196; -0,04401; 0,14283; 0,98877
636960466955858567; -0,30963; 2,18514; -0,30341; -0,05584; 0,13162; 0,98973
636960466958401764; -0,30270; 2,18329; -0,30167; -0,02996; 0,11315; 0,99313
636960466960964909; -0,30478; 2,18360; -0,30229; -0,02646; 0,11598; 0,99290
636960466963524513; -0,30736; 2,18393; -0,30229; -0,03566; 0,11825; 0,99234
636960466966067719; -0,30407; 2,18404; -0,30187; -0,01772; 0,11776; 0,99288
636960466968630858; -0,30104; 2,18407; -0,30208; -0,00203; 0,11822; 0,99299
636960466971184035; -0,30150; 2,18431; -0,30151; -0,00282; 0,11854; 0,99294
636960466973730046; -0,30124; 2,18442; -0,30150; -0,00407; 0,11933; 0,99285
636960466976283217; -0,30194; 2,18387; -0,30122; -0,00501; 0,11755; 0,99305
636960466978836432; -0,30232; 2,18390; -0,30154; -0,00415; 0,11809; 0,99299
636960466981399581; -0,30244; 2,18387; -0,30117; -0,00597; 0,11796; 0,99300
636960466983952755; -0,30393; 2,18397; -0,30146; -0,00829; 0,11825; 0,99295
636960466986505929; -0,30293; 2,18448; -0,30157; -0,00536; 0,12026; 0,99273
636960466989054561; -0,30295; 2,18453; -0,30131; -0,00672; 0,11965; 0,99279
636960466991615404; -0,30311; 2,18450; -0,30137; -0,00713; 0,11956; 0,99280
636960466994171337; -0,30313; 2,18519; -0,30141; -0,01064; 0,12287; 0,99237
636960466996724514; -0,30362; 2,18562; -0,30124; -0,01872; 0,12284; 0,99225
636960466999277685; -0,30145; 2,18453; -0,30146; -0,01371; 0,11807; 0,99291
636960467001835082; -0,29954; 2,18354; -0,30139; 0,01216; 0,11134; 0,99371
636960467004388259; -0,29974; 2,18314; -0,30100; 0,01049; 0,10818; 0,99408
636960467006952406; -0,29838; 2,18257; -0,30043; 0,01853; 0,10262; 0,99455
636960467009495615; -0,29773; 2,18255; -0,30055; 0,02087; 0,10368; 0,99439
636960467012048783; -0,29807; 2,18247; -0,29982; 0,01958; 0,10250; 0,99454
636960467014611926; -0,29779; 2,18248; -0,29995; 0,01954; 0,10350; 0,99444
636960467017160211; -0,29814; 2,18253; -0,30013; 0,01989; 0,10371; 0,99441
636960467019716056; -0,29779; 2,18264; -0,29989; 0,02119; 0,10369; 0,99438
636960467022263268; -0,29786; 2,18299; -0,30005; 0,01841; 0,10725; 0,99406
636960467024816442; -0,29983; 2,18358; -0,30071; 0,01014; 0,11177; 0,99368
636960467027379599; -0,30068; 2,18411; -0,30086; 0,00676; 0,11581; 0,99325
636960467029912819; -0,30102; 2,18457; -0,30129; -0,00492; 0,11985; 0,99278
636960467032481049; -0,29867; 2,18452; -0,30137; -0,00652; 0,11888; 0,99289
636960467035039282; -0,29993; 2,18395; -0,30167; -0,00072; 0,11768; 0,99305
636960467037597532; -0,30114; 2,18350; -0,30095; 0,00279; 0,11393; 0,99349
636960467040150838; -0,30051; 2,18372; -0,30160; 0,00147; 0,11639; 0,99320
636960467042713840; -0,30018; 2,18354; -0,30099; 0,00277; 0,11407; 0,99347
636960467045256222; -0,30133; 2,18379; -0,30092; 0,00194; 0,11472; 0,99340
636960467047817926; -0,30175; 2,18384; -0,30104; 0,00232; 0,11577; 0,99327
