utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636966491706342647; -0,49198; 1,98968; -0,61797; 0,15737; 0,48101; 0,86247
636966491717689593; -0,50539; 1,99149; -0,61279; 0,12896; 0,48295; 0,86610
636966491720212894; -0,49392; 1,98744; -0,59360; -0,05035; 0,35182; 0,93471
636966491722772733; -0,45112; 1,98773; -0,61475; -0,06482; 0,45190; 0,88971
636966491725375765; -0,41954; 1,99575; -0,60643; -0,08120; 0,44279; 0,89294
636966491727927267; -0,41911; 1,99339; -0,60829; -0,05558; 0,43552; 0,89846
636966491730480420; -0,42822; 1,98923; -0,61487; -0,03166; 0,44806; 0,89344
636966491733033599; -0,43837; 1,99078; -0,61468; 0,01164; 0,45263; 0,89162
636966491735596738; -0,44776; 1,99038; -0,61638; 0,02480; 0,45817; 0,88852
636966491738149905; -0,44842; 1,99065; -0,61604; 0,02975; 0,45658; 0,88919
636966491740700933; -0,44545; 1,99022; -0,61741; 0,04399; 0,45845; 0,88763
636966491743258461; -0,44672; 1,99081; -0,61750; 0,03588; 0,46171; 0,88630
636966491745811640; -0,44637; 1,99041; -0,61793; 0,03846; 0,46196; 0,88607
636966491748364919; -0,44643; 1,99014; -0,61815; 0,04075; 0,45950; 0,88724
636966491750917984; -0,44603; 1,98984; -0,61856; 0,04215; 0,46004; 0,88690
636966491753471154; -0,44633; 1,99028; -0,61817; 0,04182; 0,46034; 0,88675
636966491756030178; -0,44623; 1,99029; -0,61822; 0,04324; 0,46014; 0,88679
636966491758583355; -0,44604; 1,99021; -0,61825; 0,04352; 0,45942; 0,88715
636966491761126551; -0,44596; 1,99007; -0,61838; 0,04426; 0,45940; 0,88713
636966491763679724; -0,44560; 1,99006; -0,61846; 0,04553; 0,45946; 0,88703
636966491766235782; -0,44516; 1,98998; -0,61855; 0,04790; 0,45869; 0,88730
636966491768798929; -0,44470; 1,98958; -0,61854; 0,04865; 0,45818; 0,88753
636966491771358494; -0,44478; 1,98960; -0,61874; 0,04751; 0,45853; 0,88741
