utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636953474876100576; -0,00256; 2,05469; -0,48619; 0,97493; -0,03492; 0,21974
636953474887067229; -0,06422; 2,07570; -0,39206; 0,03579; 0,05847; 0,99765
636953474889650304; -0,04352; 2,08376; -0,42734; 0,00135; 0,21551; 0,97650
636953474892199889; -0,03182; 2,07671; -0,41804; 0,08098; 0,13002; 0,98820
636953474894802932; -0,03734; 2,07181; -0,40739; 0,09524; 0,07041; 0,99296
636953474897354656; -0,04188; 2,06327; -0,39700; 0,09249; -0,02879; 0,99530
636953474899907821; -0,04059; 2,06057; -0,38885; 0,10638; -0,06311; 0,99232
636953474902460991; -0,04024; 2,06176; -0,39245; 0,09814; -0,04865; 0,99398
636953474905024147; -0,04054; 2,06320; -0,39294; 0,09801; -0,03610; 0,99453
636953474907567329; -0,04091; 2,06235; -0,39289; 0,09461; -0,04061; 0,99469
636953474910123804; -0,04110; 2,06260; -0,39201; 0,09638; -0,04078; 0,99451
636953474912686928; -0,04473; 2,07388; -0,39958; 0,04451; 0,07761; 0,99599
636953474915240107; -0,04583; 2,07525; -0,40455; 0,03195; 0,09954; 0,99452
636953474917783304; -0,04303; 2,07147; -0,40081; 0,07487; 0,05155; 0,99586
636953474920345376; -0,04186; 2,06956; -0,40139; 0,08457; 0,03103; 0,99593
636953474922905299; -0,04218; 2,06707; -0,39917; 0,09336; 0,00146; 0,99563
636953474925457824; -0,04207; 2,06644; -0,39783; 0,09249; -0,00603; 0,99570
636953474928011050; -0,04180; 2,06668; -0,39775; 0,09249; -0,00598; 0,99570
636953474930563954; -0,04180; 2,06676; -0,39805; 0,09134; -0,00264; 0,99582
636953474933117125; -0,04236; 2,06670; -0,39743; 0,09123; -0,00549; 0,99581
636953474935670578; -0,04576; 2,07140; -0,40121; 0,04788; 0,04655; 0,99777
636953474938238971; -0,04490; 2,07100; -0,40255; 0,06696; 0,04207; 0,99687
636953474940778193; -0,04247; 2,06925; -0,40203; 0,09544; 0,02096; 0,99521
636953474943331375; -0,04310; 2,06951; -0,40295; 0,09393; 0,02565; 0,99525
636953474945894505; -0,04430; 2,06960; -0,40268; 0,09067; 0,02618; 0,99554
