utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636998453846154970; -0,48055; 2,07984; 0,35371; 0,58003; -0,02717; 0,81414
636998453857344685; -0,39242; 2,08361; 0,29096; 0,45925; -0,03816; 0,88748
636998453859877910; -0,40009; 2,08883; 0,28895; 0,39060; 0,01857; 0,92037
636998453862431078; -0,42863; 2,09615; 0,29141; 0,10611; 0,10086; 0,98923
636998453865034118; -0,44122; 2,10322; 0,28336; -0,01726; 0,19471; 0,98071
636998453867587005; -0,44170; 2,10426; 0,27835; -0,03526; 0,22149; 0,97452
636998453870150138; -0,44135; 2,10397; 0,27438; -0,01454; 0,23255; 0,97248
636998453872703323; -0,43556; 2,10483; 0,27549; 0,03811; 0,22131; 0,97446
636998453875256490; -0,43346; 2,09837; 0,28176; 0,10453; 0,15866; 0,98178
636998453877809707; -0,43878; 2,09701; 0,27931; 0,08501; 0,15907; 0,98360
636998453880360639; -0,43877; 2,09572; 0,28402; 0,06496; 0,14276; 0,98762
636998453882922503; -0,44545; 2,09234; 0,29006; 0,05677; 0,12009; 0,99114
636998453885475665; -0,45729; 2,09190; 0,28837; 0,06186; 0,10287; 0,99277
636998453888028891; -0,46362; 2,09062; 0,28809; 0,07403; 0,08280; 0,99381
636998453890582012; -0,47187; 2,08955; 0,28728; 0,06400; 0,06769; 0,99565
636998453893145504; -0,46647; 2,08763; 0,28897; 0,07576; 0,03951; 0,99634
636998453895692143; -0,46528; 2,08597; 0,29226; 0,06621; 0,01966; 0,99761
636998453898235441; -0,46539; 2,08623; 0,29072; 0,07139; 0,03251; 0,99692
636998453900798483; -0,46147; 2,08639; 0,28320; 0,09231; 0,05261; 0,99434
636998453903351654; -0,45588; 2,08523; 0,27953; 0,05150; 0,03989; 0,99788
636998453905904996; -0,44905; 2,08490; 0,27552; 0,04040; 0,04197; 0,99830
636998453908468144; -0,44600; 2,08515; 0,27501; 0,05478; 0,04515; 0,99748
636998453911021621; -0,44593; 2,08469; 0,27722; 0,05348; 0,04231; 0,99767
636998453913574800; -0,44232; 2,08444; 0,27841; 0,05601; 0,03888; 0,99767
636998453916127973; -0,44253; 2,08463; 0,27881; 0,05537; 0,04139; 0,99761
636998453918681144; -0,44248; 2,08400; 0,27881; 0,05551; 0,03642; 0,99779
636998453921263742; -0,44255; 2,08414; 0,27893; 0,05732; 0,03699; 0,99767
636998453923785354; -0,44448; 2,08475; 0,27821; 0,04699; 0,04527; 0,99787
636998453926348493; -0,44795; 2,08773; 0,27658; 0,01413; 0,07256; 0,99726
636998453928901663; -0,44457; 2,08990; 0,27270; 0,00097; 0,07649; 0,99707
636998453931454839; -0,44019; 2,09047; 0,26649; -0,00873; 0,07973; 0,99678
636998453934017978; -0,42750; 2,08932; 0,25977; -0,05576; 0,07744; 0,99544
636998453936561177; -0,38120; 2,08960; 0,24126; -0,18322; 0,06185; 0,98112
636998453939089691; -0,33249; 2,09172; 0,21664; -0,33893; 0,05379; 0,93927
636998453941668003; -0,29349; 2,09064; 0,19500; -0,46312; 0,03814; 0,88547
