utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
637018185694310618; -0,22534; 2,15996; -0,64162; 0,00514; -0,12190; 0,99253
637018185705189162; -0,21865; 2,17169; -0,65685; 0,03141; 0,02880; 0,99909
637018185707702445; -0,21983; 2,17423; -0,66193; 0,01735; 0,06899; 0,99747
637018185710255250; -0,21944; 2,17493; -0,66376; 0,01744; 0,08092; 0,99657
637018185712808417; -0,21931; 2,17215; -0,66039; 0,01790; 0,04497; 0,99883
637018185715371564; -0,22126; 2,17239; -0,65836; 0,01113; 0,03692; 0,99926
637018185717969795; -0,21987; 2,17281; -0,66172; 0,01551; 0,04915; 0,99867
637018185720528325; -0,21726; 2,17609; -0,66310; 0,03636; 0,08802; 0,99545
637018185723061541; -0,21637; 2,18207; -0,66965; 0,04879; 0,17207; 0,98388
637018185725624694; -0,21799; 2,17908; -0,67872; 0,03391; 0,16476; 0,98575
637018185728187833; -0,21810; 2,17928; -0,67747; 0,03213; 0,15961; 0,98666
637018185730736973; -0,21924; 2,17891; -0,67826; 0,02807; 0,16005; 0,98671
637018185733301155; -0,21911; 2,17880; -0,67769; 0,02806; 0,15814; 0,98702
637018185735854328; -0,21935; 2,17876; -0,67808; 0,02669; 0,15950; 0,98684
637018185738407502; -0,21970; 2,17886; -0,67778; 0,02506; 0,15961; 0,98686
637018185740969220; -0,21948; 2,17874; -0,67840; 0,02586; 0,16156; 0,98652
637018185743512413; -0,22015; 2,17915; -0,67801; 0,02130; 0,16282; 0,98643
637018185746065587; -0,22363; 2,17991; -0,67915; 0,00669; 0,17211; 0,98506
637018185748628734; -0,22649; 2,18078; -0,67978; -0,00410; 0,17702; 0,98420
637018185751181898; -0,22579; 2,18103; -0,68147; -0,00814; 0,18293; 0,98309
637018185753730554; -0,22604; 2,18050; -0,68159; -0,00271; 0,17883; 0,98388
637018185756288698; -0,22800; 2,18049; -0,68271; -0,01508; 0,18118; 0,98333
637018185758837391; -0,22835; 2,18052; -0,68283; -0,01500; 0,18200; 0,98318
637018185761390564; -0,22875; 2,18133; -0,68314; -0,01596; 0,18881; 0,98188
637018185763953706; -0,22958; 2,18125; -0,68324; -0,02025; 0,18827; 0,98191
637018185766506806; -0,22978; 2,18116; -0,68400; -0,02105; 0,18860; 0,98183
637018185769065465; -0,22903; 2,18324; -0,68360; -0,01882; 0,20993; 0,97753
637018185771609336; -0,22645; 2,19159; -0,65792; 0,00151; 0,26685; 0,96374
637018185774172480; -0,23200; 2,19564; -0,67427; -0,02408; 0,32722; 0,94464
637018185776725648; -0,23102; 2,18701; -0,69622; -0,02338; 0,32556; 0,94523
637018185779265688; -0,22343; 2,18831; -0,68387; 0,00835; 0,29275; 0,95615
637018185781837071; -0,22483; 2,18648; -0,68741; 0,00747; 0,29241; 0,95626
637018185784390203; -0,22375; 2,18646; -0,68648; 0,01137; 0,29036; 0,95685
637018185786943373; -0,22302; 2,18619; -0,68695; 0,01355; 0,29011; 0,95690
637018185789481680; -0,22538; 2,18642; -0,68640; 0,00452; 0,29002; 0,95701
637018185792044819; -0,22480; 2,18624; -0,68666; 0,00477; 0,28968; 0,95711
637018185794607998; -0,22604; 2,18638; -0,68592; 0,00252; 0,28873; 0,95741
637018185797161166; -0,22581; 2,18624; -0,68647; -0,00001; 0,28930; 0,95724
637018185799714339; -0,22707; 2,18642; -0,68592; -0,00182; 0,28825; 0,95755
637018185802277478; -0,22664; 2,18622; -0,68650; -0,00090; 0,28916; 0,95728
637018185804820671; -0,22659; 2,18627; -0,68607; -0,00107; 0,28820; 0,95757
637018185807373850; -0,22706; 2,18611; -0,68650; -0,00307; 0,28880; 0,95738
637018185809936989; -0,22595; 2,18610; -0,68596; -0,00141; 0,28779; 0,95769
637018185812490165; -0,22612; 2,18602; -0,68632; 0,00156; 0,28772; 0,95771
637018185815043338; -0,22616; 2,18608; -0,68619; 0,00145; 0,28751; 0,95778
637018185817596500; -0,22567; 2,18587; -0,68617; 0,00171; 0,28703; 0,95792
637018185820155626; -0,22612; 2,18581; -0,68603; 0,00004; 0,28718; 0,95788
637018185822698814; -0,22594; 2,18607; -0,68538; 0,00129; 0,28915; 0,95728
637018185825261964; -0,24180; 2,18875; -0,66952; -0,12603; 0,27656; 0,95270
637018185827820175; -0,27602; 2,18382; -0,64355; -0,44430; 0,14556; 0,88397
637018185830372247; -0,28943; 2,18133; -0,64532; -0,61441; 0,11924; 0,77993
637018185832905478; -0,29526; 2,18377; -0,65078; -0,71096; 0,14721; 0,68766
637018185835456097; -0,30422; 2,18402; -0,65466; -0,79098; 0,15041; 0,59306
637018185838039181; -0,30781; 2,18406; -0,65363; -0,84886; 0,14702; 0,50776
637018185840587433; -0,30133; 2,18362; -0,64361; -0,87210; 0,12839; 0,47218
637018185843150022; -0,29283; 2,18308; -0,64019; -0,87739; 0,11666; 0,46539
637018185845702198; -0,29053; 2,18105; -0,64351; -0,88457; 0,10473; 0,45450
637018185848255366; -0,28819; 2,18126; -0,64389; -0,88615; 0,10446; 0,45148
637018185850808565; -0,29186; 2,18105; -0,64380; -0,88548; 0,09941; 0,45391
637018185853378779; -0,29205; 2,18045; -0,64543; -0,88624; 0,09615; 0,45314
637018185855921978; -0,29237; 2,18053; -0,64428; -0,88407; 0,09526; 0,45754
637018185858478287; -0,29270; 2,18033; -0,64451; -0,88408; 0,09365; 0,45785
637018185860971625; -0,29229; 2,18072; -0,64423; -0,87988; 0,09776; 0,46503
637018185863554718; -0,29187; 2,18076; -0,64423; -0,87681; 0,09942; 0,47045
637018185866140052; -0,28999; 2,18235; -0,64377; -0,86682; 0,11513; 0,48515
637018185868686319; -0,28746; 2,18419; -0,64500; -0,84766; 0,13565; 0,51290
637018185871239487; -0,28598; 2,18700; -0,64723; -0,83455; 0,15498; 0,52868
637018185873802631; -0,28427; 2,18820; -0,65102; -0,80680; 0,16444; 0,56748
637018185876355798; -0,28147; 2,19154; -0,66174; -0,78833; 0,19275; 0,58428
637018185878897881; -0,27096; 2,19678; -0,66449; -0,69780; 0,26224; 0,66656
637018185881456239; -0,22658; 2,18827; -0,63222; -0,27185; 0,19328; 0,94273
637018185884018360; -0,20177; 2,18553; -0,63564; -0,00128; 0,12481; 0,99218
637018185886571537; -0,19065; 2,18461; -0,65735; 0,08909; 0,20387; 0,97494
637018185889124710; -0,19440; 2,17974; -0,64666; 0,10733; 0,11623; 0,98741
637018185891677877; -0,19997; 2,17287; -0,63065; 0,08531; 0,00583; 0,99634
637018185894234484; -0,20014; 2,17079; -0,62762; 0,08398; -0,01652; 0,99633
637018185896789382; -0,20492; 2,17163; -0,62780; 0,06144; -0,00873; 0,99807
637018185899342546; -0,20709; 2,17204; -0,62926; 0,04934; -0,00283; 0,99878
637018185901895717; -0,20659; 2,17231; -0,63047; 0,05117; 0,00163; 0,99869
637018185904444094; -0,20789; 2,17260; -0,63160; 0,04635; 0,00510; 0,99891
637018185906989754; -0,20854; 2,17351; -0,63276; 0,04176; 0,01496; 0,99902
637018185909558095; -0,21380; 2,17807; -0,63530; -0,00667; 0,06855; 0,99763
637018185912111133; -0,22065; 2,18766; -0,64750; -0,05943; 0,20669; 0,97660
637018185914674269; -0,21976; 2,18899; -0,66596; -0,04876; 0,27129; 0,96126
637018185917217468; -0,21895; 2,18657; -0,68135; -0,04253; 0,28860; 0,95650
637018185919785724; -0,21430; 2,18700; -0,68331; -0,02229; 0,28930; 0,95698
637018185922328166; -0,21405; 2,18701; -0,68400; -0,02215; 0,29085; 0,95651
637018185924876430; -0,21522; 2,18725; -0,68429; -0,02637; 0,29134; 0,95626
637018185927429606; -0,21358; 2,18717; -0,68448; -0,02049; 0,29084; 0,95655
637018185929992748; -0,21514; 2,18679; -0,68461; -0,02105; 0,28992; 0,95682
637018185932541745; -0,21937; 2,18688; -0,68491; -0,01825; 0,29141; 0,95643
637018185935109992; -0,22152; 2,18734; -0,68491; -0,01640; 0,29409; 0,95564
637018185937653270; -0,21938; 2,18721; -0,68459; -0,00916; 0,29165; 0,95648
637018185940206361; -0,22085; 2,18703; -0,68511; -0,01376; 0,29261; 0,95613
637018185942769523; -0,22070; 2,18696; -0,68485; -0,01386; 0,29163; 0,95643
637018185945320817; -0,22069; 2,18681; -0,68500; -0,01390; 0,29104; 0,95661
637018185947869736; -0,22048; 2,18679; -0,68499; -0,01353; 0,29102; 0,95662
637018185950422906; -0,22049; 2,18679; -0,68483; -0,01127; 0,29009; 0,95693
637018185952986053; -0,22096; 2,18673; -0,68506; -0,01157; 0,29077; 0,95672
637018185955543999; -0,21992; 2,18671; -0,68476; -0,01000; 0,29026; 0,95690
637018185958093008; -0,22125; 2,18666; -0,68526; -0,01447; 0,29084; 0,95666
637018185960626236; -0,22084; 2,18681; -0,68519; -0,01289; 0,29072; 0,95672
637018185963199346; -0,22116; 2,18678; -0,68522; -0,01240; 0,29068; 0,95674
637018185965752516; -0,22072; 2,18683; -0,68523; -0,00806; 0,29054; 0,95683
637018185968310771; -0,22185; 2,18671; -0,68507; -0,00782; 0,28964; 0,95710
637018185970863942; -0,22172; 2,18664; -0,68506; -0,00607; 0,28947; 0,95717
637018185973417109; -0,22225; 2,18652; -0,68525; -0,00663; 0,28978; 0,95707
637018185975988392; -0,22183; 2,18646; -0,68495; -0,00459; 0,28902; 0,95731
637018185978521614; -0,22233; 2,18653; -0,68527; -0,00586; 0,28961; 0,95713
637018185981084768; -0,22257; 2,18654; -0,68513; -0,00721; 0,28933; 0,95720
637018185983636830; -0,22208; 2,18647; -0,68513; -0,00650; 0,28881; 0,95736
637018185986140116; -0,22232; 2,18652; -0,68519; -0,00707; 0,28989; 0,95703
637018185988693286; -0,22296; 2,18646; -0,68531; -0,00886; 0,28972; 0,95707
637018185991286511; -0,22258; 2,18656; -0,68514; -0,00986; 0,28960; 0,95710
637018185993849494; -0,22299; 2,18643; -0,68508; -0,01010; 0,28924; 0,95720
637018185996402665; -0,22282; 2,18642; -0,68515; -0,01063; 0,28961; 0,95708
637018185998965809; -0,22392; 2,18656; -0,68488; -0,01480; 0,28898; 0,95722
637018186001518976; -0,22433; 2,18644; -0,68490; -0,01755; 0,28878; 0,95723
637018186004072155; -0,22351; 2,18657; -0,68510; -0,01555; 0,29004; 0,95689
