utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636959564783042335; -0,14395; 2,28371; -0,41882; 0,20098; 0,21394; 0,95595
636959564794061962; -0,14986; 2,26458; -0,41534; 0,20109; 0,01806; 0,97941
636959564796575844; -0,14845; 2,26522; -0,41514; 0,18833; 0,02217; 0,98185
636959564799136221; -0,15588; 2,26857; -0,41094; 0,06581; 0,03994; 0,99703
636959564801709334; -0,14859; 2,26050; -0,41547; 0,01763; 0,00123; 0,99984
636959564804292429; -0,12778; 2,25595; -0,41775; -0,00194; -0,02610; 0,99966
636959564806851947; -0,11082; 2,25880; -0,42243; 0,00737; 0,02901; 0,99955
636959564809411827; -0,11752; 2,26941; -0,43731; -0,06296; 0,15105; 0,98652
636959564811962668; -0,13077; 2,26789; -0,44141; -0,11196; 0,13882; 0,98397
636959564814505865; -0,13388; 2,26757; -0,44007; -0,07799; 0,13364; 0,98796
636959564817069003; -0,13036; 2,26739; -0,43306; 0,00462; 0,10674; 0,99428
636959564819622176; -0,13351; 2,26349; -0,44008; 0,03024; 0,09131; 0,99536
636959564822185318; -0,12941; 2,25853; -0,43287; 0,02758; 0,04815; 0,99846
636959564824730916; -0,13447; 2,26789; -0,44097; 0,00910; 0,17087; 0,98525
636959564827284090; -0,14076; 2,27021; -0,44795; -0,00191; 0,18819; 0,98213
636959564829837260; -0,13470; 2,27380; -0,44818; 0,00922; 0,19985; 0,97978
636959564832380453; -0,13941; 2,27616; -0,44508; -0,02662; 0,19028; 0,98137
636959564834933694; -0,13618; 2,27187; -0,44349; -0,01525; 0,16074; 0,98688
636959564837504673; -0,13952; 2,27232; -0,44893; -0,01950; 0,17568; 0,98425
636959564840056286; -0,15118; 2,27396; -0,45314; -0,08537; 0,18634; 0,97877
636959564842609456; -0,15747; 2,27263; -0,45575; -0,11536; 0,18180; 0,97655
636959564845162738; -0,14259; 2,27216; -0,45077; -0,07391; 0,18159; 0,98059
636959564847714911; -0,14675; 2,27328; -0,45438; -0,10521; 0,18865; 0,97639
636959564850283547; -0,15252; 2,27319; -0,46981; -0,10450; 0,21657; 0,97066
636959564852826489; -0,15044; 2,25585; -0,51189; 0,03782; 0,24993; 0,96752
636959564855379630; -0,17021; 2,21110; -0,55729; 0,07384; 0,20883; 0,97516
636959564857942766; -0,16961; 2,22675; -0,52573; 0,07298; 0,14681; 0,98647
636959564860485971; -0,15901; 2,23476; -0,50464; 0,09063; 0,08812; 0,99198
636959564863049112; -0,15567; 2,24163; -0,51714; 0,07631; 0,14828; 0,98600
636959564865596146; -0,15998; 2,24554; -0,50858; 0,00935; 0,15213; 0,98832
636959564868159299; -0,16464; 2,24865; -0,47825; -0,02424; 0,11694; 0,99284
636959564870712753; -0,16263; 2,24284; -0,47425; -0,04578; 0,08237; 0,99555
636959564873278057; -0,16398; 2,24182; -0,50940; -0,07119; 0,13392; 0,98843
636959564875811285; -0,16679; 2,23802; -0,53394; -0,07421; 0,19320; 0,97835
636959564878368409; -0,16143; 2,23901; -0,53978; -0,05046; 0,21799; 0,97465
636959564880926656; -0,15755; 2,24044; -0,53652; -0,03460; 0,21671; 0,97562
636959564883489794; -0,15762; 2,23971; -0,53873; -0,04123; 0,22213; 0,97414
636959564886032993; -0,15372; 2,24326; -0,53462; -0,01029; 0,22548; 0,97419
636959564888596141; -0,14800; 2,25189; -0,50810; -0,02939; 0,20115; 0,97912
636959564891139331; -0,14977; 2,24439; -0,49994; -0,12238; 0,10568; 0,98684
636959564893687598; -0,14339; 2,25013; -0,52645; -0,03813; 0,22249; 0,97419
636959564896249594; -0,13933; 2,24827; -0,52977; -0,02341; 0,21882; 0,97548
636959564898802770; -0,14560; 2,24875; -0,52316; -0,02586; 0,20727; 0,97794
