utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636959556685078088; 0,00000; 1,10000; 0,00000; 0,00000; 0,00000; 1,00000
636959556695412220; 1,66017; 2,26562; -0,94859; -0,68534; -0,08407; -0,72336
636959556697975359; 1,67867; 2,25484; -0,92629; -0,68254; -0,13041; -0,71912
636959556700528523; 1,68429; 2,25430; -0,93421; -0,62021; -0,09370; -0,77882
636959556703131564; 1,69667; 2,25503; -0,95267; -0,42000; -0,06470; -0,90522
636959556705684936; 1,70726; 2,25817; -0,95516; -0,41342; -0,02895; -0,91008
636959556708238121; 1,72313; 2,25965; -0,95964; -0,31525; 0,01079; -0,94895
636959556710791277; 1,75570; 2,26414; -0,97188; -0,21266; 0,11397; -0,97046
636959556713344447; 1,80416; 2,27012; -0,97045; -0,09740; 0,22738; -0,96892
636959556715899990; 1,78841; 2,27066; -0,95966; -0,48672; 0,16314; -0,85819
636959556718453181; 1,70193; 2,25506; -0,91330; -0,75750; -0,17009; -0,63029
636959556721016583; 1,62534; 2,23833; -0,86639; -0,87233; -0,37385; -0,31508
636959556723569756; 1,57764; 2,21991; -0,83436; -0,86229; -0,50529; 0,03371
636959556726132921; 1,58784; 2,23504; -0,81201; -0,85939; -0,36627; 0,35678
636959556728686085; 1,61056; 2,24883; -0,80978; -0,74974; -0,23672; 0,61794
636959556731229258; 1,61786; 2,24790; -0,80144; -0,54191; -0,24619; 0,80357
636959556733783475; 1,64224; 2,24713; -0,79951; -0,52323; -0,22818; 0,82108
636959556736336631; 1,65695; 2,25926; -0,81103; -0,47577; -0,13064; 0,86981
636959556738894895; 1,67656; 2,26629; -0,80792; -0,35013; -0,02846; 0,93627
636959556741448056; 1,65633; 2,24216; -0,79266; -0,55751; -0,25890; 0,78876
636959556744011461; 1,61535; 2,22109; -0,80383; -0,72054; -0,43055; 0,54355
636959556746554406; 1,60135; 2,21783; -0,82222; -0,74534; -0,44286; 0,49834
636959556749107576; 1,62796; 2,23628; -0,82315; -0,50252; -0,21738; 0,83680
636959556751665805; 1,67340; 2,27374; -0,83936; -0,25977; -0,02536; 0,96534
636959556754219092; 1,70865; 2,28546; -0,83086; -0,22863; 0,06144; 0,97157
636959556756772137; 1,72232; 2,28890; -0,83447; -0,17225; 0,07223; 0,98240
636959556759325313; 1,72007; 2,28853; -0,84737; -0,14880; 0,07070; 0,98634
636959556761884761; 1,71432; 2,28649; -0,84845; -0,18360; 0,04867; 0,98180
636959556764443928; 1,67310; 2,28605; -0,82489; -0,35072; -0,06681; 0,93410
636959556766990774; 1,57170; 2,35098; -0,81038; -0,77605; -0,13110; 0,61690
636959556769549325; 1,42698; 2,35292; -0,85887; -0,76438; -0,43858; 0,47262
636959556772102489; 1,38218; 2,24752; -0,97127; -0,65297; -0,72208; 0,22853
636959556774655662; 1,46373; 2,31878; -0,98283; -0,76515; -0,60160; -0,22940
636959556777213351; 1,55255; 2,28851; -0,93754; -0,69831; -0,23890; -0,67475
636959556779763061; 1,58575; 2,31213; -0,92610; -0,60771; 0,05618; -0,79217
636959556782316234; 1,59299; 2,30933; -0,96100; -0,60484; -0,00021; -0,79635
636959556784869402; 1,58709; 2,30928; -1,00953; -0,54051; 0,00888; -0,84129
636959556787432549; 1,58088; 2,31469; -1,09375; -0,51363; 0,04546; -0,85680
636959556789985719; 1,59663; 2,30743; -1,09952; -0,55115; 0,19061; -0,81234
636959556792532203; 1,62483; 2,31277; -1,09576; -0,51013; 0,37108; -0,77593
636959556795095365; 1,62938; 2,31324; -1,09406; -0,52225; 0,36910; -0,76878
636959556797649208; 1,62985; 2,31365; -1,09326; -0,52718; 0,36594; -0,76692
636959556800192407; 1,62497; 2,31257; -1,09168; -0,51438; 0,35650; -0,77995
636959556802755835; 1,61441; 2,31235; -1,08011; -0,54780; 0,32419; -0,77124
636959556805308716; 1,60358; 2,31984; -1,04425; -0,65223; 0,24021; -0,71895
636959556807863108; 1,60346; 2,31129; -1,04888; -0,73411; 0,11259; -0,66964
636959556810410077; 1,60690; 2,30894; -1,04742; -0,75866; 0,14680; -0,63474
636959556812973218; 1,62884; 2,32781; -1,04393; -0,61494; 0,32047; -0,72052
636959556815526389; 1,62396; 2,31861; -1,04241; -0,61549; 0,20294; -0,76157
636959556818089536; 1,61845; 2,31699; -1,04025; -0,63164; 0,17630; -0,75495
