utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636954368947777801; -0,02023; 2,30784; -0,21966; 0,94957; -0,11121; 0,29318
636954368958837879; -0,07881; 2,33074; -0,21113; 0,90372; 0,08054; 0,42047
636954368961377989; -0,07447; 2,33115; -0,20884; 0,92373; 0,08595; 0,37328
636954368963931160; -0,07187; 2,32857; -0,20937; 0,92666; 0,05871; 0,37128
636954368966534198; -0,07571; 2,32759; -0,21348; 0,92724; 0,05456; 0,37048
636954368969087423; -0,08284; 2,33024; -0,21805; 0,92548; 0,08756; 0,36854
636954368971650880; -0,08387; 2,32641; -0,22327; 0,93349; 0,07165; 0,35137
636954368974194071; -0,08489; 2,32988; -0,21995; 0,91784; 0,10016; 0,38410
636954368976747250; -0,08737; 2,32928; -0,22120; 0,92892; 0,08039; 0,36145
636954368979310427; -0,09248; 2,33154; -0,22071; 0,93345; 0,10212; 0,34386
636954368981868781; -0,10258; 2,33285; -0,21810; 0,93499; 0,09308; 0,34223
636954368984420374; -0,10675; 2,33425; -0,21281; 0,92453; 0,14188; 0,35371
636954368986962562; -0,10644; 2,33088; -0,20928; 0,92389; 0,10316; 0,36849
636954368989525706; -0,10777; 2,33460; -0,21261; 0,93259; 0,13178; 0,33603
636954368992078873; -0,10760; 2,33561; -0,21126; 0,92756; 0,15514; 0,33995
636954368994642018; -0,10894; 2,33448; -0,20781; 0,91829; 0,15648; 0,36367
636954368997191486; -0,10844; 2,33134; -0,20646; 0,92291; 0,11672; 0,36690
636954368999747248; -0,10723; 2,33380; -0,20422; 0,91481; 0,14911; 0,37536
636954369002300190; -0,10740; 2,33414; -0,20164; 0,90367; 0,16033; 0,39709
636954369004848463; -0,10684; 2,33350; -0,20083; 0,90721; 0,15212; 0,39221
636954369007411686; -0,10563; 2,33278; -0,20227; 0,91587; 0,13751; 0,37720
636954369009964781; -0,10520; 2,33180; -0,20196; 0,91396; 0,13454; 0,38286
636954369012518518; -0,10523; 2,33064; -0,20113; 0,91455; 0,12979; 0,38309
636954369015065744; -0,10539; 2,33222; -0,20676; 0,93894; 0,12682; 0,31985
636954369017623982; -0,10073; 2,32573; -0,22318; 0,97890; 0,06621; 0,19330
636954369020167175; -0,10615; 2,32763; -0,23374; 0,98701; 0,07722; 0,14086
636954369022720351; -0,10785; 2,32884; -0,23213; 0,98403; 0,08607; 0,15580
636954369025293461; -0,10774; 2,33055; -0,22964; 0,98358; 0,08446; 0,15950
636954369027836666; -0,11565; 2,33613; -0,22831; 0,96948; 0,12288; 0,21217
636954369030399857; -0,11316; 2,33466; -0,22739; 0,97422; 0,10379; 0,20033
636954369032952981; -0,11096; 2,33011; -0,22856; 0,97880; 0,06266; 0,19499
636954369035506154; -0,10965; 2,32989; -0,22839; 0,97754; 0,06099; 0,20175
636954369038059316; -0,10702; 2,32874; -0,22779; 0,97855; 0,04901; 0,20008
636954369040610137; -0,10789; 2,32865; -0,22632; 0,98182; 0,04718; 0,18386
636954369043169552; -0,11191; 2,32971; -0,22493; 0,98360; 0,04930; 0,17351
636954369045714288; -0,11127; 2,33097; -0,23014; 0,98404; 0,04751; 0,17147
636954369048277433; -0,11131; 2,33083; -0,23448; 0,98405; 0,04140; 0,17299
636954369050830597; -0,11531; 2,33292; -0,23785; 0,98855; 0,05645; 0,13993
636954369053383776; -0,11539; 2,33219; -0,23622; 0,98631; 0,04899; 0,15746
636954369055936944; -0,11338; 2,33050; -0,23719; 0,98772; 0,03144; 0,15303
636954369058495167; -0,11180; 2,32888; -0,23325; 0,98104; 0,01155; 0,19346
636954369061048329; -0,11040; 2,32763; -0,23197; 0,97856; -0,00500; 0,20588
636954369063601505; -0,10934; 2,32480; -0,23204; 0,97575; -0,03425; 0,21618
636954369066160432; -0,10696; 2,32238; -0,23174; 0,96846; -0,05140; 0,24380
636954369068713600; -0,10624; 2,32404; -0,23447; 0,97176; -0,03956; 0,23265
636954369071268240; -0,10784; 2,32550; -0,23712; 0,97856; -0,03037; 0,20373
636954369073829672; -0,11174; 2,33079; -0,24234; 0,98615; 0,01863; 0,16480
636954369076377927; -0,11492; 2,33188; -0,24730; 0,99041; 0,02440; 0,13597
636954369078931094; -0,11681; 2,33193; -0,24856; 0,99165; 0,01665; 0,12787
636954369081494507; -0,11880; 2,33321; -0,24641; 0,98908; 0,02591; 0,14512
636954369084057453; -0,11409; 2,33968; -0,24671; 0,98667; 0,10387; 0,12528
636954369086582218; -0,11083; 2,34158; -0,24309; 0,98242; 0,12992; 0,13407
636954369089155345; -0,10709; 2,34417; -0,24191; 0,97866; 0,15232; 0,13792
636954369091708513; -0,10703; 2,34415; -0,23939; 0,97737; 0,14733; 0,15180
636954369094261952; -0,10888; 2,34549; -0,23572; 0,97332; 0,15633; 0,16796
636954369096814856; -0,11782; 2,35361; -0,24262; 0,96653; 0,23930; 0,09252
636954369099364675; -0,12127; 2,35760; -0,23775; 0,95771; 0,28250; 0,05470
636954369101927819; -0,10703; 2,32913; -0,22130; 0,98724; -0,00440; 0,15918
636954369104471012; -0,10296; 2,31753; -0,21623; 0,97200; -0,10812; 0,20865
636954369107024197; -0,09938; 2,31898; -0,21852; 0,97446; -0,09180; 0,20495
636954369109587327; -0,09825; 2,30774; -0,21655; 0,95188; -0,20857; 0,22455
636954369112137143; -0,09292; 2,30282; -0,21441; 0,93892; -0,24358; 0,24309
636954369114696400; -0,08725; 2,30648; -0,21846; 0,95532; -0,20877; 0,20925
636954369117249573; -0,08618; 2,29588; -0,21361; 0,92369; -0,29680; 0,24232
636954369119812712; -0,08649; 2,30008; -0,21423; 0,93490; -0,26362; 0,23762
636954369122355946; -0,09188; 2,31891; -0,21796; 0,97312; -0,08683; 0,21330
636954369124913825; -0,10942; 2,34826; -0,22730; 0,96986; 0,20215; 0,13607
636954369127464137; -0,12442; 2,35770; -0,22797; 0,95037; 0,28581; 0,12292
636954369130017298; -0,12992; 2,36107; -0,22882; 0,94027; 0,32041; 0,11504
636954369132570478; -0,13088; 2,36269; -0,23017; 0,93573; 0,33466; 0,11140
636954369135123645; -0,12869; 2,36018; -0,23087; 0,94200; 0,31218; 0,12319
636954369137683660; -0,12831; 2,35839; -0,23191; 0,94745; 0,29673; 0,11954
636954369140239375; -0,12857; 2,35618; -0,23290; 0,95483; 0,27482; 0,11299
636954369142788171; -0,13083; 2,35679; -0,23409; 0,95411; 0,27871; 0,10957
636954369145341338; -0,13170; 2,35660; -0,23336; 0,95464; 0,27612; 0,11143
636954369147904480; -0,12917; 2,35546; -0,22784; 0,95261; 0,26046; 0,15715
636954369150457647; -0,13027; 2,35222; -0,20772; 0,89219; 0,23364; 0,38652
636954369153006703; -0,14604; 2,35091; -0,18479; 0,67150; 0,22536; 0,70590
636954369155562416; -0,17480; 2,34678; -0,18700; 0,45979; 0,22093; 0,86011
636954369158125823; -0,20492; 2,34230; -0,19754; 0,22841; 0,21327; 0,94992
636954369160679031; -0,22952; 2,34354; -0,21157; -0,01216; 0,22416; 0,97448
636954369163231895; -0,21151; 2,34176; -0,21351; 0,04430; 0,22317; 0,97377
636954369165784463; -0,20038; 2,34129; -0,21673; 0,15820; 0,21844; 0,96294
636954369168337894; -0,21026; 2,33984; -0,21584; 0,16204; 0,20824; 0,96456
636954369170887142; -0,21980; 2,33147; -0,22306; 0,14256; 0,12875; 0,98138
636954369173450284; -0,21413; 2,33037; -0,24412; 0,15213; 0,13945; 0,97847
636954369176003787; -0,22213; 2,33081; -0,24443; 0,11130; 0,14305; 0,98344
636954369178556633; -0,22559; 2,32889; -0,23629; 0,08731; 0,11133; 0,98994
636954369181104678; -0,22832; 2,32684; -0,22918; 0,06097; 0,09521; 0,99359
636954369183664184; -0,21856; 2,33754; -0,22469; 0,15957; 0,24067; 0,95740
636954369186217357; -0,21368; 2,33959; -0,21720; 0,12702; 0,25691; 0,95805
636954369188780498; -0,22444; 2,34019; -0,21857; 0,13156; 0,26299; 0,95579
636954369191328867; -0,22075; 2,34142; -0,21187; 0,14135; 0,26368; 0,95420
636954369193880658; -0,21634; 2,33154; -0,20065; 0,12890; 0,16667; 0,97755
636954369196434609; -0,21393; 2,33588; -0,18905; 0,08491; 0,19730; 0,97666
636954369198997750; -0,21075; 2,33593; -0,19246; 0,09476; 0,17484; 0,98003
636954369201550924; -0,20623; 2,33452; -0,19800; 0,08614; 0,15606; 0,98399
636954369204104094; -0,20045; 2,33247; -0,20227; 0,08745; 0,13867; 0,98647
636954369206643205; -0,19885; 2,33173; -0,20515; 0,08265; 0,12930; 0,98815
636954369209214164; -0,19631; 2,33165; -0,20303; 0,08412; 0,12946; 0,98801
636954369211763871; -0,19659; 2,34361; -0,20766; 0,09010; 0,25061; 0,96389
636954369214325680; -0,20023; 2,35026; -0,21281; 0,06882; 0,32198; 0,94424
636954369216872421; -0,20157; 2,35530; -0,21461; 0,05508; 0,35746; 0,93230
636954369219435700; -0,19965; 2,35709; -0,21956; 0,03399; 0,36629; 0,92988
636954369221978893; -0,19623; 2,35748; -0,22189; 0,05872; 0,38258; 0,92205
636954369224542035; -0,19388; 2,35189; -0,21871; 0,05778; 0,32831; 0,94280
636954369227085225; -0,19754; 2,34656; -0,21333; -0,00558; 0,26086; 0,96536
636954369229648378; -0,19732; 2,35206; -0,21744; -0,00263; 0,32959; 0,94412
636954369232191575; -0,19257; 2,34944; -0,21272; 0,03712; 0,30451; 0,95179
636954369234754719; -0,18804; 2,34799; -0,21081; 0,08697; 0,27560; 0,95733
636954369237307889; -0,18857; 2,34625; -0,21180; 0,11968; 0,24112; 0,96309
636954369239861057; -0,18896; 2,34402; -0,21482; 0,14768; 0,21050; 0,96638
636954369242417173; -0,19045; 2,34254; -0,21942; 0,15062; 0,20292; 0,96754
636954369244980311; -0,19400; 2,34292; -0,22366; 0,14062; 0,20601; 0,96839
636954369247523552; -0,19316; 2,34261; -0,22006; 0,14129; 0,19978; 0,96960
636954369250076740; -0,19399; 2,34138; -0,21995; 0,14488; 0,18700; 0,97162
636954369252629889; -0,19259; 2,34016; -0,21770; 0,13762; 0,17718; 0,97451
636954369255143476; -0,19130; 2,34017; -0,21581; 0,12872; 0,17271; 0,97653
636954369257738524; -0,18984; 2,33966; -0,21479; 0,12444; 0,16652; 0,97815
636954369260301669; -0,18847; 2,33876; -0,21370; 0,12438; 0,16057; 0,97916
636954369262849903; -0,19133; 2,33882; -0,21359; 0,12673; 0,16063; 0,97885
636954369265403085; -0,18853; 2,33842; -0,21141; 0,12701; 0,15534; 0,97966
636954369267956258; -0,19121; 2,33654; -0,21005; 0,11112; 0,14033; 0,98385
636954369270529365; -0,19304; 2,33600; -0,20801; 0,11106; 0,13400; 0,98474
636954369273072561; -0,19310; 2,33887; -0,20588; 0,12077; 0,16883; 0,97822
636954369275628198; -0,19359; 2,34055; -0,20408; 0,11927; 0,18703; 0,97509
636954369278178189; -0,19512; 2,34478; -0,20394; 0,10284; 0,23050; 0,96762
636954369280731359; -0,19469; 2,34383; -0,20484; 0,10147; 0,23077; 0,96770
636954369283344368; -0,19279; 2,34431; -0,20500; 0,11738; 0,24609; 0,96211
