utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636954220922706789; 0,26161; 2,38359; -0,32147; -0,18595; 0,16401; 0,96877
636954220932659879; -0,33916; 2,29849; -0,13210; 0,23398; 0,18623; 0,95424
636954220935215399; -0,34758; 2,29186; -0,12516; 0,23082; 0,12018; 0,96555
636954220937768566; -0,35572; 2,29043; -0,12471; 0,17385; 0,08365; 0,98121
636954220940351664; -0,34848; 2,28711; -0,13035; 0,20120; 0,04903; 0,97832
636954220942924783; -0,34572; 2,28721; -0,12830; 0,21937; 0,02929; 0,97520
636954220945488173; -0,34451; 2,28473; -0,12824; 0,26096; 0,02037; 0,96513
636954220948041998; -0,34414; 2,28281; -0,12789; 0,24061; 0,03895; 0,96984
636954220950591679; -0,34345; 2,28268; -0,13042; 0,24828; 0,08186; 0,96522
636954220953149917; -0,33695; 2,26823; -0,13406; 0,36905; -0,05423; 0,92782
636954220955703151; -0,34244; 2,27347; -0,13329; 0,35134; 0,02335; 0,93596
636954220958256257; -0,33628; 2,26420; -0,13776; 0,40837; -0,04803; 0,91155
636954220960807791; -0,33339; 2,26254; -0,14178; 0,44050; -0,04872; 0,89643
636954220963368299; -0,33266; 2,26254; -0,14072; 0,44383; -0,04056; 0,89519
636954220965913784; -0,33734; 2,26363; -0,14384; 0,44951; -0,03715; 0,89250
636954220968470248; -0,33937; 2,26344; -0,14256; 0,44145; -0,03420; 0,89663
636954220971023412; -0,34179; 2,26333; -0,14530; 0,40723; -0,00780; 0,91329
636954220973586557; -0,33821; 2,26316; -0,14475; 0,40924; -0,01826; 0,91224
636954220976135805; -0,33878; 2,26245; -0,14556; 0,41343; -0,02272; 0,91025
636954220978687304; -0,33789; 2,25743; -0,13712; 0,39949; -0,08194; 0,91307
636954220981241068; -0,33441; 2,25603; -0,13354; 0,40684; -0,07980; 0,91001
636954220983804203; -0,32886; 2,25343; -0,12493; 0,40977; -0,11163; 0,90533
636954220986347405; -0,33746; 2,25531; -0,13170; 0,38607; -0,07082; 0,91975
636954220988910544; -0,34221; 2,25387; -0,13627; 0,39504; -0,07614; 0,91550
636954220991463717; -0,34421; 2,25493; -0,13563; 0,39145; -0,07065; 0,91748
636954220994024892; -0,34026; 2,25129; -0,13575; 0,38131; -0,08892; 0,92016
636954220996573164; -0,33634; 2,25234; -0,14442; 0,40259; -0,07055; 0,91266
636954220999126346; -0,33455; 2,25321; -0,15226; 0,39567; -0,05689; 0,91663
636954221001679499; -0,33979; 2,25648; -0,15336; 0,39354; -0,03336; 0,91870
636954221004232675; -0,34546; 2,25623; -0,14815; 0,35810; -0,03845; 0,93289
636954221006795820; -0,34379; 2,25584; -0,14789; 0,35711; -0,03844; 0,93327
636954221009347295; -0,34519; 2,25386; -0,14976; 0,35279; -0,05823; 0,93389
636954221011903838; -0,34588; 2,25467; -0,15053; 0,34234; -0,03372; 0,93897
636954221014457008; -0,34389; 2,25406; -0,14941; 0,38737; -0,01896; 0,92173
636954221017010433; -0,34713; 2,25395; -0,14797; 0,40533; -0,02410; 0,91385
636954221019573323; -0,35257; 2,25325; -0,14862; 0,38314; -0,03162; 0,92315
636954221022116519; -0,35462; 2,25468; -0,15268; 0,43132; -0,02099; 0,90195
636954221024679252; -0,35792; 2,25295; -0,15698; 0,43850; -0,02258; 0,89845
