utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636990561863911759; -0,21836; 2,20747; -0,24263; 0,27308; -0,31430; 0,90920
636990561874826040; -0,28786; 2,15130; -0,40310; 0,55363; -0,13391; 0,82193
636990561877329341; -0,33228; 2,16606; -0,39558; 0,19638; 0,02923; 0,98009
636990561879882513; -0,34684; 2,17828; -0,41015; 0,03943; 0,18089; 0,98271
636990561882435682; -0,33883; 2,18458; -0,42138; 0,02240; 0,22729; 0,97357
636990561885038721; -0,30535; 2,17922; -0,42851; 0,04367; 0,13869; 0,98937
636990561887596972; -0,26572; 2,16938; -0,45618; -0,00385; 0,04079; 0,99916
636990561890150138; -0,23411; 2,16210; -0,46020; -0,07215; -0,00757; 0,99737
636990561892703309; -0,21005; 2,16921; -0,45509; -0,07633; 0,00562; 0,99707
636990561895256478; -0,20513; 2,17125; -0,45954; -0,02772; 0,03495; 0,99900
636990561897819618; -0,20634; 2,17289; -0,46481; 0,05107; 0,06004; 0,99689
636990561900368021; -0,20701; 2,17400; -0,46324; 0,00144; 0,09446; 0,99553
636990561902931175; -0,20180; 2,16955; -0,46177; -0,02176; 0,06303; 0,99777
636990561905484321; -0,19804; 2,16829; -0,46071; -0,02558; 0,04936; 0,99845
636990561908042683; -0,19990; 2,16766; -0,46243; -0,02027; 0,04192; 0,99892
636990561910585880; -0,19659; 2,15950; -0,46421; 0,03216; -0,03540; 0,99886
636990561913143848; -0,19227; 2,16029; -0,46206; 0,07401; -0,03482; 0,99665
636990561915697017; -0,19832; 2,16093; -0,46052; -0,00362; -0,02039; 0,99979
636990561918250189; -0,20329; 2,16369; -0,46033; -0,05839; 0,00466; 0,99828
636990561920813334; -0,20283; 2,16400; -0,46162; -0,05349; 0,00956; 0,99852
636990561923366521; -0,20163; 2,16500; -0,46239; -0,03680; 0,01854; 0,99915
636990561925912936; -0,19256; 2,16360; -0,46270; 0,06712; 0,00384; 0,99774
636990561928466000; -0,19081; 2,16224; -0,46209; 0,07739; -0,01092; 0,99694
636990561931019168; -0,19125; 2,15983; -0,46006; 0,07653; -0,03279; 0,99653
636990561933582314; -0,19068; 2,15789; -0,45857; 0,08619; -0,05219; 0,99491
636990561936136921; -0,19127; 2,15845; -0,46001; 0,08336; -0,04650; 0,99543
636990561938690218; -0,19106; 2,15874; -0,46060; 0,08305; -0,04188; 0,99567
636990561941239179; -0,19121; 2,15833; -0,46020; 0,08267; -0,04542; 0,99554
636990561943822264; -0,19222; 2,16489; -0,46213; 0,07342; 0,01563; 0,99718
636990561946355494; -0,19533; 2,17526; -0,47223; 0,01482; 0,13321; 0,99098
636990561948908049; -0,19873; 2,17918; -0,47782; -0,02018; 0,18202; 0,98309
636990561951461224; -0,19777; 2,17846; -0,47638; -0,00715; 0,17717; 0,98415
636990561954016394; -0,19666; 2,17730; -0,47465; 0,00248; 0,16191; 0,98680
636990561956569569; -0,19741; 2,17620; -0,47479; 0,00589; 0,15494; 0,98791
636990561959122741; -0,19800; 2,17583; -0,47422; 0,00275; 0,15141; 0,98847
636990561961675901; -0,19809; 2,17472; -0,47382; 0,00515; 0,14189; 0,98987
636990561964234120; -0,19859; 2,17388; -0,47324; -0,00039; 0,13388; 0,99100
636990561966789270; -0,20949; 2,17082; -0,47212; -0,09385; 0,10437; 0,99010
636990561969347626; -0,21207; 2,17078; -0,47021; -0,11356; 0,09960; 0,98853
636990561971900915; -0,20554; 2,17151; -0,47139; -0,06059; 0,10587; 0,99253
636990561974453964; -0,18832; 2,17306; -0,47450; 0,12808; 0,11956; 0,98453
636990561977007135; -0,18640; 2,17263; -0,47571; 0,15816; 0,11590; 0,98059
636990561979560304; -0,18710; 2,17150; -0,47413; 0,13989; 0,10434; 0,98466
636990561982116892; -0,20737; 2,17167; -0,47358; -0,08942; 0,11007; 0,98989
636990561984660081; -0,21930; 2,17251; -0,47734; -0,23324; 0,13123; 0,96352
636990561987223224; -0,21132; 2,17279; -0,47770; -0,20049; 0,13404; 0,97048
636990561989776393; -0,20424; 2,17254; -0,47708; -0,16982; 0,12900; 0,97700
636990561992338230; -0,19641; 2,17190; -0,47716; -0,24811; 0,11709; 0,96163
636990561994881421; -0,17441; 2,16439; -0,48312; -0,46377; 0,06707; 0,88341
636990561997436408; -0,13563; 2,15867; -0,48788; -0,70211; 0,02648; 0,71158
636990561999994612; -0,08732; 2,16007; -0,49276; -0,91268; 0,05063; 0,40553
636990562002547790; -0,05062; 2,16279; -0,47984; -0,94195; 0,07835; 0,32649
636990562005100959; -0,03533; 2,16130; -0,46902; -0,92557; 0,07770; 0,37052
636990562007656793; -0,03449; 2,15682; -0,47238; -0,91810; 0,06925; 0,39026
636990562010209967; -0,03436; 2,15487; -0,47601; -0,90572; 0,07365; 0,41743
636990562012773139; -0,03781; 2,15398; -0,47616; -0,89792; 0,06614; 0,43517
636990562015316331; -0,03747; 2,15346; -0,47465; -0,89893; 0,05949; 0,43403
636990562017889437; -0,03607; 2,15429; -0,47340; -0,89413; 0,06656; 0,44284
636990562020422678; -0,03602; 2,15581; -0,47352; -0,89212; 0,08225; 0,44425
636990562022985035; -0,03337; 2,15870; -0,47323; -0,88737; 0,11080; 0,44754
636990562025526447; -0,03192; 2,15932; -0,47424; -0,88553; 0,11880; 0,44913
636990562028091644; -0,03305; 2,15903; -0,47448; -0,88783; 0,11512; 0,44553
636990562030654781; -0,03241; 2,15871; -0,47494; -0,88751; 0,11477; 0,44627
636990562033197976; -0,03367; 2,15779; -0,47578; -0,89154; 0,10701; 0,44013
636990562035761119; -0,03407; 2,15744; -0,47613; -0,89225; 0,10378; 0,43946
636990562038308236; -0,03570; 2,15769; -0,48085; -0,91053; 0,10953; 0,39868
636990562040866510; -0,04857; 2,15678; -0,50756; -0,97653; 0,10405; 0,18857
636990562043419682; -0,04784; 2,15664; -0,50671; -0,97249; 0,10421; 0,20832
636990562045972856; -0,04749; 2,15639; -0,50306; -0,97044; 0,09976; 0,21978
