utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
637018325975510701; -0,12913; 2,21002; -0,68722; -0,52178; -0,03865; 0,85220
637018325986571110; -0,08650; 2,21065; -0,68704; -0,01620; -0,02016; 0,99967
637018325989097871; -0,08788; 2,21401; -0,68810; -0,03528; 0,02637; 0,99903
637018325991651035; -0,08854; 2,22440; -0,69433; -0,04794; 0,15900; 0,98611
637018325994254070; -0,08639; 2,22997; -0,71389; -0,02545; 0,25251; 0,96726
637018325996813363; -0,08378; 2,23225; -0,72260; 0,00190; 0,29380; 0,95587
637018325999366536; -0,08568; 2,23039; -0,71936; -0,00710; 0,27184; 0,96232
637018326001919709; -0,08526; 2,22809; -0,71521; -0,00136; 0,24364; 0,96987
637018326004472877; -0,08873; 2,22610; -0,71039; -0,04272; 0,20781; 0,97724
637018326007028037; -0,09154; 2,22487; -0,70883; -0,05317; 0,19418; 0,97953
637018326009584817; -0,08954; 2,22479; -0,70822; -0,03726; 0,19083; 0,98092
637018326012137882; -0,08858; 2,22448; -0,70823; -0,02853; 0,19007; 0,98136
637018326014691049; -0,08975; 2,22415; -0,70757; -0,03350; 0,18708; 0,98177
637018326017244220; -0,09154; 2,22326; -0,70531; -0,04592; 0,17418; 0,98364
637018326019799284; -0,09153; 2,22300; -0,70421; -0,04728; 0,17090; 0,98415
637018326022354701; -0,09150; 2,22340; -0,70526; -0,04630; 0,17769; 0,98300
637018326024907881; -0,09163; 2,22384; -0,70607; -0,03978; 0,18439; 0,98205
637018326027461045; -0,09037; 2,22411; -0,70695; -0,02931; 0,19124; 0,98111
637018326030014847; -0,08867; 2,22427; -0,70774; -0,02145; 0,19495; 0,98058
637018326032577997; -0,09167; 2,22372; -0,70676; -0,04443; 0,18695; 0,98136
637018326035119723; -0,09374; 2,22322; -0,70540; -0,05435; 0,18002; 0,98216
637018326037672864; -0,09238; 2,22325; -0,70578; -0,04711; 0,18054; 0,98244
637018326040236006; -0,09038; 2,22336; -0,70585; -0,03580; 0,18159; 0,98272
637018326042796535; -0,09000; 2,22306; -0,70545; -0,03246; 0,17942; 0,98324
637018326045334839; -0,08982; 2,22276; -0,70513; -0,02919; 0,17648; 0,98387
637018326047909883; -0,08938; 2,22335; -0,70510; -0,02518; 0,17934; 0,98347
637018326050453080; -0,09017; 2,22376; -0,70532; -0,02860; 0,18209; 0,98287
637018326053016218; -0,09212; 2,22237; -0,70297; -0,04454; 0,16350; 0,98554
637018326055569657; -0,09250; 2,22026; -0,69897; -0,05486; 0,13697; 0,98905
