utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636958632707873672; -0,29925; 2,16081; -0,07988; 0,07009; -0,28017; 0,95739
636958632719588920; -0,29208; 2,19915; -0,07137; 0,24510; -0,17654; 0,95329
636958632722159998; -0,31361; 2,20777; -0,07519; -0,07142; 0,00387; 0,99744
636958632724713172; -0,31331; 2,21218; -0,08605; -0,01871; 0,10275; 0,99453
636958632727286278; -0,31195; 2,21355; -0,09444; 0,00282; 0,14132; 0,98996
636958632729875324; -0,31451; 2,21418; -0,10030; 0,00517; 0,15933; 0,98721
636958632732421039; -0,31912; 2,21598; -0,10490; -0,00171; 0,18666; 0,98242
636958632734976208; -0,32227; 2,21696; -0,10833; -0,01404; 0,20773; 0,97809
636958632737539256; -0,32269; 2,21597; -0,10860; -0,01571; 0,19934; 0,97981
636958632740072487; -0,32337; 2,21487; -0,10861; -0,01861; 0,19062; 0,98149
636958632742635705; -0,32284; 2,21221; -0,10668; -0,02898; 0,15801; 0,98701
636958632745197599; -0,32377; 2,20471; -0,10075; -0,05615; 0,05506; 0,99690
636958632747750766; -0,32253; 2,19747; -0,09107; -0,06285; -0,04851; 0,99684
636958632750305888; -0,31541; 2,21188; -0,10110; 0,02419; 0,14676; 0,98888
636958632752869018; -0,31396; 2,21714; -0,11056; 0,05785; 0,23360; 0,97061
636958632755412203; -0,31569; 2,21694; -0,11023; 0,05257; 0,23352; 0,97093
636958632757975362; -0,31643; 2,21687; -0,11015; 0,04601; 0,23399; 0,97115
636958632760528526; -0,31917; 2,21545; -0,10922; 0,03345; 0,21886; 0,97518
636958632763087743; -0,32056; 2,21518; -0,10828; 0,02815; 0,21236; 0,97679
636958632765635843; -0,32102; 2,21568; -0,10793; 0,02747; 0,20376; 0,97864
636958632768169065; -0,32278; 2,21855; -0,10799; 0,03046; 0,20580; 0,97812
636958632770742181; -0,31597; 2,21856; -0,10905; 0,06362; 0,20471; 0,97675
636958632773295357; -0,31730; 2,21687; -0,10819; 0,05446; 0,19557; 0,97918
636958632775853671; -0,32201; 2,21660; -0,10785; 0,03120; 0,19448; 0,98041
636958632778416824; -0,32292; 2,21556; -0,10782; 0,02710; 0,18948; 0,98151
636958632780980193; -0,32116; 2,21531; -0,10827; 0,04003; 0,18896; 0,98117
636958632783513191; -0,32095; 2,21535; -0,10815; 0,04075; 0,18801; 0,98132
636958632786076326; -0,32025; 2,21523; -0,10793; 0,04013; 0,18799; 0,98135
636958632788627749; -0,32055; 2,21493; -0,10807; 0,03905; 0,18614; 0,98175
636958632791179362; -0,31892; 2,21490; -0,10782; 0,04231; 0,18279; 0,98224
636958632793736024; -0,31818; 2,21457; -0,10673; 0,04454; 0,17721; 0,98317
