utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636999346415382219; -0,40592; 2,09119; -0,26885; 0,10688; 0,24987; 0,96236
636999346426538435; -0,44921; 2,09024; -0,25625; 0,19266; 0,24771; 0,94949
636999346429110592; -0,45981; 2,08977; -0,25283; 0,21080; 0,24826; 0,94548
636999346431663759; -0,45659; 2,08970; -0,25472; 0,19789; 0,24898; 0,94808
636999346434266806; -0,44739; 2,08971; -0,25896; 0,17340; 0,25086; 0,95237
636999346436820324; -0,43105; 2,09108; -0,26474; 0,12793; 0,25604; 0,95816
636999346439383448; -0,40919; 2,09341; -0,27022; 0,06685; 0,27299; 0,95969
636999346441930283; -0,38717; 2,09462; -0,27470; 0,03095; 0,28095; 0,95922
636999346444493556; -0,38125; 2,09502; -0,27633; 0,01958; 0,28642; 0,95790
636999346447036620; -0,38878; 2,09682; -0,28052; -0,00189; 0,32064; 0,94720
636999346449579825; -0,39146; 2,10141; -0,28400; -0,01794; 0,37611; 0,92640
636999346452150819; -0,39174; 2,10517; -0,28768; -0,01672; 0,41968; 0,90752
636999346454698250; -0,39003; 2,10657; -0,28847; -0,01222; 0,43389; 0,90089
636999346457261389; -0,38808; 2,10517; -0,28892; -0,00177; 0,43117; 0,90227
636999346459814553; -0,38775; 2,10527; -0,28942; -0,00303; 0,43618; 0,89985
636999346462367723; -0,38899; 2,10443; -0,28907; -0,00491; 0,43310; 0,90133
636999346464920906; -0,38850; 2,10372; -0,28868; -0,00213; 0,42792; 0,90382
636999346467464491; -0,38931; 2,10371; -0,28860; -0,00423; 0,42688; 0,90430
636999346470019753; -0,38940; 2,10345; -0,28811; -0,00384; 0,42793; 0,90380
636999346472583064; -0,39061; 2,10348; -0,28790; -0,00362; 0,42749; 0,90401
636999346475126266; -0,39167; 2,10329; -0,28780; -0,00239; 0,42862; 0,90348
636999346477679568; -0,39257; 2,10284; -0,28759; -0,00322; 0,42558; 0,90491
636999346480252549; -0,39314; 2,10236; -0,28744; -0,00652; 0,42058; 0,90723
636999346482805711; -0,39421; 2,10160; -0,28751; -0,01011; 0,41424; 0,91011
636999346485357575; -0,39435; 2,10146; -0,28744; -0,00759; 0,41310; 0,91065
636999346487895388; -0,39424; 2,10153; -0,28735; -0,00781; 0,41396; 0,91026
636999346490458530; -0,39503; 2,10123; -0,28770; -0,00830; 0,41339; 0,91051
636999346493021680; -0,39498; 2,10124; -0,28731; -0,00901; 0,41379; 0,91033
636999346495574842; -0,39526; 2,10122; -0,28744; -0,00916; 0,41433; 0,91008
636999346498138500; -0,39576; 2,10105; -0,28732; -0,00888; 0,41363; 0,91040
636999346500691615; -0,39626; 2,10083; -0,28732; -0,00837; 0,41118; 0,91152
636999346503244788; -0,39693; 2,10033; -0,28673; -0,00882; 0,40660; 0,91356
636999346505787985; -0,39828; 2,10016; -0,28646; -0,00848; 0,40450; 0,91450
636999346508339609; -0,40088; 2,10026; -0,28601; -0,00367; 0,40443; 0,91456
636999346510902867; -0,40676; 2,09986; -0,28457; 0,00440; 0,40174; 0,91574
636999346513451496; -0,41368; 2,09986; -0,28381; 0,01858; 0,40170; 0,91558
636999346516014647; -0,42275; 2,09929; -0,28205; 0,02609; 0,39541; 0,91813
636999346518567805; -0,43095; 2,09615; -0,27924; 0,03104; 0,36737; 0,92956
636999346521120976; -0,43824; 2,09339; -0,27653; 0,03261; 0,33723; 0,94086
636999346523670727; -0,44021; 2,09345; -0,27626; 0,03936; 0,33995; 0,93962
636999346526229713; -0,43815; 2,09344; -0,27659; 0,04695; 0,33993; 0,93928
636999346528787351; -0,43873; 2,09361; -0,27646; 0,04662; 0,34141; 0,93876
636999346531340519; -0,43855; 2,09370; -0,27699; 0,04724; 0,34368; 0,93790
636999346533893838; -0,43818; 2,09367; -0,27722; 0,04923; 0,34400; 0,93768
636999346536446947; -0,43838; 2,09358; -0,27724; 0,04851; 0,34392; 0,93774
636999346539000030; -0,43844; 2,09351; -0,27702; 0,04824; 0,34318; 0,93803
636999346541558808; -0,43906; 2,09393; -0,27706; 0,04577; 0,34575; 0,93721
636999346544113177; -0,44124; 2,09742; -0,27839; 0,03326; 0,37525; 0,92632
636999346546666254; -0,44144; 2,09987; -0,27950; 0,02848; 0,39868; 0,91665
636999346549219433; -0,44144; 2,10042; -0,28055; 0,02970; 0,40544; 0,91364
636999346551772600; -0,44179; 2,09928; -0,28012; 0,03093; 0,39639; 0,91756
636999346554325835; -0,44202; 2,09934; -0,28075; 0,03275; 0,39692; 0,91727
636999346556887448; -0,44217; 2,09929; -0,28089; 0,03305; 0,39782; 0,91687
636999346559435647; -0,44247; 2,09918; -0,28095; 0,03335; 0,39602; 0,91764
636999346561998798; -0,44255; 2,09890; -0,28084; 0,03333; 0,39431; 0,91837
636999346564541997; -0,44285; 2,09883; -0,28093; 0,03255; 0,39319; 0,91888
636999346567095164; -0,44314; 2,09862; -0,28089; 0,03315; 0,39159; 0,91954
636999346569640476; -0,44343; 2,09840; -0,28111; 0,03353; 0,39078; 0,91987
636999346572203419; -0,44354; 2,09832; -0,28116; 0,03404; 0,39007; 0,92016
