utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636965367953257478; -0,33937; 2,16775; -0,38556; 0,23443; 0,13098; 0,96327
636965367964523834; -0,32676; 2,16747; -0,36549; 0,28207; -0,01248; 0,95931
636965367967092051; -0,32398; 2,17003; -0,36307; 0,23939; 0,02029; 0,97071
636965367969645216; -0,33164; 2,17949; -0,36443; 0,17344; 0,10467; 0,97927
636965367972205929; -0,33577; 2,18471; -0,36011; 0,01645; 0,16792; 0,98566
636965367974787373; -0,34592; 2,18944; -0,36331; -0,03194; 0,21988; 0,97500
636965367977356620; -0,34654; 2,19158; -0,36846; 0,01254; 0,24002; 0,97069
636965367979908960; -0,34467; 2,18961; -0,36923; 0,01958; 0,23133; 0,97268
636965367982457171; -0,34029; 2,19292; -0,37259; 0,02154; 0,24696; 0,96879
636965367985010345; -0,34679; 2,19122; -0,36808; -0,01116; 0,22681; 0,97387
636965367987573486; -0,34873; 2,19083; -0,36623; -0,03109; 0,21818; 0,97541
636965367990126663; -0,34682; 2,18974; -0,36533; -0,01960; 0,20843; 0,97784
636965367992679830; -0,34529; 2,18984; -0,36532; -0,01152; 0,20679; 0,97832
636965367995235987; -0,34381; 2,18966; -0,36608; 0,00176; 0,20675; 0,97839
636965367997789201; -0,34465; 2,18926; -0,36452; -0,00723; 0,19976; 0,97982
636965368000352509; -0,34513; 2,18909; -0,36485; -0,00632; 0,19851; 0,98008
636965368002905414; -0,34366; 2,18892; -0,36431; 0,00025; 0,19551; 0,98070
636965368005457541; -0,34318; 2,18842; -0,36314; 0,00510; 0,18896; 0,98197
636965368008010714; -0,34246; 2,18803; -0,36269; 0,00640; 0,18528; 0,98267
636965368010563888; -0,34272; 2,18781; -0,36259; 0,00517; 0,18315; 0,98307
636965368013117058; -0,34371; 2,18714; -0,36166; -0,00024; 0,17664; 0,98427
636965368015670234; -0,34346; 2,18696; -0,36100; 0,00009; 0,17481; 0,98460
636965368018233382; -0,34363; 2,18661; -0,36078; -0,00180; 0,17097; 0,98527
636965368020776581; -0,34365; 2,18641; -0,36025; -0,00117; 0,16776; 0,98583
636965368023334804; -0,34317; 2,18614; -0,35964; -0,00082; 0,16540; 0,98623
636965368025887986; -0,34381; 2,18608; -0,35919; -0,00636; 0,16253; 0,98668
636965368028441160; -0,34402; 2,18623; -0,35935; -0,00351; 0,16329; 0,98657
636965368031004298; -0,34293; 2,18657; -0,35873; 0,00229; 0,16390; 0,98647
636965368033557475; -0,33401; 2,18593; -0,35795; 0,06168; 0,15323; 0,98626
636965368036110677; -0,32399; 2,18289; -0,35553; 0,19577; 0,11734; 0,97360
636965368038663862; -0,32408; 2,17509; -0,34866; 0,17193; 0,03737; 0,98440
636965368041217027; -0,32303; 2,17378; -0,34603; 0,16400; 0,02004; 0,98626
636965368043760226; -0,32165; 2,17346; -0,34607; 0,16255; 0,01887; 0,98652
636965368046323373; -0,32215; 2,17402; -0,34646; 0,16020; 0,02318; 0,98681
636965368048888105; -0,32179; 2,17382; -0,34600; 0,15892; 0,02160; 0,98706
636965368051431304; -0,32223; 2,17389; -0,34626; 0,15824; 0,02287; 0,98714
636965368053994451; -0,32237; 2,17456; -0,34659; 0,15607; 0,02831; 0,98734
636965368056547616; -0,32904; 2,18142; -0,34786; 0,10172; 0,08935; 0,99079
636965368059099816; -0,34081; 2,19208; -0,35164; -0,00306; 0,19728; 0,98034
636965368061659933; -0,34577; 2,19883; -0,35524; -0,04745; 0,26408; 0,96333
636965368064213112; -0,34664; 2,19733; -0,35864; -0,01856; 0,25989; 0,96546
636965368066756314; -0,34554; 2,19590; -0,35961; -0,00633; 0,25440; 0,96708
636965368069309485; -0,34298; 2,19584; -0,35929; 0,00548; 0,25317; 0,96741
636965368071872641; -0,34409; 2,19541; -0,35899; -0,00050; 0,24995; 0,96826
636965368074415831; -0,34442; 2,19503; -0,35877; -0,00131; 0,24533; 0,96944
