utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
637014862326904009; -0,02133; 2,18863; -0,36089; -0,00723; 0,06727; 0,99771
637014862338107348; -0,01966; 2,19111; -0,39466; -0,05133; 0,29638; 0,95369
637014862340660553; -0,01876; 2,19087; -0,39384; -0,04647; 0,29166; 0,95539
637014862343214603; -0,02073; 2,19090; -0,39379; -0,05257; 0,29266; 0,95477
637014862345827621; -0,01871; 2,19081; -0,39399; -0,05042; 0,29358; 0,95460
637014862348380785; -0,01694; 2,19150; -0,39427; -0,03484; 0,30198; 0,95268
637014862350933953; -0,02144; 2,19141; -0,39450; -0,06320; 0,30233; 0,95111
637014862353487126; -0,02195; 2,19117; -0,39307; -0,06542; 0,29737; 0,95252
637014862356050650; -0,02079; 2,19068; -0,39244; -0,04259; 0,29599; 0,95424
637014862358586137; -0,02023; 2,19066; -0,39198; -0,04094; 0,29619; 0,95425
637014862361149282; -0,01961; 2,19057; -0,39178; -0,03241; 0,29587; 0,95468
637014862363702449; -0,01962; 2,19050; -0,39132; -0,03407; 0,29465; 0,95500
637014862366257282; -0,02034; 2,19041; -0,39112; -0,04980; 0,29331; 0,95472
637014862368800523; -0,02103; 2,19031; -0,39016; -0,06621; 0,28988; 0,95477
637014862371343719; -0,02116; 2,18996; -0,38978; -0,05902; 0,28634; 0,95631
637014862373926811; -0,01991; 2,19006; -0,38867; -0,04986; 0,28474; 0,95731
637014862376480791; -0,02088; 2,18999; -0,38957; -0,05246; 0,28590; 0,95682
637014862379023996; -0,02084; 2,19021; -0,38973; -0,05511; 0,28693; 0,95637
637014862381585869; -0,02063; 2,19003; -0,38926; -0,06442; 0,28452; 0,95650
637014862384139040; -0,02089; 2,18976; -0,38901; -0,06071; 0,28189; 0,95752
637014862386702178; -0,02069; 2,18958; -0,38898; -0,05819; 0,28114; 0,95790
637014862389245386; -0,02051; 2,18932; -0,38855; -0,05535; 0,27918; 0,95864
637014862391796596; -0,02075; 2,18918; -0,38828; -0,05245; 0,27604; 0,95971
637014862394359734; -0,02062; 2,18888; -0,38749; -0,05082; 0,27321; 0,96061
637014862396912911; -0,02143; 2,18883; -0,38721; -0,05451; 0,27009; 0,96129
637014862399466084; -0,02206; 2,18851; -0,38680; -0,05843; 0,26832; 0,96156
637014862402024316; -0,02227; 2,18811; -0,38582; -0,06260; 0,25986; 0,96361
637014862404577486; -0,02151; 2,18200; -0,38136; -0,05606; 0,17268; 0,98338
637014862407130653; -0,01873; 2,17364; -0,37384; -0,01732; 0,05332; 0,99843
637014862409683821; -0,01545; 2,16938; -0,36977; 0,02607; -0,00269; 0,99966
637014862412242070; -0,01486; 2,16881; -0,36827; 0,02975; -0,01082; 0,99950
637014862414785535; -0,01542; 2,16853; -0,36747; 0,02981; -0,01197; 0,99948
637014862417338700; -0,01538; 2,16821; -0,36664; 0,03077; -0,01440; 0,99942
637014862419909285; -0,01493; 2,16837; -0,36667; 0,02994; -0,01077; 0,99949
637014862422452478; -0,01504; 2,16884; -0,36680; 0,02804; -0,00646; 0,99959
637014862425010479; -0,01488; 2,16914; -0,36701; 0,02795; -0,00131; 0,99961
637014862427570795; -0,01464; 2,16959; -0,36722; 0,02804; 0,00359; 0,99960
637014862430116443; -0,01549; 2,16983; -0,36742; 0,02530; 0,00728; 0,99965
637014862432679587; -0,01803; 2,16963; -0,36752; 0,01303; 0,00637; 0,99989
637014862435232755; -0,02239; 2,16924; -0,36686; -0,00116; 0,00152; 1,00000
637014862437771497; -0,02352; 2,16956; -0,36717; -0,00595; 0,00500; 0,99997
637014862440339697; -0,02439; 2,17346; -0,37078; -0,02189; 0,05171; 0,99842
637014862442882902; -0,02675; 2,17976; -0,37794; -0,06760; 0,13570; 0,98844
637014862445446044; -0,02768; 2,18438; -0,38515; -0,07051; 0,20529; 0,97616
637014862447998127; -0,02676; 2,18638; -0,38976; -0,05934; 0,24075; 0,96877
637014862450551297; -0,02546; 2,18675; -0,39091; -0,03952; 0,25139; 0,96708
637014862453109535; -0,02403; 2,18687; -0,39091; -0,02648; 0,25274; 0,96717
637014862455662711; -0,02470; 2,18700; -0,39154; -0,03060; 0,25619; 0,96614
637014862458228956; -0,02637; 2,18691; -0,39185; -0,03715; 0,25824; 0,96537
637014862460778167; -0,02826; 2,18671; -0,39114; -0,05311; 0,25450; 0,96561
637014862463321401; -0,03074; 2,18650; -0,39071; -0,07329; 0,25102; 0,96520
637014862465884534; -0,03151; 2,18630; -0,38998; -0,07337; 0,24886; 0,96576
637014862468432786; -0,03040; 2,18633; -0,38936; -0,05709; 0,24853; 0,96694
637014862470995930; -0,02908; 2,18597; -0,38868; -0,03918; 0,24579; 0,96853
637014862473543735; -0,03174; 2,18568; -0,38708; -0,03252; 0,23889; 0,97050
637014862476106880; -0,03697; 2,18500; -0,38660; -0,03902; 0,23141; 0,97207
637014862478660050; -0,03882; 2,18468; -0,38571; -0,02152; 0,22798; 0,97343
637014862481195660; -0,03994; 2,18426; -0,38542; -0,01254; 0,22435; 0,97443
637014862483758901; -0,03948; 2,18364; -0,38432; -0,01579; 0,21574; 0,97632
637014862486317065; -0,03540; 2,18295; -0,38381; -0,00833; 0,20616; 0,97848
637014862488860247; -0,03457; 2,18257; -0,38325; -0,00402; 0,20193; 0,97939
637014862491415974; -0,03626; 2,18083; -0,38198; -0,00312; 0,17710; 0,98419
637014862493993810; -0,03562; 2,17337; -0,37597; 0,00263; 0,07397; 0,99726
637014862496546980; -0,03195; 2,16114; -0,36661; 0,02482; -0,09129; 0,99551
637014862499090185; -0,02927; 2,15807; -0,36061; 0,03484; -0,13270; 0,99054
637014862501663298; -0,03056; 2,16174; -0,36298; 0,01374; -0,09232; 0,99563
637014862504204846; -0,03363; 2,17076; -0,36912; -0,04003; 0,01664; 0,99906
637014862506754381; -0,03832; 2,17821; -0,37751; -0,10367; 0,11868; 0,98751
637014862509290189; -0,03818; 2,18178; -0,38174; -0,10085; 0,17244; 0,97984
637014862511848436; -0,03631; 2,18271; -0,38424; -0,08319; 0,18837; 0,97857
637014862514421554; -0,03358; 2,18316; -0,38476; -0,05825; 0,19796; 0,97848
637014862516964745; -0,03370; 2,18347; -0,38545; -0,04731; 0,20395; 0,97784
637014862519519683; -0,03409; 2,18371; -0,38569; -0,04572; 0,20584; 0,97752
637014862522085092; -0,03412; 2,18379; -0,38591; -0,04914; 0,20702; 0,97710
637014862524638263; -0,03424; 2,18409; -0,38648; -0,04923; 0,21017; 0,97642
637014862527191450; -0,03380; 2,18451; -0,38795; -0,05708; 0,21717; 0,97446
637014862529737300; -0,03228; 2,18518; -0,39651; -0,07249; 0,23230; 0,96994
637014862532300494; -0,02935; 2,18709; -0,41423; -0,08538; 0,28692; 0,95414
637014862534853659; -0,02410; 2,18698; -0,41987; -0,07846; 0,29619; 0,95190
637014862537406829; -0,01941; 2,18741; -0,41784; -0,06642; 0,29829; 0,95216
637014862539959994; -0,01883; 2,18665; -0,41511; -0,04277; 0,28923; 0,95630
637014862542468376; -0,01998; 2,18540; -0,41084; -0,01091; 0,27033; 0,96271
637014862545059978; -0,02135; 2,18493; -0,40879; -0,00792; 0,26299; 0,96477
637014862547623128; -0,02090; 2,18497; -0,40964; -0,01135; 0,26661; 0,96374
637014862550166328; -0,02142; 2,18528; -0,41010; -0,02571; 0,26915; 0,96276
637014862552739437; -0,02157; 2,18529; -0,41059; -0,03834; 0,27114; 0,96178
637014862555277736; -0,02218; 2,18555; -0,40987; -0,03268; 0,27336; 0,96136
637014862557830903; -0,02433; 2,18533; -0,40909; -0,03505; 0,26868; 0,96259
637014862560394056; -0,02511; 2,18537; -0,40922; -0,03092; 0,26865; 0,96274
637014862562947221; -0,02554; 2,18575; -0,40968; -0,02979; 0,27141; 0,96200
637014862565510362; -0,02556; 2,18569; -0,40994; -0,02874; 0,27315; 0,96154
637014862568063603; -0,02565; 2,18579; -0,41024; -0,02613; 0,27361; 0,96149
637014862570616770; -0,02591; 2,18573; -0,41003; -0,02623; 0,27230; 0,96186
637014862573171697; -0,02577; 2,18552; -0,40922; -0,02954; 0,26959; 0,96252
637014862575724859; -0,02567; 2,18547; -0,40954; -0,02870; 0,27024; 0,96237
637014862578288003; -0,02623; 2,18544; -0,40934; -0,03291; 0,26909; 0,96255
637014862580831199; -0,02632; 2,18504; -0,40898; -0,03068; 0,26575; 0,96355
637014862583394089; -0,02639; 2,18498; -0,40837; -0,03423; 0,26278; 0,96425
637014862585947105; -0,02740; 2,18483; -0,40821; -0,03674; 0,26176; 0,96443
637014862588500266; -0,02705; 2,18463; -0,40733; -0,03605; 0,25688; 0,96577
637014862591043466; -0,02698; 2,18447; -0,40688; -0,03532; 0,25525; 0,96623
637014862593594532; -0,02695; 2,18474; -0,40717; -0,03716; 0,25797; 0,96544
637014862596157720; -0,02645; 2,18486; -0,40703; -0,03811; 0,25893; 0,96514
637014862598710899; -0,02699; 2,18506; -0,40763; -0,04336; 0,26310; 0,96379
637014862601264061; -0,02735; 2,18541; -0,40827; -0,04454; 0,26762; 0,96249
637014862603810437; -0,02702; 2,18517; -0,40771; -0,04030; 0,26530; 0,96332
637014862606381650; -0,02628; 2,18469; -0,40706; -0,03678; 0,26047; 0,96478
637014862608934817; -0,02589; 2,18445; -0,40636; -0,03591; 0,25379; 0,96659
637014862611487985; -0,02576; 2,18425; -0,40636; -0,03489; 0,25292; 0,96686
637014862614036050; -0,02597; 2,18402; -0,40583; -0,03646; 0,24952; 0,96768
637014862616591260; -0,02522; 2,18375; -0,40499; -0,03337; 0,24364; 0,96929
637014862619147113; -0,02532; 2,18368; -0,40410; -0,03363; 0,24187; 0,96972
637014862621700283; -0,02476; 2,18374; -0,40343; -0,03547; 0,24102; 0,96987
637014862624263422; -0,02527; 2,18351; -0,40382; -0,03731; 0,24139; 0,96971
637014862626809578; -0,02487; 2,18369; -0,40386; -0,03651; 0,24055; 0,96995
637014862629362740; -0,02472; 2,18370; -0,40378; -0,03654; 0,24038; 0,96999
637014862631925887; -0,02507; 2,18366; -0,40372; -0,03696; 0,23973; 0,97014
637014862634479052; -0,02476; 2,18374; -0,40391; -0,03795; 0,24132; 0,96970
637014862637032222; -0,02445; 2,18417; -0,40405; -0,04148; 0,24607; 0,96836
637014862639591646; -0,02830; 2,18554; -0,40623; -0,08669; 0,26824; 0,95944
637014862642143937; -0,03731; 2,18770; -0,40902; -0,17846; 0,29914; 0,93737
637014862644697105; -0,03611; 2,18875; -0,40888; -0,14028; 0,31276; 0,93942
637014862647250275; -0,02631; 2,19012; -0,40727; 0,00709; 0,33298; 0,94291
637014862649803480; -0,01998; 2,19029; -0,40635; 0,08196; 0,33698; 0,93794
637014862652353024; -0,02090; 2,18846; -0,40239; 0,04744; 0,30581; 0,95091
637014862654914485; -0,02394; 2,18714; -0,39833; 0,00422; 0,28114; 0,95966
637014862657467650; -0,03038; 2,18567; -0,39532; -0,07523; 0,25538; 0,96391
637014862660023833; -0,03575; 2,18428; -0,39121; -0,13057; 0,22866; 0,96471
637014862662571877; -0,04262; 2,18097; -0,38168; -0,17792; 0,17841; 0,96774
637014862665135022; -0,04723; 2,17735; -0,37005; -0,21536; 0,13021; 0,96782
637014862667688192; -0,04783; 2,17563; -0,36686; -0,20679; 0,11145; 0,97202
637014862670241363; -0,04305; 2,17333; -0,36266; -0,16113; 0,08473; 0,98329
637014862672796391; -0,03805; 2,17255; -0,35966; -0,10939; 0,07767; 0,99096
637014862675349673; -0,02771; 2,17326; -0,35840; -0,00228; 0,08639; 0,99626
637014862677902735; -0,02115; 2,17462; -0,35961; 0,05010; 0,10453; 0,99326
637014862680455908; -0,02326; 2,17585; -0,36095; -0,00126; 0,11918; 0,99287
637014862683009067; -0,03339; 2,18224; -0,36646; -0,15082; 0,20496; 0,96708
637014862685562281; -0,03464; 2,18782; -0,37710; -0,16832; 0,28584; 0,94338
637014862688116813; -0,03102; 2,19114; -0,38264; -0,12148; 0,33055; 0,93594
637014862690675031; -0,02811; 2,19220; -0,38641; -0,09330; 0,34480; 0,93403
637014862693228201; -0,02135; 2,19268; -0,38898; -0,00098; 0,35509; 0,93483
637014862695789119; -0,01809; 2,19284; -0,39083; 0,05042; 0,36436; 0,92989
637014862698342286; -0,01794; 2,19285; -0,39094; 0,05409; 0,36313; 0,93017
637014862700889816; -0,01941; 2,19247; -0,39067; 0,04908; 0,36181; 0,93096
637014862703442989; -0,01950; 2,19276; -0,39039; 0,04669; 0,36173; 0,93111
637014862706006140; -0,02031; 2,19260; -0,39009; 0,04353; 0,36221; 0,93108
637014862708559330; -0,02077; 2,19332; -0,39064; 0,03814; 0,36916; 0,92858
637014862711099336; -0,02123; 2,19330; -0,39076; 0,03493; 0,37073; 0,92808
637014862713662474; -0,02251; 2,19329; -0,39131; 0,02547; 0,36918; 0,92901
637014862716225624; -0,02524; 2,19333; -0,39115; -0,00192; 0,36733; 0,93009
637014862718778841; -0,02638; 2,19327; -0,39182; -0,00609; 0,36705; 0,93018
637014862721325755; -0,02715; 2,19293; -0,39111; -0,01799; 0,36186; 0,93206
637014862723877014; -0,02788; 2,19263; -0,39021; -0,02701; 0,35715; 0,93366
637014862726440147; -0,02829; 2,19197; -0,38945; -0,03503; 0,35125; 0,93563
637014862728993329; -0,03450; 2,19081; -0,38884; -0,12308; 0,33372; 0,93460
637014862731547987; -0,03870; 2,19010; -0,38852; -0,16767; 0,32391; 0,93111
637014862734096265; -0,03930; 2,19003; -0,38856; -0,16248; 0,32209; 0,93266
637014862736649432; -0,03798; 2,19018; -0,38836; -0,14997; 0,32183; 0,93485
637014862739212580; -0,03533; 2,19019; -0,38789; -0,13217; 0,32403; 0,93677
637014862741767547; -0,03444; 2,19023; -0,38769; -0,12406; 0,32289; 0,93827
637014862744318900; -0,03365; 2,18973; -0,38687; -0,11305; 0,31732; 0,94155
637014862746873760; -0,03008; 2,18931; -0,38577; -0,08083; 0,30892; 0,94765
637014862749431988; -0,02587; 2,18888; -0,38520; -0,01870; 0,30183; 0,95318
637014862751975196; -0,02593; 2,18872; -0,38510; -0,03098; 0,30110; 0,95309
637014862754528361; -0,02871; 2,18869; -0,38505; -0,06399; 0,30065; 0,95159
637014862757089185; -0,02979; 2,18852; -0,38479; -0,08663; 0,30059; 0,94981
637014862759652329; -0,03027; 2,18851; -0,38486; -0,08553; 0,30129; 0,94969
637014862762195532; -0,03051; 2,18845; -0,38489; -0,08445; 0,30180; 0,94962
637014862764758667; -0,03056; 2,18858; -0,38472; -0,08724; 0,30300; 0,94899
637014862767309307; -0,03143; 2,18823; -0,38522; -0,09693; 0,29615; 0,95021
637014862769858392; -0,03789; 2,18248; -0,38209; -0,16689; 0,20993; 0,96337
637014862772421551; -0,04035; 2,18023; -0,37978; -0,19608; 0,17674; 0,96453
637014862774994649; -0,03887; 2,18058; -0,38020; -0,18413; 0,17701; 0,96683
637014862777520524; -0,03792; 2,18073; -0,38117; -0,17013; 0,17662; 0,96947
637014862780083704; -0,03696; 2,18067; -0,38105; -0,16038; 0,17795; 0,97088
637014862782637403; -0,03582; 2,18027; -0,37979; -0,14538; 0,17318; 0,97410
