utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636954248922577260; -0,49070; 2,27814; 0,03824; 0,38947; -0,17604; 0,90406
636954248932115327; -0,56745; 2,26337; -0,02202; 0,32674; -0,13128; 0,93595
636954248934678507; -0,59552; 2,26553; -0,04377; 0,29792; -0,09980; 0,94936
636954248937339711; -0,59565; 2,26262; -0,05780; 0,27840; -0,08519; 0,95668
636954248940004525; -0,60113; 2,26417; -0,06080; 0,25141; -0,08660; 0,96400
636954248942672822; -0,60340; 2,26394; -0,06496; 0,21226; -0,08802; 0,97324
636954248945225992; -0,60464; 2,26180; -0,06794; 0,20324; -0,10260; 0,97374
636954248947789131; -0,60848; 2,26520; -0,07128; 0,19118; -0,08388; 0,97797
636954248950362249; -0,61305; 2,26796; -0,07811; 0,17882; -0,05825; 0,98215
636954248952955439; -0,61990; 2,27088; -0,08399; 0,15229; -0,03210; 0,98781
636954248955497226; -0,62017; 2,27146; -0,09174; 0,15622; -0,01481; 0,98761
636954248958045484; -0,61632; 2,27308; -0,09707; 0,15575; -0,00877; 0,98776
636954248960598666; -0,60766; 2,27312; -0,09430; 0,19845; -0,01842; 0,97994
636954248963171776; -0,60714; 2,27434; -0,09416; 0,20001; -0,00808; 0,97976
636954248965714969; -0,61394; 2,27732; -0,09817; 0,16327; 0,02643; 0,98623
636954248968268140; -0,61352; 2,27831; -0,09861; 0,14467; 0,03560; 0,98884
636954248970826433; -0,60908; 2,27800; -0,09843; 0,14403; 0,03458; 0,98897
636954248973379574; -0,60703; 2,27803; -0,10056; 0,14792; 0,03925; 0,98822
636954248975932739; -0,60199; 2,27939; -0,10023; 0,15046; 0,05168; 0,98726
636954248978487648; -0,60401; 2,27996; -0,10137; 0,15185; 0,08962; 0,98433
636954248981050789; -0,60690; 2,27983; -0,10216; 0,14197; 0,10841; 0,98392
636954248983597945; -0,61037; 2,28128; -0,10362; 0,12584; 0,10943; 0,98600
636954248986151119; -0,61135; 2,27944; -0,10572; 0,11405; 0,08752; 0,98961
636954248988704286; -0,61197; 2,27981; -0,10674; 0,10558; 0,09664; 0,98970
636954248991258438; -0,62419; 2,28242; -0,11421; 0,07405; 0,11176; 0,99097
636954248993821580; -0,62256; 2,28384; -0,11629; 0,07410; 0,12556; 0,98931
636954248996386036; -0,61673; 2,28522; -0,11103; 0,06752; 0,12718; 0,98958
636954248998919595; -0,61304; 2,28649; -0,10962; 0,08286; 0,12950; 0,98811
636954249001477923; -0,61337; 2,28752; -0,11150; 0,08820; 0,13673; 0,98667
636954249004041181; -0,61024; 2,28885; -0,11099; 0,08165; 0,12927; 0,98824
636954249006584272; -0,60314; 2,28794; -0,10721; 0,07441; 0,12093; 0,98987
636954249009142151; -0,59973; 2,29464; -0,10546; 0,06201; 0,20126; 0,97757
636954249011705204; -0,59971; 2,29512; -0,10253; 0,04766; 0,21666; 0,97508
636954249014249663; -0,58871; 2,29311; -0,09822; 0,08036; 0,20330; 0,97581
636954249016807895; -0,58089; 2,29028; -0,09692; 0,09556; 0,18137; 0,97876
636954249019371040; -0,58337; 2,29023; -0,09257; 0,07214; 0,16885; 0,98300
636954249021934181; -0,57569; 2,28775; -0,08676; 0,06691; 0,15220; 0,98608
636954249024477374; -0,56774; 2,28692; -0,08534; 0,07529; 0,13872; 0,98747
636954249027025653; -0,56533; 2,28646; -0,08136; 0,04804; 0,12595; 0,99087
636954249029574100; -0,56364; 2,28413; -0,07897; 0,06530; 0,10933; 0,99186
636954249032137251; -0,56324; 2,28784; -0,08273; 0,07773; 0,13627; 0,98762
636954249034690421; -0,55081; 2,28907; -0,08204; 0,10001; 0,14196; 0,98481
636954249037243594; -0,54931; 2,29089; -0,08551; 0,09146; 0,14640; 0,98499
636954249039796762; -0,54686; 2,29079; -0,08683; 0,07194; 0,13564; 0,98814
636954249042348372; -0,56161; 2,29049; -0,09116; 0,07344; 0,14316; 0,98697
636954249044901542; -0,55709; 2,29180; -0,09080; 0,10186; 0,15789; 0,98219
636954249047464686; -0,58534; 2,29290; -0,10488; 0,08377; 0,19391; 0,97744
636954249050017860; -0,57575; 2,29292; -0,10008; 0,09206; 0,18436; 0,97854
636954249052571030; -0,57361; 2,29233; -0,09868; 0,09502; 0,17800; 0,97943
636954249055124197; -0,57361; 2,29233; -0,09868; 0,09502; 0,17800; 0,97943
636954249057679615; -0,57361; 2,29233; -0,09868; 0,09502; 0,17800; 0,97943
636954249060232791; -0,57361; 2,29233; -0,09868; 0,09502; 0,17800; 0,97943
636954249062795991; -0,57361; 2,29233; -0,09868; 0,09502; 0,17800; 0,97943
636954249065319181; -0,57361; 2,29233; -0,09868; 0,09502; 0,17800; 0,97943
636954249067877062; -0,57361; 2,29233; -0,09868; 0,09502; 0,17800; 0,97943
636954249070446566; -0,57361; 2,29233; -0,09868; 0,09502; 0,17800; 0,97943
636954249073003716; -0,57361; 2,29233; -0,09868; 0,09502; 0,17800; 0,97943
636954249075556881; -0,57361; 2,29233; -0,09868; 0,09502; 0,17800; 0,97943
636954249078110051; -0,57361; 2,29233; -0,09868; 0,09502; 0,17800; 0,97943
636954249080663221; -0,57361; 2,29233; -0,09868; 0,09502; 0,17800; 0,97943
636954249083226366; -0,57361; 2,29233; -0,09868; 0,09502; 0,17800; 0,97943
636954249085775202; -0,63866; 2,30218; -0,11298; 0,06128; 0,13750; 0,98861
636954249088338344; -0,64297; 2,29964; -0,10900; -0,00883; 0,11772; 0,99301
636954249090891511; -0,63524; 2,29757; -0,10573; 0,00482; 0,09754; 0,99522
636954249093444825; -0,62741; 2,29585; -0,10595; 0,04602; 0,08599; 0,99523
636954249096000000; -0,62631; 2,29502; -0,10874; 0,05687; 0,07927; 0,99523
636954249098552971; -0,62986; 2,29522; -0,10826; 0,03945; 0,07124; 0,99668
636954249101106139; -0,63387; 2,29633; -0,10768; 0,03644; 0,07963; 0,99616
636954249103659414; -0,63460; 2,29625; -0,10716; 0,06606; 0,07829; 0,99474
636954249106212482; -0,63297; 2,28782; -0,09785; 0,12867; -0,01209; 0,99161
636954249108762935; -0,62247; 2,28346; -0,09071; 0,16303; -0,06945; 0,98417
636954249111323768; -0,62121; 2,28256; -0,09008; 0,14767; -0,07339; 0,98631
636954249113876941; -0,62519; 2,28321; -0,08844; 0,12738; -0,06815; 0,98951
636954249116430234; -0,62539; 2,28490; -0,08875; 0,11311; -0,04940; 0,99235
636954249118983279; -0,62462; 2,28341; -0,09164; 0,04469; -0,06581; 0,99683
636954249121536546; -0,63004; 2,28190; -0,09177; 0,01892; -0,09051; 0,99572
636954249124090035; -0,62604; 2,28208; -0,09243; -0,00252; -0,09649; 0,99533
636954249126640683; -0,62388; 2,28101; -0,09629; 0,04363; -0,10886; 0,99310
636954249129203819; -0,62757; 2,28374; -0,10376; 0,03668; -0,09013; 0,99525
636954249131757120; -0,63002; 2,28190; -0,11166; 0,03923; -0,09778; 0,99444
636954249134310165; -0,62481; 2,27874; -0,11780; 0,07988; -0,09729; 0,99205
636954249136863274; -0,62066; 2,28334; -0,11749; 0,07688; -0,05949; 0,99526
636954249139416576; -0,62365; 2,28294; -0,11792; 0,08023; -0,06360; 0,99475
636954249141980290; -0,62072; 2,28420; -0,12375; 0,10320; -0,04516; 0,99363
636954249144533317; -0,61020; 2,28061; -0,11569; 0,12215; -0,07944; 0,98933
636954249147076514; -0,61639; 2,28119; -0,11205; 0,09198; -0,07879; 0,99264
636954249149639749; -0,62189; 2,28432; -0,11402; 0,07203; -0,05637; 0,99581
636954249152192834; -0,62418; 2,28578; -0,11875; 0,06972; -0,03484; 0,99696
636954249154745996; -0,62100; 2,28683; -0,12362; 0,07956; -0,02650; 0,99648
636954249157297237; -0,61906; 2,28485; -0,12141; 0,08876; -0,03739; 0,99535
636954249159860411; -0,62052; 2,28372; -0,12001; 0,08335; -0,04624; 0,99545
636954249162413555; -0,62181; 2,28388; -0,12072; 0,07998; -0,04298; 0,99587
636954249164956743; -0,62296; 2,28443; -0,12082; 0,06821; -0,03938; 0,99689
636954249167512514; -0,62386; 2,28400; -0,11930; 0,06621; -0,04360; 0,99685
636954249170075664; -0,62837; 2,28346; -0,11827; 0,02864; -0,05342; 0,99816
636954249172626315; -0,62221; 2,28673; -0,12047; 0,03417; -0,02056; 0,99920
636954249175179641; -0,62427; 2,28645; -0,11922; 0,03815; -0,02429; 0,99898
636954249177732735; -0,62254; 2,28629; -0,11910; 0,05991; -0,03648; 0,99754
636954249180295803; -0,62357; 2,29060; -0,12592; 0,04809; -0,02179; 0,99861
636954249182829026; -0,62462; 2,29118; -0,12875; 0,04315; -0,01545; 0,99895
636954249185368148; -0,62499; 2,29077; -0,12768; 0,04432; -0,01408; 0,99892
636954249187931328; -0,62487; 2,28703; -0,12278; 0,03577; -0,03559; 0,99873
636954249190504443; -0,62530; 2,28845; -0,11557; 0,00068; -0,01997; 0,99980
636954249193057619; -0,62096; 2,28574; -0,11475; 0,04594; -0,04893; 0,99775
636954249195620819; -0,62492; 2,28992; -0,11360; 0,05320; -0,01188; 0,99851
636954249198179118; -0,62066; 2,29011; -0,11321; 0,06689; -0,02879; 0,99735
636954249200729425; -0,62896; 2,28941; -0,11442; 0,05270; -0,01970; 0,99842
636954249203281923; -0,63153; 2,29074; -0,11794; 0,04272; -0,00689; 0,99906
636954249205825128; -0,63188; 2,28943; -0,12183; 0,05800; -0,01073; 0,99826
636954249208378301; -0,62609; 2,29148; -0,12194; 0,04915; -0,01109; 0,99873
636954249210941440; -0,62642; 2,29126; -0,12058; 0,03467; -0,01256; 0,99932
636954249213504584; -0,62328; 2,29059; -0,12117; 0,03754; -0,01159; 0,99923
636954249216054219; -0,62388; 2,29185; -0,12179; 0,02409; 0,00236; 0,99971
636954249218610601; -0,62041; 2,29025; -0,11699; 0,01900; -0,00325; 0,99981
636954249221153797; -0,61965; 2,28821; -0,11836; 0,03571; -0,02008; 0,99916
636954249223716938; -0,62308; 2,28592; -0,12573; 0,04479; -0,04851; 0,99782
636954249226270100; -0,62123; 2,28441; -0,12702; 0,05888; -0,06827; 0,99593
636954249228823419; -0,62476; 2,29000; -0,12135; 0,03421; -0,00489; 0,99940
636954249231380623; -0,62379; 2,28836; -0,12031; 0,04406; -0,03131; 0,99854
636954249233938875; -0,61386; 2,28079; -0,12221; 0,10369; -0,10540; 0,98901
636954249236502282; -0,60478; 2,27773; -0,11240; 0,13821; -0,13831; 0,98070
636954249239045207; -0,61127; 2,27316; -0,09654; 0,10241; -0,15391; 0,98276
636954249241598377; -0,61971; 2,28077; -0,09391; 0,09280; -0,08229; 0,99228
636954249244151550; -0,63114; 2,29803; -0,10899; 0,03498; 0,09199; 0,99515
636954249246698368; -0,64274; 2,30314; -0,11649; -0,04945; 0,14911; 0,98758
636954249249261445; -0,63804; 2,30135; -0,11390; -0,02368; 0,14521; 0,98912
636954249251824580; -0,63178; 2,29664; -0,11270; 0,02228; 0,10231; 0,99450
636954249254377754; -0,63145; 2,28881; -0,11222; 0,04323; 0,01334; 0,99898
636954249256920956; -0,63774; 2,29184; -0,11558; 0,02990; 0,01677; 0,99941
636954249259484100; -0,62524; 2,29557; -0,10874; -0,00899; 0,03619; 0,99930
636954249262034906; -0,56950; 2,30049; -0,08762; 0,01254; 0,03128; 0,99943
636954249264583161; -0,61622; 2,29447; -0,10905; 0,00828; 0,05055; 0,99869
636954249267136335; -0,61960; 2,29544; -0,10926; -0,00652; 0,06618; 0,99779
636954249269699482; -0,61835; 2,29477; -0,10743; 0,00082; 0,05744; 0,99835
636954249272253152; -0,61513; 2,29366; -0,10608; -0,00135; 0,04761; 0,99887
636954249274807094; -0,61092; 2,29310; -0,10474; 0,00377; 0,04153; 0,99913
636954249277359460; -0,61264; 2,29405; -0,10608; 0,00690; 0,05053; 0,99870
636954249279912628; -0,61895; 2,29662; -0,10854; 0,00010; 0,07355; 0,99729
636954249282465798; -0,62338; 2,29694; -0,10905; -0,05222; 0,08738; 0,99481
636954249285018972; -0,62910; 2,30115; -0,11379; -0,10998; 0,14175; 0,98377
636954249287571592; -0,62798; 2,30216; -0,11554; -0,11191; 0,14882; 0,98251
636954249290130888; -0,61943; 2,29507; -0,11869; -0,07414; 0,05891; 0,99551
636954249292692776; -0,61167; 2,28971; -0,11877; -0,05825; 0,00585; 0,99828
