utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636965406088154785; -0,66795; 2,16268; -0,01948; 0,16902; -0,71876; 0,67440
636965406099180596; -0,69780; 2,23916; -0,05883; -0,02101; -0,08113; 0,99648
636965406101793298; -0,69867; 2,24322; -0,05678; -0,03265; -0,03365; 0,99890
636965406104321962; -0,70319; 2,25677; -0,06331; -0,09913; 0,13516; 0,98585
636965406106929947; -0,70305; 2,26108; -0,07082; -0,08396; 0,18863; 0,97845
636965406109483124; -0,70197; 2,26278; -0,07511; -0,06275; 0,21748; 0,97405
636965406112036285; -0,70006; 2,26259; -0,07755; -0,04885; 0,21334; 0,97576
636965406114599728; -0,69864; 2,26135; -0,07668; -0,03984; 0,19887; 0,97922
636965406117142638; -0,70007; 2,25985; -0,07648; -0,02805; 0,18584; 0,98218
636965406119705782; -0,70155; 2,25843; -0,07474; -0,04162; 0,17193; 0,98423
636965406122254096; -0,70297; 2,25743; -0,07389; -0,04994; 0,16259; 0,98543
636965406124807061; -0,70117; 2,25684; -0,07369; -0,04513; 0,15807; 0,98640
636965406127360244; -0,69846; 2,25611; -0,07245; -0,01718; 0,14956; 0,98860
636965406129923391; -0,69897; 2,25537; -0,07180; -0,01781; 0,13950; 0,99006
636965406132472257; -0,69999; 2,25497; -0,07129; -0,02732; 0,13406; 0,99060
636965406135025994; -0,70007; 2,25471; -0,07064; -0,03257; 0,12905; 0,99110
636965406137578609; -0,69986; 2,25455; -0,07076; -0,03059; 0,12653; 0,99149
636965406140141678; -0,69859; 2,25436; -0,07059; -0,02639; 0,12218; 0,99216
636965406142684877; -0,69740; 2,25357; -0,06921; -0,02149; 0,11189; 0,99349
636965406145248018; -0,69817; 2,25313; -0,06873; -0,02258; 0,10605; 0,99410
636965406147801239; -0,69904; 2,25288; -0,06906; -0,02760; 0,10367; 0,99423
636965406150354520; -0,69895; 2,25194; -0,06755; -0,03414; 0,09302; 0,99508
636965406152906057; -0,69892; 2,25098; -0,06672; -0,03490; 0,08583; 0,99570
636965406155464450; -0,69742; 2,25024; -0,06570; -0,02566; 0,07942; 0,99651
636965406158027594; -0,69702; 2,24764; -0,06314; -0,01068; 0,05248; 0,99857
636965406160570890; -0,69876; 2,24605; -0,06130; 0,00228; 0,03476; 0,99939
636965406163124127; -0,70177; 2,24579; -0,06091; -0,01553; 0,03110; 0,99940
636965406165677137; -0,69911; 2,24391; -0,06060; -0,01539; -0,00685; 0,99986
636965406168230322; -0,69201; 2,23965; -0,06071; 0,03912; -0,07394; 0,99649
636965406170793461; -0,68960; 2,23964; -0,06071; 0,07670; -0,07378; 0,99432
636965406173346634; -0,68984; 2,23971; -0,06072; 0,07394; -0,07298; 0,99459
636965406175889880; -0,69007; 2,23960; -0,06071; 0,07534; -0,07499; 0,99433
636965406178455915; -0,68957; 2,23963; -0,06067; 0,07469; -0,07489; 0,99439
636965406181009085; -0,69007; 2,23957; -0,06065; 0,07261; -0,07529; 0,99451
636965406183562258; -0,68971; 2,23975; -0,06053; 0,07233; -0,07441; 0,99460
636965406186115432; -0,69528; 2,25048; -0,06089; 0,01396; 0,06429; 0,99783
636965406188668605; -0,70118; 2,25635; -0,06526; -0,02991; 0,15035; 0,98818
636965406191228386; -0,70562; 2,26105; -0,06909; -0,06467; 0,22160; 0,97299
636965406193782833; -0,70479; 2,26197; -0,07267; -0,04976; 0,24126; 0,96918
636965406196345981; -0,70403; 2,26376; -0,07529; -0,03477; 0,26210; 0,96441
636965406198889177; -0,70171; 2,26291; -0,07563; -0,02535; 0,24736; 0,96859
636965406201442353; -0,70185; 2,26238; -0,07463; -0,02936; 0,23960; 0,97043
636965406203978974; -0,70331; 2,26105; -0,07465; -0,04538; 0,22336; 0,97368
636965406206552093; -0,70260; 2,26011; -0,07434; -0,06403; 0,20776; 0,97608
636965406209105234; -0,70166; 2,25685; -0,07233; -0,07717; 0,16418; 0,98341
636965406211660786; -0,69614; 2,23600; -0,06565; -0,02014; -0,11991; 0,99258
636965406214213971; -0,69267; 2,23287; -0,05948; -0,01722; -0,16384; 0,98634
636965406216767189; -0,69353; 2,23271; -0,05902; -0,00733; -0,17356; 0,98480
636965406219330289; -0,69980; 2,23125; -0,05511; 0,02931; -0,18349; 0,98259
636965406221879532; -0,70609; 2,23118; -0,05131; 0,04460; -0,18015; 0,98263
636965406224442673; -0,70315; 2,23083; -0,05222; 0,05144; -0,18510; 0,98137
636965406226995929; -0,70177; 2,23095; -0,05296; 0,06103; -0,18335; 0,98115
636965406229539046; -0,70300; 2,23111; -0,05315; 0,05794; -0,18082; 0,98181
636965406232082275; -0,70809; 2,25546; -0,05275; -0,01313; 0,12231; 0,99241
636965406234655364; -0,71492; 2,25415; -0,05707; -0,04402; 0,13082; 0,99043
636965406237202269; -0,71981; 2,25596; -0,05677; -0,04490; 0,13124; 0,99033
636965406239755442; -0,71091; 2,25530; -0,05346; -0,02921; 0,12210; 0,99209
636965406242318587; -0,71365; 2,24954; -0,04899; 0,02085; 0,07697; 0,99682
636965406244871766; -0,73570; 2,24188; -0,04134; 0,01790; 0,02544; 0,99952
636965406247424933; -0,75785; 2,22708; -0,01462; -0,05211; -0,04185; 0,99776
636965406249968547; -0,76166; 2,21090; 0,01914; -0,02427; -0,11016; 0,99362
636965406252531698; -0,75664; 2,21101; 0,02664; 0,05428; -0,08983; 0,99448
636965406255084871; -0,75452; 2,21382; 0,02153; 0,05007; -0,08521; 0,99510
636965406257638036; -0,75137; 2,22475; 0,00529; -0,02285; -0,03115; 0,99925
636965406260191212; -0,73975; 2,23233; -0,01471; -0,16347; -0,00532; 0,98653
636965406262754362; -0,71173; 2,24100; -0,03451; -0,22414; 0,03198; 0,97403
636965406265303091; -0,67322; 2,24635; -0,05000; -0,23926; 0,05223; 0,96955
636965406267856264; -0,63064; 2,25156; -0,05560; -0,20871; 0,05151; 0,97662
636965406270409434; -0,60171; 2,25065; -0,05496; -0,17666; 0,01151; 0,98420
636965406272972579; -0,58536; 2,24938; -0,05754; -0,29921; -0,00936; 0,95414
636965406275522567; -0,60476; 2,24692; -0,07989; -0,86149; -0,06555; 0,50353
636965406278081035; -0,60082; 2,24694; -0,09761; -0,98687; -0,03421; 0,15783
636965406280635652; -0,58393; 2,25536; -0,09778; -0,98074; 0,07492; 0,18036
636965406283188829; -0,56614; 2,25541; -0,08935; -0,96612; 0,08353; 0,24419
636965406285742002; -0,55645; 2,25401; -0,08258; -0,96111; 0,07454; 0,26590
636965406288295178; -0,55566; 2,25311; -0,07872; -0,95754; 0,06855; 0,28004
636965406290848346; -0,55741; 2,25211; -0,07778; -0,95513; 0,06036; 0,28996
636965406293406832; -0,55683; 2,25158; -0,07726; -0,95347; 0,05705; 0,29604
636965406295960032; -0,55727; 2,25134; -0,07698; -0,95263; 0,05386; 0,29933
636965406298513211; -0,55666; 2,25112; -0,07629; -0,95112; 0,05166; 0,30446
636965406301066378; -0,55800; 2,25180; -0,07843; -0,95440; 0,06135; 0,29217
636965406303619552; -0,55918; 2,25186; -0,07911; -0,95647; 0,06227; 0,28510
636965406306177664; -0,55907; 2,25190; -0,07928; -0,95604; 0,06355; 0,28626
636965406308733511; -0,55902; 2,25197; -0,07911; -0,95618; 0,06260; 0,28601
636965406311286673; -0,55907; 2,25190; -0,07913; -0,95602; 0,06244; 0,28659
636965406313839855; -0,55803; 2,25329; -0,07868; -0,94926; 0,07908; 0,30440
636965406316390398; -0,55759; 2,25423; -0,07913; -0,93795; 0,09272; 0,33416
636965406318943580; -0,56154; 2,25410; -0,08063; -0,93094; 0,09424; 0,35280
636965406321503469; -0,56445; 2,25343; -0,08142; -0,92756; 0,08958; 0,36277
636965406324056628; -0,56414; 2,25363; -0,08206; -0,92575; 0,09164; 0,36687
636965406326609804; -0,56413; 2,25360; -0,08164; -0,92465; 0,09107; 0,36978
636965406329162972; -0,56458; 2,25337; -0,08218; -0,92568; 0,08909; 0,36766
636965406331716729; -0,56592; 2,25213; -0,08183; -0,92926; 0,07569; 0,36160
636965406334275894; -0,57248; 2,24908; -0,08426; -0,95342; 0,04628; 0,29809
636965406336831115; -0,57758; 2,24791; -0,08706; -0,96556; 0,03525; 0,25780
636965406339374321; -0,57548; 2,24871; -0,08774; -0,96852; 0,04482; 0,24486
636965406341927494; -0,57518; 2,24778; -0,08701; -0,96794; 0,03528; 0,24870
636965406344487593; -0,57400; 2,24676; -0,08595; -0,96592; 0,01907; 0,25815
636965406347053421; -0,57233; 2,24716; -0,08542; -0,96515; 0,02497; 0,26052
636965406349612409; -0,57083; 2,24724; -0,07725; -0,93519; 0,02098; 0,35352
636965406352153537; -0,54388; 2,23916; -0,03565; -0,42705; -0,06312; 0,90202
