utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636971647652455805; -0,50749; 2,18165; -0,35737; 0,42941; 0,02672; 0,90271
636971647663585381; -0,53524; 2,17791; -0,32915; 0,54406; -0,01260; 0,83895
636971647666158503; -0,53724; 2,18063; -0,32212; 0,46782; -0,00215; 0,88382
636971647668711682; -0,53936; 2,18277; -0,32852; 0,41980; 0,02478; 0,90728
636971647671274832; -0,53391; 2,18454; -0,33397; 0,39957; 0,04248; 0,91572
636971647673867893; -0,52869; 2,18242; -0,33258; 0,40819; 0,02235; 0,91262
636971647676431043; -0,52393; 2,17950; -0,32945; 0,43072; -0,00430; 0,90248
636971647678983846; -0,52088; 2,18056; -0,33269; 0,44585; 0,01252; 0,89502
636971647681541806; -0,53378; 2,16326; -0,35435; 0,43531; -0,00097; 0,90028
636971647684094985; -0,55166; 2,14352; -0,39627; 0,43586; 0,05086; 0,89858
636971647686648158; -0,57579; 2,12328; -0,44635; 0,44247; 0,13939; 0,88589
636971647689201335; -0,59409; 2,10856; -0,48198; 0,43483; 0,21017; 0,87564
636971647691765449; -0,59341; 2,11135; -0,46928; 0,42209; 0,15601; 0,89303
636971647694308631; -0,60082; 2,10305; -0,46188; 0,33005; 0,07132; 0,94127
636971647696869309; -0,59570; 2,10501; -0,48591; 0,23976; 0,13174; 0,96185
636971647699428681; -0,57127; 2,10899; -0,53157; 0,20852; 0,29779; 0,93158
636971647701976936; -0,53736; 2,10313; -0,53095; 0,25428; 0,21468; 0,94300
636971647704530115; -0,53833; 2,09517; -0,52751; 0,20426; 0,14741; 0,96775
636971647707083285; -0,53521; 2,09129; -0,51025; 0,11497; 0,01881; 0,99319
636971647709636456; -0,53552; 2,09530; -0,54160; 0,14042; 0,19995; 0,96969
636971647712183562; -0,53968; 2,08654; -0,55315; 0,11924; 0,17897; 0,97660
636971647714751558; -0,54676; 2,08938; -0,55357; 0,09170; 0,26148; 0,96084
636971647717299819; -0,54122; 2,09381; -0,52289; 0,06624; 0,14399; 0,98736
636971647719852986; -0,53089; 2,08882; -0,54501; 0,09791; 0,20520; 0,97381
636971647722406221; -0,52198; 2,08659; -0,56703; 0,09060; 0,29246; 0,95198
636971647724959330; -0,52345; 2,08502; -0,56535; 0,12398; 0,28119; 0,95161
636971647727512506; -0,52785; 2,08626; -0,56249; 0,08940; 0,28363; 0,95476
636971647730075177; -0,52120; 2,08592; -0,56749; 0,12118; 0,29257; 0,94854
636971647732628336; -0,52312; 2,08581; -0,56803; 0,11651; 0,29369; 0,94877
636971647735181515; -0,52379; 2,08592; -0,56753; 0,11038; 0,29221; 0,94996
636971647737724711; -0,52419; 2,08508; -0,56867; 0,10131; 0,29135; 0,95124
636971647740279872; -0,51650; 2,08452; -0,57074; 0,05168; 0,28824; 0,95616
636971647742843016; -0,49536; 2,08592; -0,57275; 0,01319; 0,28470; 0,95853
636971647745396190; -0,47527; 2,08615; -0,57515; 0,01133; 0,28502; 0,95845
636971647747959340; -0,46847; 2,08604; -0,57485; 0,00331; 0,28082; 0,95975
636971647750509901; -0,47123; 2,08536; -0,57491; -0,00444; 0,27931; 0,96019
636971647753061552; -0,47116; 2,08500; -0,57482; -0,00557; 0,27719; 0,96080
636971647755621140; -0,47181; 2,08638; -0,57330; -0,00351; 0,27838; 0,96047
636971647758164216; -0,47714; 2,08462; -0,57562; -0,02987; 0,28252; 0,95879
636971647760717392; -0,47627; 2,08607; -0,57092; -0,01964; 0,27853; 0,96023
636971647763280543; -0,48442; 2,08372; -0,57314; -0,06048; 0,28996; 0,95513
636971647765839222; -0,47793; 2,08478; -0,57136; -0,02149; 0,29186; 0,95622
636971647768388003; -0,47459; 2,08685; -0,57430; -0,00306; 0,29796; 0,95457
636971647770961113; -0,47576; 2,08802; -0,57356; -0,00489; 0,30750; 0,95154
636971647773494346; -0,47603; 2,08686; -0,57470; -0,00592; 0,30485; 0,95238
