utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636960297392624661; -0,07316; 2,20152; -0,61857; 0,31655; -0,03978; 0,94774
636960297404085545; -0,09457; 2,20378; -0,63691; 0,18183; -0,01961; 0,98313
636960297406578875; -0,10218; 2,21165; -0,63525; 0,08673; 0,05545; 0,99469
636960297409134516; -0,10218; 2,21851; -0,64838; 0,05268; 0,14253; 0,98839
636960297411733137; -0,10649; 2,22314; -0,66115; 0,03090; 0,20692; 0,97787
636960297414293936; -0,10665; 2,22391; -0,66933; 0,02795; 0,23409; 0,97181
636960297416847114; -0,10463; 2,22448; -0,66338; 0,05216; 0,23524; 0,97054
636960297419400289; -0,09975; 2,22179; -0,66249; 0,07043; 0,21886; 0,97321
636960297421953867; -0,08404; 2,22350; -0,65906; 0,14148; 0,22821; 0,96328
636960297424497129; -0,09004; 2,22523; -0,65873; 0,14794; 0,23091; 0,96166
636960297427060214; -0,09894; 2,22880; -0,65785; 0,10119; 0,25487; 0,96167
636960297429613397; -0,10865; 2,23115; -0,65648; 0,03481; 0,28043; 0,95924
636960297432166564; -0,10773; 2,23022; -0,65645; 0,02960; 0,27732; 0,96032
636960297434729712; -0,10563; 2,23043; -0,65784; 0,03319; 0,28465; 0,95806
636960297437282884; -0,10666; 2,23154; -0,65883; 0,02526; 0,29971; 0,95370
636960297439838485; -0,09975; 2,23023; -0,65935; 0,06327; 0,29213; 0,95428
636960297442391209; -0,07928; 2,22476; -0,65731; 0,20895; 0,23493; 0,94929
636960297444939463; -0,07976; 2,22400; -0,65572; 0,21220; 0,22250; 0,95156
636960297447502615; -0,08957; 2,22406; -0,65606; 0,17106; 0,21911; 0,96059
636960297450055933; -0,09157; 2,22306; -0,65441; 0,15691; 0,20704; 0,96567
636960297452628910; -0,08955; 2,22228; -0,65238; 0,16595; 0,19328; 0,96701
636960297455162984; -0,09215; 2,22197; -0,65231; 0,16212; 0,18780; 0,96873
636960297457710595; -0,09145; 2,22185; -0,65288; 0,16081; 0,18783; 0,96895
636960297460278694; -0,09017; 2,22150; -0,65192; 0,16293; 0,18206; 0,96969
636960297462831866; -0,09143; 2,22105; -0,65005; 0,15649; 0,17363; 0,97230
636960297465385044; -0,09291; 2,22022; -0,64977; 0,14800; 0,16715; 0,97476
636960297467933075; -0,09414; 2,22155; -0,64723; 0,14843; 0,16933; 0,97432
636960297470475238; -0,09807; 2,22050; -0,64299; 0,12215; 0,15940; 0,97963
636960297473048239; -0,09702; 2,22417; -0,64273; 0,12071; 0,19129; 0,97408
636960297475605151; -0,09657; 2,22660; -0,64734; 0,12879; 0,22509; 0,96579
636960297478153419; -0,09894; 2,23117; -0,64950; 0,10299; 0,27425; 0,95613
636960297480706609; -0,09806; 2,23272; -0,65579; 0,11321; 0,29999; 0,94720
636960297483269746; -0,09863; 2,23155; -0,65744; 0,10985; 0,29355; 0,94961
636960297485812947; -0,09875; 2,23186; -0,65750; 0,10631; 0,29569; 0,94935
636960297488376093; -0,09751; 2,23147; -0,65847; 0,11343; 0,29366; 0,94916
636960297490926997; -0,09848; 2,23131; -0,65876; 0,11123; 0,29349; 0,94947
636960297493485233; -0,09748; 2,23112; -0,65860; 0,11287; 0,29200; 0,94973
636960297496038408; -0,09728; 2,23110; -0,65897; 0,11520; 0,29174; 0,94953
636960297498581612; -0,09750; 2,23093; -0,65902; 0,11553; 0,29187; 0,94946
636960297501144781; -0,09651; 2,23078; -0,65928; 0,11708; 0,29110; 0,94950
636960297503693604; -0,09669; 2,23058; -0,65945; 0,11896; 0,29042; 0,94948
636960297506256747; -0,09625; 2,23044; -0,65966; 0,12023; 0,29011; 0,94941
636960297508805112; -0,09564; 2,23048; -0,65973; 0,12219; 0,28944; 0,94936
636960297511368176; -0,09531; 2,23019; -0,66053; 0,12086; 0,28941; 0,94954
636960297513911374; -0,09621; 2,23042; -0,66034; 0,11638; 0,28804; 0,95052
636960297516470192; -0,09614; 2,22996; -0,65993; 0,11881; 0,28589; 0,95087
636960297519028916; -0,09689; 2,23008; -0,66005; 0,11795; 0,28522; 0,95118
636960297521582094; -0,09574; 2,23007; -0,65982; 0,12317; 0,28415; 0,95083
636960297524135269; -0,09529; 2,22999; -0,66035; 0,12504; 0,28457; 0,95046
636960297526688441; -0,09477; 2,22997; -0,66014; 0,12645; 0,28436; 0,95034
636960297529237577; -0,09401; 2,23006; -0,66037; 0,12966; 0,28486; 0,94976
636960297531810799; -0,09392; 2,23010; -0,66048; 0,12916; 0,28520; 0,94973
636960297534354926; -0,09346; 2,23004; -0,66051; 0,13123; 0,28533; 0,94940
636960297536913338; -0,09445; 2,23028; -0,66035; 0,12238; 0,28687; 0,95012
636960297539456536; -0,09402; 2,23018; -0,66002; 0,12772; 0,28551; 0,94983
636960297542019688; -0,09404; 2,22997; -0,66051; 0,12707; 0,28655; 0,94960
636960297544572866; -0,09351; 2,23043; -0,66029; 0,13114; 0,28896; 0,94832
636960297547121876; -0,09081; 2,22913; -0,66025; 0,13988; 0,28089; 0,94949
636960297549694999; -0,09230; 2,22871; -0,66029; 0,13169; 0,27741; 0,95168
636960297552228337; -0,09202; 2,22805; -0,66054; 0,13298; 0,27232; 0,95297
636960297554791372; -0,09208; 2,22791; -0,66028; 0,12993; 0,26956; 0,95418
636960297557344672; -0,09204; 2,22796; -0,66033; 0,12967; 0,27002; 0,95408
636960297559897721; -0,09167; 2,22801; -0,66031; 0,13020; 0,26947; 0,95417
636960297562450899; -0,09118; 2,22787; -0,66077; 0,13202; 0,27018; 0,95371
636960297565004074; -0,09067; 2,22792; -0,66067; 0,13572; 0,27013; 0,95321
636960297567558812; -0,09096; 2,22793; -0,66082; 0,13357; 0,27028; 0,95347
636960297570112116; -0,09062; 2,22791; -0,66110; 0,13563; 0,27004; 0,95325
636960297572670928; -0,09028; 2,22790; -0,66101; 0,13676; 0,27030; 0,95301
636960297575224105; -0,09001; 2,22787; -0,66117; 0,13771; 0,27014; 0,95292
636960297577757329; -0,08885; 2,22770; -0,66150; 0,14325; 0,26934; 0,95233
636960297580310498; -0,08797; 2,22779; -0,66152; 0,14445; 0,26936; 0,95214
636960297582893595; -0,08812; 2,22790; -0,66154; 0,14370; 0,26937; 0,95226
636960297585442638; -0,08752; 2,22772; -0,66197; 0,14641; 0,26869; 0,95203
636960297587998986; -0,08738; 2,22757; -0,66219; 0,14634; 0,26831; 0,95215
636960297590546325; -0,08771; 2,22762; -0,66199; 0,14363; 0,26821; 0,95259
636960297593099500; -0,08797; 2,22761; -0,66180; 0,14213; 0,26830; 0,95279
636960297595662649; -0,08820; 2,22760; -0,66198; 0,14247; 0,26768; 0,95292
636960297598212849; -0,08767; 2,22750; -0,66196; 0,14346; 0,26809; 0,95265
636960297600766067; -0,08681; 2,22756; -0,66216; 0,14664; 0,26804; 0,95218
636960297603323012; -0,08650; 2,22747; -0,66231; 0,14800; 0,26810; 0,95195
636960297605826252; -0,08697; 2,22762; -0,66236; 0,14602; 0,26890; 0,95204
636960297608379506; -0,08655; 2,22828; -0,66249; 0,14285; 0,27303; 0,95134
636960297610982466; -0,08928; 2,22969; -0,66084; 0,11973; 0,28488; 0,95106
636960297613545618; -0,10231; 2,23506; -0,64269; 0,01661; 0,31794; 0,94797
636960297616098793; -0,11250; 2,23057; -0,63031; -0,05188; 0,27203; 0,96089
636960297618649317; -0,10794; 2,23188; -0,63570; -0,02672; 0,27800; 0,96021
636960297621202495; -0,10963; 2,22990; -0,63868; -0,01699; 0,29030; 0,95679
636960297623755661; -0,11076; 2,23277; -0,64204; -0,01025; 0,32657; 0,94512
636960297626319091; -0,11395; 2,23691; -0,64659; -0,02989; 0,36804; 0,92933
636960297628862014; -0,11242; 2,24002; -0,64722; -0,03175; 0,39798; 0,91685
636960297631424274; -0,11061; 2,24156; -0,65052; -0,02804; 0,41870; 0,90769
636960297633979299; -0,10892; 2,24107; -0,65303; -0,00846; 0,41698; 0,90888
636960297636522505; -0,11022; 2,24073; -0,65437; -0,00523; 0,41757; 0,90863
636960297639085648; -0,10253; 2,24053; -0,65120; 0,03472; 0,41028; 0,91130
636960297641638826; -0,09365; 2,23894; -0,65339; 0,08846; 0,40778; 0,90879
636960297644192016; -0,09785; 2,23848; -0,64876; 0,07528; 0,39446; 0,91583
636960297646745173; -0,09855; 2,23896; -0,65196; 0,07418; 0,40253; 0,91239
636960297649300081; -0,09681; 2,23895; -0,65220; 0,08585; 0,40185; 0,91167
636960297651853261; -0,09699; 2,23929; -0,65270; 0,08535; 0,40461; 0,91050
636960297654416428; -0,09525; 2,23976; -0,65335; 0,09847; 0,41039; 0,90658
636960297656969617; -0,07881; 2,23698; -0,65435; 0,20960; 0,39591; 0,89405
636960297659521790; -0,06958; 2,23444; -0,65470; 0,27735; 0,36646; 0,88814
636960297662074760; -0,07301; 2,23522; -0,65500; 0,26137; 0,37185; 0,89074
636960297664629995; -0,07848; 2,23586; -0,65094; 0,21934; 0,37073; 0,90247
636960297667183170; -0,08241; 2,23655; -0,64747; 0,17664; 0,37475; 0,91014
636960297669736345; -0,08168; 2,23693; -0,64900; 0,18404; 0,38045; 0,90631
636960297672299494; -0,08290; 2,23758; -0,64943; 0,17839; 0,38595; 0,90511
636960297674842791; -0,08615; 2,23862; -0,64901; 0,14599; 0,39616; 0,90650
636960297677401390; -0,08819; 2,23941; -0,64927; 0,12622; 0,40332; 0,90631
636960297679957037; -0,08914; 2,23950; -0,64914; 0,11743; 0,40490; 0,90679
636960297682500246; -0,08903; 2,23984; -0,64905; 0,11777; 0,40832; 0,90521
636960297685063389; -0,08888; 2,24007; -0,64988; 0,12151; 0,41127; 0,90338
636960297687626532; -0,08915; 2,24036; -0,65114; 0,12513; 0,41759; 0,89998
636960297690169748; -0,08869; 2,24033; -0,65140; 0,12941; 0,41613; 0,90005
636960297692725334; -0,08838; 2,24021; -0,65144; 0,12935; 0,41631; 0,89997
636960297695288479; -0,08852; 2,24031; -0,65156; 0,13069; 0,41703; 0,89945
636960297697831707; -0,08821; 2,24024; -0,65162; 0,13134; 0,41645; 0,89962
636960297700393359; -0,08775; 2,24022; -0,65169; 0,13292; 0,41679; 0,89923
636960297702946531; -0,08767; 2,24026; -0,65205; 0,13532; 0,41717; 0,89870
