utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
637018352218013291; -0,11873; 2,14704; -0,60482; -0,03767; -0,02813; 0,99889
637018352228874231; -0,10904; 2,14630; -0,60044; 0,01778; -0,03292; 0,99930
637018352231441311; -0,11051; 2,15152; -0,60507; 0,01419; 0,02673; 0,99954
637018352233992518; -0,11500; 2,15711; -0,61319; -0,02670; 0,09771; 0,99486
637018352236595518; -0,11351; 2,15880; -0,61597; -0,01405; 0,12276; 0,99234
637018352239158665; -0,11075; 2,15926; -0,61787; 0,00222; 0,13017; 0,99149
637018352241711829; -0,10983; 2,15984; -0,61895; 0,01047; 0,13673; 0,99055
637018352244265006; -0,11097; 2,15984; -0,61847; 0,00417; 0,13833; 0,99038
637018352246824626; -0,11091; 2,15969; -0,61788; 0,00405; 0,13459; 0,99089
637018352249377790; -0,10997; 2,15945; -0,61728; 0,00822; 0,13217; 0,99119
637018352251930961; -0,11053; 2,15906; -0,61681; 0,00755; 0,12924; 0,99158
637018352254474218; -0,11013; 2,15898; -0,61641; 0,00597; 0,12802; 0,99175
637018352257027321; -0,11102; 2,15867; -0,61603; 0,00034; 0,12532; 0,99212
637018352259596761; -0,11136; 2,15833; -0,61559; -0,00022; 0,12307; 0,99240
637018352262143464; -0,11122; 2,15865; -0,61632; 0,00292; 0,12484; 0,99217
637018352264696637; -0,11047; 2,15858; -0,61581; 0,00859; 0,12446; 0,99219
637018352267259781; -0,10878; 2,15829; -0,61526; 0,01996; 0,12428; 0,99205
637018352269804588; -0,10150; 2,15671; -0,61372; 0,05509; 0,14306; 0,98818
637018352272367729; -0,09572; 2,15247; -0,61038; 0,05888; 0,12783; 0,99005
637018352274920903; -0,10415; 2,15351; -0,60904; -0,00562; 0,13349; 0,99103
637018352277464105; -0,10413; 2,15232; -0,60932; -0,01147; 0,11759; 0,99300
637018352280027337; -0,09927; 2,15190; -0,60819; 0,01469; 0,11174; 0,99363
637018352282587065; -0,09845; 2,15219; -0,60903; 0,02644; 0,11438; 0,99309
637018352285135600; -0,09748; 2,15227; -0,60876; 0,03325; 0,11441; 0,99288
637018352287688768; -0,09709; 2,15181; -0,60839; 0,04081; 0,10928; 0,99317
637018352290241941; -0,09701; 2,15169; -0,60742; 0,04289; 0,10456; 0,99359
637018352292795109; -0,09670; 2,15141; -0,60686; 0,04667; 0,10222; 0,99367
637018352295348276; -0,09770; 2,15152; -0,60698; 0,04312; 0,10165; 0,99389
637018352297907078; -0,09885; 2,15143; -0,60673; 0,04030; 0,10040; 0,99413
637018352300470222; -0,09880; 2,15107; -0,60619; 0,03841; 0,09589; 0,99465
637018352303013424; -0,09952; 2,15117; -0,60608; 0,03618; 0,09440; 0,99488
637018352305574456; -0,10061; 2,15091; -0,60596; 0,02978; 0,09030; 0,99547
637018352308129774; -0,10115; 2,15068; -0,60600; 0,02552; 0,08611; 0,99596
637018352310672970; -0,10244; 2,15065; -0,60549; 0,01552; 0,08205; 0,99651
637018352313236115; -0,10296; 2,15039; -0,60536; 0,01167; 0,07725; 0,99694
637018352315789317; -0,10302; 2,14997; -0,60517; 0,01133; 0,07262; 0,99730
637018352318354572; -0,10176; 2,14998; -0,60472; 0,01817; 0,07054; 0,99734
637018352320897651; -0,09963; 2,14980; -0,60516; 0,03144; 0,06962; 0,99708
637018352323450824; -0,09728; 2,14959; -0,60514; 0,04393; 0,06743; 0,99676
637018352326003998; -0,09696; 2,14967; -0,60503; 0,04601; 0,06632; 0,99674
637018352328567136; -0,09747; 2,14919; -0,60482; 0,04830; 0,06269; 0,99686
637018352331118384; -0,10004; 2,14885; -0,60443; 0,02916; 0,05927; 0,99782
637018352333657638; -0,10781; 2,14789; -0,60270; -0,01495; 0,04656; 0,99880
637018352336220785; -0,10907; 2,14691; -0,60120; -0,02701; 0,03457; 0,99904
637018352338783926; -0,10482; 2,14621; -0,60112; -0,00380; 0,03142; 0,99950
637018352341332240; -0,10410; 2,14664; -0,60153; 0,00143; 0,03377; 0,99943
637018352343883665; -0,10408; 2,14724; -0,60227; 0,01128; 0,03955; 0,99915
637018352346436830; -0,10204; 2,14721; -0,60223; 0,02797; 0,03889; 0,99885
637018352348999980; -0,10122; 2,14697; -0,60208; 0,04061; 0,03688; 0,99849
637018352351553151; -0,09950; 2,14698; -0,60199; 0,05687; 0,03540; 0,99775
637018352354106315; -0,09860; 2,14679; -0,60207; 0,07113; 0,03064; 0,99700
637018352356666563; -0,09877; 2,14573; -0,60080; 0,07825; 0,01714; 0,99679
637018352359209751; -0,09873; 2,14455; -0,59937; 0,08027; 0,00437; 0,99676
637018352361772898; -0,09820; 2,14413; -0,59848; 0,08200; 0,00000; 0,99663
637018352364326074; -0,09913; 2,14417; -0,59841; 0,07902; 0,00125; 0,99687
637018352366870989; -0,09956; 2,14403; -0,59805; 0,07576; 0,00103; 0,99713
637018352369434116; -0,09970; 2,14421; -0,59791; 0,07605; 0,00170; 0,99710
637018352371987292; -0,10005; 2,14438; -0,59834; 0,07510; 0,00436; 0,99717
637018352374540460; -0,10022; 2,14453; -0,59816; 0,07314; 0,00580; 0,99730
637018352377093633; -0,10042; 2,14444; -0,59839; 0,07414; 0,00530; 0,99723
637018352379651634; -0,09997; 2,14438; -0,59830; 0,07466; 0,00398; 0,99720
637018352382204585; -0,10000; 2,14417; -0,59794; 0,07520; 0,00227; 0,99717
637018352384747787; -0,10024; 2,14390; -0,59792; 0,07522; 0,00111; 0,99717
637018352387304949; -0,09987; 2,14391; -0,59747; 0,07481; 0,00001; 0,99720
637018352389868091; -0,09992; 2,14389; -0,59753; 0,07430; 0,00004; 0,99724
637018352392421273; -0,09992; 2,14376; -0,59707; 0,07401; -0,00133; 0,99726
637018352394974443; -0,09936; 2,14350; -0,59690; 0,07415; -0,00223; 0,99724
637018352397534096; -0,10033; 2,14521; -0,59773; 0,06861; 0,01932; 0,99746
637018352400087272; -0,10517; 2,15313; -0,60939; 0,01981; 0,10538; 0,99423
637018352402640436; -0,10609; 2,15689; -0,61694; 0,00663; 0,15410; 0,98803
637018352405205010; -0,10410; 2,15613; -0,61571; 0,01459; 0,14805; 0,98887
637018352407740468; -0,10283; 2,15574; -0,61513; 0,02301; 0,14545; 0,98910
637018352410298691; -0,10269; 2,15570; -0,61530; 0,02441; 0,14302; 0,98942
637018352412861832; -0,10314; 2,15587; -0,61520; 0,02352; 0,14475; 0,98919
637018352415424974; -0,10368; 2,15570; -0,61528; 0,02096; 0,14241; 0,98959
637018352417968182; -0,10221; 2,15447; -0,61346; 0,01747; 0,12796; 0,99163
637018352420519473; -0,09984; 2,15514; -0,61279; 0,02156; 0,13210; 0,99100
637018352423070174; -0,09972; 2,15540; -0,61406; 0,00659; 0,13636; 0,99064
637018352425633342; -0,10000; 2,15399; -0,61051; -0,02502; 0,12379; 0,99199
637018352428186483; -0,10153; 2,15340; -0,60864; -0,05108; 0,11544; 0,99200
637018352430735509; -0,10009; 2,15516; -0,61425; -0,04180; 0,13873; 0,98945
637018352433298960; -0,10146; 2,15593; -0,61472; -0,06378; 0,14828; 0,98689
637018352435851862; -0,10371; 2,16058; -0,61266; -0,07250; 0,21480; 0,97396
637018352438405035; -0,10133; 2,15982; -0,61178; -0,04186; 0,21407; 0,97592
637018352440948547; -0,09800; 2,15855; -0,61175; -0,00305; 0,20299; 0,97918
637018352443507591; -0,09408; 2,15796; -0,61200; 0,03892; 0,19756; 0,97952
637018352446063415; -0,09205; 2,15770; -0,61221; 0,07440; 0,19627; 0,97772
637018352448616586; -0,09911; 2,15571; -0,61036; 0,00563; 0,17106; 0,98524
637018352451169756; -0,10142; 2,15544; -0,60838; -0,00260; 0,16380; 0,98649
637018352453732894; -0,10028; 2,15594; -0,61035; 0,00101; 0,17149; 0,98518
637018352456281971; -0,09891; 2,15637; -0,61069; 0,01285; 0,17510; 0,98447
637018352458845384; -0,09901; 2,15658; -0,61154; 0,01518; 0,17856; 0,98381
637018352461388586; -0,09878; 2,15631; -0,61105; 0,01544; 0,17654; 0,98417
637018352463941753; -0,09847; 2,15611; -0,61031; 0,01381; 0,17203; 0,98499
637018352466504889; -0,09844; 2,15483; -0,60752; 0,00887; 0,15496; 0,98788
637018352469058054; -0,09614; 2,15355; -0,60545; 0,01769; 0,13595; 0,99056
637018352471621186; -0,09859; 2,15298; -0,60569; 0,01087; 0,12947; 0,99152
637018352474164388; -0,09984; 2,15407; -0,60546; 0,00548; 0,13661; 0,99061
637018352476717553; -0,09895; 2,15259; -0,60418; 0,01404; 0,12469; 0,99210
637018352479280703; -0,10152; 2,15346; -0,60501; 0,00295; 0,12935; 0,99159
637018352481829443; -0,10067; 2,15249; -0,60285; 0,00538; 0,11956; 0,99281
637018352484388528; -0,10112; 2,15300; -0,60243; 0,00597; 0,11981; 0,99278
637018352486941775; -0,09693; 2,15372; -0,60471; 0,02689; 0,12292; 0,99205
637018352489494942; -0,09874; 2,15090; -0,60061; 0,02137; 0,09980; 0,99478
637018352492048113; -0,09667; 2,14887; -0,59650; 0,04501; 0,07953; 0,99582
637018352494591312; -0,09211; 2,14291; -0,58261; 0,11911; 0,04654; 0,99179
637018352497154459; -0,09484; 2,14348; -0,58856; 0,09105; 0,04390; 0,99488
637018352499707793; -0,09688; 2,14519; -0,58618; 0,11047; 0,05112; 0,99256
637018352502260961; -0,09782; 2,14400; -0,58817; 0,06685; 0,04611; 0,99670
637018352504814134; -0,09350; 2,14349; -0,57905; 0,09431; 0,04308; 0,99461
637018352507371542; -0,09508; 2,14473; -0,57986; 0,09095; 0,06243; 0,99390
637018352509932751; -0,09777; 2,14419; -0,58146; 0,08613; 0,05722; 0,99464
637018352512485919; -0,10311; 2,14527; -0,58093; 0,05704; 0,06996; 0,99592
637018352515039092; -0,10425; 2,14994; -0,58677; 0,04568; 0,11892; 0,99185
637018352517589121; -0,10614; 2,15514; -0,59375; 0,03936; 0,16685; 0,98520
637018352520162295; -0,10479; 2,15851; -0,60377; 0,02001; 0,19559; 0,98048
637018352522695462; -0,10456; 2,16059; -0,61022; -0,01174; 0,19114; 0,98149
637018352525248638; -0,09992; 2,15871; -0,60445; 0,00075; 0,17637; 0,98432
637018352527811782; -0,10320; 2,15873; -0,60641; -0,02571; 0,17915; 0,98349
637018352530355002; -0,10371; 2,15931; -0,60524; -0,02323; 0,17081; 0,98503
637018352532911130; -0,09614; 2,16050; -0,60857; -0,00375; 0,18089; 0,98350
637018352535474368; -0,09604; 2,16040; -0,60808; -0,00263; 0,18475; 0,98278
637018352538027450; -0,09735; 2,15988; -0,60876; -0,00453; 0,18731; 0,98229
637018352540580626; -0,09723; 2,15973; -0,60704; -0,00192; 0,18654; 0,98244
637018352543138966; -0,09682; 2,15858; -0,60445; -0,00343; 0,17856; 0,98392
637018352545692134; -0,09631; 2,15533; -0,60243; 0,00480; 0,14644; 0,98921
637018352548245298; -0,09851; 2,15853; -0,60259; -0,01319; 0,20430; 0,97882
637018352550808446; -0,09848; 2,15539; -0,58681; 0,04191; 0,18829; 0,98122
637018352553352244; -0,10198; 2,15426; -0,59171; 0,06120; 0,16916; 0,98369
637018352555905417; -0,09514; 2,15739; -0,60058; 0,08826; 0,18682; 0,97842
637018352558466309; -0,09836; 2,14856; -0,58737; 0,08551; 0,10105; 0,99120
637018352561009514; -0,10154; 2,14881; -0,58396; 0,08697; 0,10563; 0,99059
637018352563572708; -0,10207; 2,14896; -0,58538; 0,08199; 0,11803; 0,98962
637018352566125828; -0,10078; 2,15606; -0,59828; 0,04893; 0,16220; 0,98554
637018352568684133; -0,11030; 2,15803; -0,60379; -0,03166; 0,16175; 0,98632
637018352571230272; -0,11391; 2,15578; -0,60122; -0,05868; 0,13231; 0,98947
637018352573793531; -0,10736; 2,15484; -0,60223; -0,02341; 0,12879; 0,99140
637018352576346596; -0,11047; 2,14908; -0,59537; -0,03231; 0,05693; 0,99786
637018352578894924; -0,11308; 2,14672; -0,59996; 0,00877; 0,03599; 0,99931
637018352581458065; -0,12087; 2,14563; -0,61038; 0,01151; 0,01637; 0,99980
637018352584001265; -0,12615; 2,14844; -0,60800; -0,02054; 0,04000; 0,99899
637018352586564412; -0,12268; 2,15442; -0,60404; -0,03580; 0,13048; 0,99080
637018352589117883; -0,10039; 2,16064; -0,60047; -0,03842; 0,21152; 0,97662
637018352591668546; -0,09480; 2,16014; -0,60891; 0,00325; 0,21416; 0,97679
637018352594221717; -0,10087; 2,15882; -0,61008; -0,00640; 0,19770; 0,98024
637018352596784861; -0,10595; 2,15651; -0,60964; -0,00371; 0,18238; 0,98322
