utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636990644885550702; -0,14471; 2,13286; -0,66412; 0,22371; -0,10128; 0,96938
636990644896589865; -0,17029; 2,12963; -0,66651; -0,04709; -0,11895; 0,99178
636990644899192901; -0,16326; 2,13444; -0,67041; -0,01670; -0,07250; 0,99723
636990644901746146; -0,15789; 2,15192; -0,67986; 0,02558; 0,13458; 0,99057
636990644904355895; -0,15758; 2,15844; -0,68749; 0,02754; 0,22069; 0,97496
636990644906906933; -0,16037; 2,15758; -0,68911; 0,01796; 0,21606; 0,97621
636990644909456502; -0,16250; 2,15680; -0,68787; 0,03613; 0,20934; 0,97718
636990644912009673; -0,16561; 2,15619; -0,68699; 0,05782; 0,20473; 0,97711
636990644914573100; -0,16938; 2,15484; -0,68503; 0,06347; 0,19108; 0,97952
636990644917125982; -0,17063; 2,15418; -0,68297; 0,08152; 0,18266; 0,97979
636990644919669294; -0,17166; 2,15427; -0,68369; 0,07475; 0,18534; 0,97983
636990644922228571; -0,16966; 2,15428; -0,68334; 0,06675; 0,18448; 0,98057
636990644924801676; -0,16766; 2,15425; -0,68420; 0,05373; 0,18446; 0,98137
636990644927345002; -0,16484; 2,15394; -0,68457; 0,03623; 0,18154; 0,98272
636990644929893188; -0,16315; 2,15410; -0,68507; 0,02964; 0,17953; 0,98331
636990644932446471; -0,16043; 2,15330; -0,68506; 0,04206; 0,17093; 0,98438
636990644935003430; -0,15685; 2,15227; -0,68510; 0,05857; 0,15586; 0,98604
636990644937556596; -0,15555; 2,15056; -0,68326; 0,05614; 0,13741; 0,98892
636990644940119733; -0,15545; 2,14883; -0,68145; 0,04755; 0,11568; 0,99215
636990644942672908; -0,15315; 2,14657; -0,67998; 0,03544; 0,08712; 0,99557
636990644945206138; -0,14782; 2,14264; -0,67997; 0,03623; 0,03896; 0,99858
636990644947763196; -0,15172; 2,14422; -0,68090; 0,02357; 0,05452; 0,99823
636990644950336456; -0,15200; 2,14637; -0,67970; 0,03391; 0,07218; 0,99682
636990644952889616; -0,13791; 2,14383; -0,67175; 0,13264; 0,04492; 0,99015
636990644955442785; -0,13282; 2,14208; -0,66830; 0,18368; 0,02413; 0,98269
636990644957995960; -0,13096; 2,13795; -0,66906; 0,17331; -0,00218; 0,98487
636990644960549129; -0,13731; 2,13943; -0,66863; 0,16778; 0,00692; 0,98580
636990644963111562; -0,14590; 2,14094; -0,67087; 0,12526; 0,02668; 0,99176
636990644965654759; -0,13523; 2,13783; -0,66674; 0,22265; 0,01116; 0,97484
636990644968207928; -0,12755; 2,13593; -0,66530; 0,25590; -0,01036; 0,96665
636990644970771118; -0,12939; 2,13694; -0,66564; 0,24933; -0,00387; 0,96841
636990644973314269; -0,13125; 2,13968; -0,66647; 0,24171; 0,03270; 0,96980
636990644975877423; -0,13011; 2,13973; -0,66751; 0,26356; 0,03830; 0,96388
636990644978427293; -0,13078; 2,14007; -0,66759; 0,28926; 0,03985; 0,95642
636990644980990354; -0,14013; 2,14062; -0,66940; 0,24152; 0,03804; 0,96965
636990644983533555; -0,15158; 2,13792; -0,66087; 0,16112; 0,00967; 0,98689
636990644986091794; -0,15683; 2,13306; -0,65128; 0,12803; -0,04892; 0,99056
636990644988644968; -0,15380; 2,13398; -0,65205; 0,13577; -0,02632; 0,99039
636990644991211259; -0,14898; 2,13834; -0,65863; 0,19484; 0,02886; 0,98041
636990644993754737; -0,15054; 2,13841; -0,66210; 0,17572; 0,03712; 0,98374
636990644996307885; -0,15946; 2,14319; -0,67021; 0,07563; 0,06662; 0,99491
636990644998860981; -0,15510; 2,13620; -0,66984; 0,10632; -0,05962; 0,99254
636990645001424124; -0,15286; 2,13409; -0,67155; 0,13990; -0,07853; 0,98705
636990645003977413; -0,15772; 2,13445; -0,67262; 0,10889; -0,07576; 0,99116
636990645006530465; -0,15774; 2,13439; -0,67042; 0,09321; -0,08819; 0,99173
636990645009087357; -0,15584; 2,13215; -0,67367; 0,10180; -0,09513; 0,99025
636990645011645605; -0,15539; 2,13245; -0,67275; 0,10572; -0,09587; 0,98976
636990645014198774; -0,15612; 2,13114; -0,67279; 0,09674; -0,10528; 0,98973
636990645016731997; -0,15780; 2,13064; -0,67184; 0,09282; -0,11032; 0,98955
636990645019290941; -0,15842; 2,12972; -0,67131; 0,09413; -0,11894; 0,98843
636990645021844110; -0,15732; 2,12849; -0,67063; 0,10102; -0,12906; 0,98648
636990645024402357; -0,15782; 2,12857; -0,67137; 0,10299; -0,12722; 0,98651
636990645026965702; -0,15856; 2,12833; -0,67141; 0,10093; -0,12922; 0,98647
636990645029523979; -0,16049; 2,12847; -0,67170; 0,09940; -0,12743; 0,98685
636990645032077151; -0,15985; 2,12845; -0,67155; 0,09953; -0,12884; 0,98666
636990645034620340; -0,15995; 2,12851; -0,67159; 0,09989; -0,12834; 0,98669
636990645037173512; -0,15968; 2,12869; -0,67155; 0,10033; -0,12698; 0,98682
636990645039753271; -0,16002; 2,12970; -0,67242; 0,09749; -0,11560; 0,98850
636990645042296466; -0,16138; 2,13022; -0,67328; 0,07648; -0,11100; 0,99087
636990645044839664; -0,16754; 2,12101; -0,66919; 0,00731; -0,21826; 0,97586
636990645047402886; -0,17209; 2,13378; -0,66438; -0,00795; -0,07800; 0,99692
636990645049944605; -0,17319; 2,15229; -0,67475; -0,00064; 0,16473; 0,98634
636990645052508721; -0,17195; 2,15744; -0,67721; -0,00117; 0,24786; 0,96880
636990645055061892; -0,17031; 2,15767; -0,67616; 0,03926; 0,25639; 0,96578
636990645057605093; -0,17542; 2,15741; -0,67743; 0,07988; 0,25752; 0,96296
636990645060168233; -0,18728; 2,15761; -0,67655; 0,08775; 0,25898; 0,96189
636990645062721402; -0,19330; 2,15770; -0,67616; 0,07198; 0,26003; 0,96292
636990645065284542; -0,18901; 2,15737; -0,67703; 0,07339; 0,25821; 0,96330
