"Response ID","Date submitted","Last page","Start language","Please enter your participant id","Please enter your age in years","Please select your gender","What subject, if any, did you study or are you currently studying?","What is the highest degree or level of school you have completed? If currently enrolled, highest degree received.","What is the highest degree or level of school you have completed? If currently enrolled, highest degree received. [Other]","How much experience do you have with virtual reality (VR) and augmented reality (AR)? [VR]","How much experience do you have with virtual reality (VR) and augmented reality (AR)? [AR]","To what extent do you agree with the following statements? [I felt tired before the experiment.]","To what extent do you agree with the following statements? [I felt tired after the experiment.]","To what extent do you agree with the following statements? [I felt comfortable trying to sleep with a VR head-mounted display.]","To what extent do you agree with the following statements? [I felt more awake after solving the task.]","To what extent do you agree with the following statements? [The transition from sleeping/resting to solving tasks was easy for me.]","To what extent do you agree with the following statements? [I can imagine being woken up like in the experiment to prepare for dangerous situations (e.g. take the control of a car).]","To what extent do you agree with the following statements? [I can imagine wearing a head-mounted display permanently, if they become tiny and comfortable.]","To what extent do you agree with the following statements? [I usually sleep with a sleep mask on.]","To what extent do you agree with the following statements? [I have experience with meditation.]","To what extent do you agree with the following statements? [I didn't feel that comfortable trying to sleep with a VR head-mounted display.]","To what extent do you agree with the following statements? [I felt awake before the experiment.]","To what extent do you agree with the following statements? [The transition from sleeping/resting to solving tasks was hard for me.]"
"1","1980-01-01 00:00:00","7","en","asi15","21","A1","Medieninformatik Bachelor","A3","","A4","A1","A6","A2","A2","A3","A4","A2","A1","A7","A4","A4","A1","A3"
"2","1980-01-01 00:00:00","7","en","atr21","21","A2","Medieninformatik","A3","","A2","A1","A4","A3","A5","A3","A3","A5","A5","A7","A7","A3","A4","A5"
"3","1980-01-01 00:00:00","7","en","cma17","21","A2","Informatik","A3","","A4","A3","A6","A2","A2","A3","A6","A5","A3","A7","A4","A6","A2","A2"
"4","1980-01-01 00:00:00","7","en","sre01","27","A2","software engineering","A3","","A3","A3","A2","A2","A2","A5","A3","A3","A5","A7","A3","A6","A6","A5"
"5","1980-01-01 00:00:00","7","en","egi24","23","A2","Medieninformatik","A3","","A4","A1","A5","A2","A2","A6","A3","A2","A2","A7","A3","A6","A2","A2"
"6","1980-01-01 00:00:00","7","en","gpi19","28","A2","Software Engineering","A3","","A4","A3","A6","A5","A2","A3","A2","A6","A3","A7","A6","A6","A2","A6"
"7","1980-01-01 00:00:00","7","en","mga25","23","A2","Informatik","A3","","A1","A2","A2","A3","A2","A3","A2","A2","A6","A7","A6","A6","A6","A7"
"8","1980-01-01 00:00:00","7","en","bma11","20","A2","Medieninformatik","A3","","A2","A3","A6","A6","A3","A4","A3","A2","A6","A7","A2","A3","A2","A2"
"9","1980-01-01 00:00:00","7","en","sti03","22","A2","Software Engineering","A3","","A7","A2","A2","A2","A5","A5","A5","A4","A3","A7","A2","A3","A6","A3"
"10","1980-01-01 00:00:00","7","en","gao22","20","A1","Physik","A3","","A3","A2","A2","A3","A2","A3","A4","A6","A2","A7","A5","A6","A5","A5"
"11","1980-01-01 00:00:00","7","en","hpr23","20","A1","Wirtschaftsphysik","A3","","A2","A1","A5","A3","A3","A6","A3","A6","A6","A7","A3","A5","A4","A6"
"12","1980-01-01 00:00:00","7","en","VAE03","21","A2","physics and economics","A3","","A2","A2","A3","A4","A2","A3","A2","A5","A3","A6","A3","A5","A5","A5"
"13","1980-01-01 00:00:00","7","en","ani15","22","A2","Software Eng.","A3","","A2","A4","A3","A6","A1","A2","A2","A4","A7","A7","A3","A7","A5","A6"
"14","1980-01-01 00:00:00","7","en","esu03","26","A2","Medieninformatik","A3","","A2","A1","A2","A4","A6","A3","A1","A7","A7","A7","A1","A3","A6","A5"
"15","1980-01-01 00:00:00","7","en","ctu20","21","A2","medieninformatik","A3","","A1","A1","A6","A6","A5","A4","A5","A5","A3","A7","A3","A3","A2","A4"
"16","1980-01-01 00:00:00","7","en","mul03","20","A2","Software Engineering","A3","","A1","A1","A6","A3","A2","A6","A2","A2","A2","A7","A5","A6","A3","A6"
"17","1980-01-01 00:00:00","7","en","sfh20","21","A2","wirtschaftsmathematik","A3","","A1","A1","A7","A3","A6","A7","A2","A6","A2","A7","A6","A1","A1","A5"
"18","1980-01-01 00:00:00","7","en","dme25","19","A2","biologies","A3","","A1","A4","A5","A3","A3","A1","A2","A4","A1","A4","A2","A6","A2","A6"
"19","1980-01-01 00:00:00","7","en","cgl17","21","A1","psychology","A3","","A2","A2","A3","A3","A2","A1","A5","A6","A6","A7","A6","A7","A5","A2"
"20","1980-01-01 00:00:00","7","en","soo23","21","A1","Medieninformatik","A3","","A1","A2","A6","A6","A3","A4","A2","A2","A2","A7","A3","A6","A2","A6"
"21","1980-01-01 00:00:00","7","en","kdg22","24","A2","Medieninformatik","A3","","A4","A3","A1","A5","A4","A2","A3","A4","A2","A7","A4","A2","A6","A5"
"22","1980-01-01 00:00:00","7","en","mha27","22","A2","informatics","A4","","A6","A5","A3","A2","A5","A2","A3","A4","A2","A7","A3","A3","A6","A4"
"23","1980-01-01 00:00:00","7","en","zke27","25","A1","Informatik","A3","","A2","A1","A6","A4","A3","A4","A2","A4","A3","A7","A3","A5","A2","A4"
"24","1980-01-01 00:00:00","7","en","dwn26","25","A1","Medieninformatik BSc","A3","","A2","A1","A4","A2","A1","A2","A6","A2","A5","A7","A2","A7","A3","A2"
