Participant_ID;Iteration;DateAndTime;SleepSeconds;FadeSeconds;StayOnSeconds;AlarmDuration;SAM_pleasure_pre;SAM_arousal_pre;SAM_dominance_pre;SAM_pleasure_post;SAM_arousal_post;SAM_dominance_post;RSME;orderingMis;orderingTime;matchingMis;matchingTime;countingMis;countingTime
url05;0;"18.07.2019 13:20";900;-1;5;05.7379993;4;3;4;4;3;4;0.18;0;33767;0;19801;0;33529
hhh29;0;"18.07.2019 14:16";900;-1;5;10.8366139;4;2;3;4;1;2;0.3;0;23350;0;13868;1;25263
njy25;0;"18.07.2019 16:34";900;-1;5;05.8726116;4;1;3;4;2;3;0.21;0;21930;0;19267;0;28353
ctu09;0;"19.07.2019 15:23";900;-1;5;05.3831475;4;2;2;4;1;2;0.17;0;21118;0;16058;0;20777
sho18;1;"24.07.2019 16:56";900;-1;5;06.1449917;3;3;3;2;2;2;0.13;45;21341;0;31084;0;28751
emu22;0;"27.07.2019 17:29";900;-1;5;06.5131221;3;4;3;3;3;3;0.41;0;24618;7;32163;0;26387
rhl01;0;"27.07.2019 19:28";900;-1;5;04.0170193;4;3;5;4;2;2;0.33;0;22875;0;19235;0;46101
kaa16;0;"28.07.2019 18:17";900;-1;5;08.1859706;4;2;4;4;1;3;0.31;0;37600;0;15714;0;35125
swo16;0;"28.07.2019 19:02";900;-1;5;05.5920975;4;4;3;4;2;2;0.3;0;21093;2;31896;1;31719
cga09;0;"29.07.2019 15:14";900;-1;5;10.6658038;4;3;3;4;2;3;0.27;1;30636;0;26686;1;34027
kuu09;0;"15.08.2019 17:17";900;-1;5;07.8494739;4;2;3;4;3;2;0.35;44;34902;9;25343;0;35137
ajo02;0;"15.08.2019 17:53";900;-1;5;04.4295699;5;2;3;5;1;3;0.21;2;23395;0;22348;1;40835
erv21;1;"19.08.2019 13:36";900;-1;5;05.3562233;4;3;3;4;4;2;0.36;4;29703;0;19991;1;52653
hmo19;0;"19.08.2019 17:29";900;-1;5;08.5368848;4;3;2;4;2;2;0.17;17;19007;0;16669;0;15335
nar02;0;"19.08.2019 18:13";900;-1;5;03.9070280;5;1;5;4;1;5;0.14;44;21585;0;20235;0;27107
