Participant_ID;Iteration;DateAndTime;SleepSeconds;FadeSeconds;StayOnSeconds;SAM_pleasure_pre;SAM_arousal_pre;SAM_dominance_pre;SAM_pleasure_post;SAM_arousal_post;SAM_dominance_post;RSME;orderingMis;orderingTime;matchingMis;matchingTime;countingMis;countingTime
asi15;0;04.06.201915:43;900;20;5;4;3;5;3;2;3;0.47;6;24937;0;19764;2;38071
atr21;0;04.06.201917:12;900;20;5;5;2;3;4;1;3;0.18;2;27347;0;22589;0;24232
cma17;0;05.06.201912:36;900;20;5;4;1;5;4;1;5;0.29;1;25960;0;18446;0;23198
sre01;0;05.06.201913:15;900;20;5;4;1;3;4;1;3;0.38;0;26742;0;19903;1;32606
egi24;0;05.06.201916:04;900;5;5;5;1;5;3;1;3;0.26;0;16585;0;17269;0;21598
gpi19;0;06.06.201912:48;900;5;5;5;1;1;5;1;2;0.19;0;32547;0;18601;0;33936
mga25;0;06.06.201913:34;900;5;5;3;2;3;4;2;3;0.18;0;35547;0;48855;0;29343
bma11;0;06.06.201915:00;900;20;5;4;3;3;4;3;3;0.26;0;22884;0;25564;0;37272
sti03;0;06.06.201915:57;900;20;5;4;3;3;4;2;3;0.31;0;25549;0;26923;0;33536
gao22;0;06.06.201916:54;900;5;5;4;2;2;3;1;3;0.26;0;24217;0;19457;0;24665
hpr23;0;11.06.201915:21;900;20;5;4;1;4;3;2;3;0.13;1;30026;0;20445;0;29496
vae03;0;11.06.201917:15;900;5;5;4;2;4;4;2;4;0.18;0;26992;0;27855;0;53408
ani15;0;12.06.201914:24;900;20;5;4;1;4;5;1;4;0.22;0;30645;0;18413;0;30407
esu03;0;12.06.201917:14;900;5;5;2;5;3;2;2;1;0.2;2;23527;0;19668;0;22809
ctu20;0;12.06.201918:10;900;5;5;4;3;3;4;4;3;0.29;2;23172;0;20900;0;41481
mul03;0;13.06.201913:35;900;20;5;4;3;3;4;2;2;0.15;0;23672;0;17669;0;21410
sfh20;0;13.06.201914:57;900;5;5;4;3;3;3;1;2;0.31;0;27093;0;19601;2;54152
dme25;0;13.06.201918:18;900;5;5;5;3;4;5;3;3;0.42;0;25695;0;16425;1;19366
cgl17;1;14.06.201913:46;900;20;5;4;2;3;4;1;2;0.32;1;34735;0;23289;0;23079
soo23;0;14.06.201914:48;900;5;5;4;3;2;4;2;2;0.29;0;36589;0;21355;0;26332
