Participant_ID;Iteration;DateAndTime;SleepSeconds;SleepDuration;FadeSeconds;StayOnSeconds;AlarmDuration;SAM_pleasure_pre;SAM_arousal_pre;SAM_dominance_pre;SAM_pleasure_post;SAM_arousal_post;SAM_dominance_post;RSME;orderingMis;orderingTime;matchingMis;matchingTime;countingMis;countingTime;o1;o2;o3;o4;o5;o6;o7;o8;o9;o10;m1;m2;m3;m4;m5;m6;m7;m8;m9;m10;c1;c2;c3
asi15;0;04.06.2019 15:43;900;15;20;5;-1;4;3;5;3;2;3;0.47;6;24937;0;19764;2;38071;4647;3596;1292;4186;723;3065;3599;1753;956;1120;2260;2231;1789;2410;2655;1843;1599;1855;1643;1479;11714;9674;16683
atr21;0;04.06.2019 17:12;900;15;20;5;-1;5;2;3;4;1;3;0.18;2;27347;0;22589;0;24232;5827;1542;4122;4186;2622;966;2687;2300;1968;1127;3920;2841;1689;1822;1844;1776;1674;1991;2556;2476;9894;6631;7707
cma17;0;05.06.2019 12:36;900;15;20;5;-1;4;1;5;4;1;5;0.29;1;25960;1;18446;0;23198;5748;3153;4242;1133;3542;1489;3230;946;1300;1177;1753;2011;2120;1511;1800;1410;1877;1544;2576;1844;7206;8186;7806
sre01;0;05.06.2019 13:15;900;15;20;5;-1;4;1;3;4;1;3;0.38;0;26742;0;19903;1;32606;5329;2641;2978;2189;5431;1675;1035;2798;1643;1023;2318;3056;1810;1777;1589;1809;2177;1456;1697;2214;16634;6832;9140
egi24;0;05.06.2019 16:04;900;15;5;5;-1;5;1;5;3;1;3;0.26;0;16585;0;17269;0;21598;4277;992;2476;1399;2842;835;1510;811;777;666;1410;1532;1688;1809;1535;2231;2009;1157;1799;2099;7303;8164;6131
gpi19;0;06.06.2019 12:48;900;15;5;5;-1;5;1;1;5;1;2;0.19;0;32547;0;18601;0;33936;7279;3055;5730;1045;9017;1523;1355;1297;1377;869;2341;1921;1977;2145;1719;1744;1877;1579;1677;1621;10781;10784;12371
mga25;0;06.06.2019 13:34;900;15;5;5;-1;3;2;3;4;2;3;0.18;0;35547;2;48855;0;29343;16623;4344;2328;1599;3456;2111;1665;911;1408;1102;5187;4697;22590;1721;1433;1855;3876;2043;2830;2623;9974;9984;9385
bma11;0;06.06.2019 15:00;900;15;20;5;-1;4;3;3;4;3;3;0.26;0;22884;1;25564;0;37272;6981;1684;3957;2088;3009;878;1333;1252;880;822;4152;2299;4420;2121;1787;1623;2621;2244;2175;2122;12584;11194;13494
sti03;0;06.06.2019 15:57;900;15;20;5;-1;4;3;3;4;2;3;0.31;0;25549;1;26923;0;33536;6399;1522;4178;2000;2232;1622;3074;2301;1142;1079;4965;2441;3857;1553;2166;1800;2310;3063;2557;2211;18888;7507;7141
gao22;0;06.06.2019 16:54;900;15;5;5;-1;4;2;2;3;1;3;0.26;0;24217;0;19457;0;24665;5181;4176;2375;745;5231;1207;992;2000;1144;1166;2775;2100;1699;2088;1888;1510;1710;2044;1666;1977;9340;8262;7063
hpr23;0;11.06.2019 15:21;900;15;20;5;-1;4;1;4;3;2;3;0.13;1;30026;0;20445;0;29496;6734;2433;3943;1909;5910;2199;2288;1966;1721;923;1942;2377;2098;2022;1733;1877;1942;2922;1689;1843;9794;10405;9297
vae03;0;11.06.2019 17:15;900;15;5;5;-1;4;2;4;4;2;4;0.18;0;26992;0;27855;0;53408;7237;1053;4810;1277;5474;989;2644;1322;1043;1143;7453;2444;2753;2932;2453;2201;2122;1465;2066;1966;34283;7218;11907
ani15;0;12.06.2019 14:24;900;15;20;5;-1;4;1;4;5;1;4;0.22;0;30645;0;18413;0;30407;3148;5065;5830;2166;4853;2088;1810;2666;2055;964;1774;1645;2023;1831;1755;1977;1566;2199;1810;1833;10793;12095;7519
esu03;0;12.06.2019 17:14;900;15;5;5;-1;2;5;3;2;2;1;0.2;2;23527;0;19668;0;22809;4626;1509;4598;1533;4798;1366;1877;1244;1032;944;2465;2076;1754;2344;1955;2243;1911;1432;1644;1844;6973;7252;8584
