utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636998525249297025; -0,05268; 2,15084; -0,16382; 0,00863; 0,22671; 0,97393
636998525260333934; -0,05543; 2,15156; -0,16349; -0,00455; 0,23274; 0,97253
636998525263096545; -0,05633; 2,15177; -0,16367; -0,00757; 0,23373; 0,97227
636998525265699586; -0,05727; 2,15208; -0,16374; -0,00960; 0,23578; 0,97176
636998525268251096; -0,05725; 2,15169; -0,16338; -0,00988; 0,23380; 0,97224
636998525270804267; -0,06075; 2,15209; -0,16318; -0,02552; 0,23505; 0,97165
636998525273405542; -0,05387; 2,15251; -0,16302; 0,00576; 0,23709; 0,97147
636998525275968871; -0,04659; 2,15895; -0,16433; 0,04520; 0,28508; 0,95744
636998525278522041; -0,04972; 2,16368; -0,16508; 0,02831; 0,31892; 0,94736
636998525281075211; -0,05829; 2,16290; -0,16804; -0,02173; 0,32932; 0,94397
636998525283608431; -0,06703; 2,16237; -0,16467; -0,03739; 0,36940; 0,92852
636998525286174272; -0,06098; 2,16556; -0,16866; -0,01765; 0,35805; 0,93354
636998525288744404; -0,05640; 2,16695; -0,16776; 0,00469; 0,37605; 0,92659
636998525291297578; -0,03526; 2,17803; -0,12132; 0,11590; 0,31915; 0,94059
636998525293850751; -0,05209; 2,17781; -0,08125; 0,10735; 0,20874; 0,97206
636998525296403915; -0,05543; 2,17465; -0,08590; 0,07754; 0,19669; 0,97739
636998525298952477; -0,05736; 2,16583; -0,08287; 0,06178; 0,10566; 0,99248
636998525301510820; -0,06257; 2,16727; -0,08657; 0,03725; 0,10892; 0,99335
636998525304062789; -0,06103; 2,17546; -0,09973; 0,04624; 0,21880; 0,97467
636998525306620840; -0,04509; 2,17101; -0,09292; 0,12684; 0,16435; 0,97821
636998525309174007; -0,04317; 2,16784; -0,09239; 0,17304; 0,13533; 0,97557
636998525311727175; -0,06466; 2,16779; -0,09467; 0,02663; 0,12910; 0,99127
