utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636960346489876625; 0,05858; 2,20518; -0,36603; 0,20368; -0,17888; 0,96256
636960346500777292; 0,02801; 2,21276; -0,40042; 0,15311; -0,07899; 0,98505
636960346503348171; 0,03397; 2,21230; -0,40391; 0,21792; -0,06691; 0,97367
636960346505901351; 0,02272; 2,22306; -0,40522; 0,12534; 0,04152; 0,99124
636960346508504385; 0,00564; 2,23227; -0,41233; -0,01057; 0,15132; 0,98843
636960346511067537; -0,01058; 2,23779; -0,41932; -0,11113; 0,21769; 0,96967
636960346513615814; -0,01111; 2,23996; -0,42487; -0,08670; 0,25244; 0,96372
636960346516166127; -0,00168; 2,24292; -0,43043; -0,00569; 0,29279; 0,95616
636960346518728125; 0,00359; 2,24351; -0,43480; 0,04344; 0,31084; 0,94947
636960346521286294; 0,00554; 2,24320; -0,43426; 0,05480; 0,30600; 0,95045
636960346523839472; 0,00553; 2,24289; -0,43378; 0,05455; 0,30165; 0,95186
636960346526402618; 0,00495; 2,24181; -0,43340; 0,04853; 0,29050; 0,95564
636960346528940924; 0,00425; 2,23942; -0,43098; 0,03518; 0,26336; 0,96406
636960346531498847; 0,00081; 2,23696; -0,42733; 0,01551; 0,22872; 0,97337
636960346534067061; -0,00052; 2,23566; -0,42448; 0,01058; 0,21105; 0,97742
636960346536613418; 0,00033; 2,23661; -0,42455; 0,01088; 0,21611; 0,97631
636960346539166724; 0,01393; 2,23562; -0,42066; 0,03613; 0,19596; 0,97995
636960346541729741; 0,02008; 2,22782; -0,41625; -0,01549; 0,10617; 0,99423
636960346544262974; 0,05459; 2,21821; -0,41006; 0,23068; 0,00353; 0,97302
636960346546826123; 0,05338; 2,21810; -0,40583; 0,15300; -0,00106; 0,98823
636960346549392729; 0,02723; 2,22334; -0,40195; -0,02608; 0,03638; 0,99900
636960346551941015; 0,00986; 2,22716; -0,40249; -0,09070; 0,05552; 0,99433
636960346554494181; -0,01298; 2,23063; -0,41535; -0,19649; 0,10047; 0,97535
636960346557047355; -0,01322; 2,23124; -0,41492; -0,14935; 0,10517; 0,98318
636960346559598815; 0,03452; 2,23556; -0,42185; 0,19639; 0,18334; 0,96323
636960346562150651; 0,06386; 2,22237; -0,43222; 0,22230; 0,09434; 0,97040
636960346564703180; 0,05881; 2,22598; -0,43225; 0,15573; 0,12703; 0,97960
636960346567263377; 0,03988; 2,22984; -0,42316; 0,04471; 0,13127; 0,99034
636960346569816710; 0,03643; 2,22912; -0,42060; 0,04085; 0,12006; 0,99193
636960346572369891; 0,03990; 2,22841; -0,41958; 0,05991; 0,11323; 0,99176
636960346574923063; 0,03929; 2,22810; -0,41874; 0,05675; 0,10948; 0,99237
636960346577486209; 0,03880; 2,22832; -0,41831; 0,06169; 0,11149; 0,99185
636960346580039386; 0,03929; 2,22691; -0,41547; 0,06714; 0,09280; 0,99342
636960346582592564; 0,04237; 2,22501; -0,41276; 0,08013; 0,07207; 0,99418
636960346585145739; 0,04217; 2,22394; -0,41065; 0,08903; 0,05823; 0,99433
636960346587698961; 0,03932; 2,22303; -0,40857; 0,08507; 0,04407; 0,99540
