utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636995841684459945; 2,26733; 2,18993; -0,62012; -0,88092; 0,01013; 0,47315
636995841695704770; 2,21442; 2,19792; -0,64655; -0,71508; 0,02607; -0,69855
636995841698297843; 2,20026; 2,20353; -0,59483; -0,63990; 0,10573; -0,76115
636995841700860981; 2,19617; 2,19824; -0,58987; -0,59003; 0,05720; -0,80536
636995841703459302; 2,18621; 2,19797; -0,57313; -0,61423; 0,06297; -0,78661
636995841706022441; 2,18745; 2,19899; -0,56577; -0,64934; 0,08927; -0,75524
636995841708575614; 2,19177; 2,19422; -0,57019; -0,64970; 0,05389; -0,75828
636995841711128799; 2,17954; 2,19206; -0,56340; -0,76239; 0,02036; -0,64680
636995841713681952; 2,17916; 2,18974; -0,56317; -0,76694; 0,00601; -0,64169
636995841716250897; 2,18002; 2,19070; -0,56377; -0,76637; 0,01112; -0,64231
636995841718781834; 2,18124; 2,19001; -0,56304; -0,76374; 0,00530; -0,64550
636995841721344984; 2,18079; 2,18906; -0,56246; -0,76571; -0,00218; -0,64318
636995841723898149; 2,18207; 2,18904; -0,56232; -0,76330; -0,00267; -0,64604
636995841726451319; 2,18199; 2,18846; -0,56200; -0,76607; -0,00651; -0,64273
636995841729014463; 2,18121; 2,18851; -0,56149; -0,77408; -0,00707; -0,63305
636995841731565188; 2,18184; 2,18819; -0,56135; -0,76982; -0,00945; -0,63820
636995841734117557; 2,18345; 2,18852; -0,56309; -0,75584; -0,00850; -0,65471
636995841736670731; 2,18365; 2,18855; -0,56130; -0,76467; -0,00750; -0,64438
636995841739223898; 2,18329; 2,18833; -0,56151; -0,76344; -0,01075; -0,64580
636995841741787086; 2,18430; 2,18814; -0,56447; -0,74425; -0,01306; -0,66778
636995841744329646; 2,18924; 2,18766; -0,56822; -0,64429; -0,00557; -0,76476
636995841746886101; 2,18191; 2,18911; -0,55526; -0,48455; 0,01853; -0,87457
636995841749449181; 2,15098; 2,19210; -0,52952; -0,21818; 0,04888; -0,97468
636995841752002351; 2,08574; 2,19518; -0,49917; -0,05002; 0,05240; -0,99737
636995841754545550; 2,00419; 2,20508; -0,48848; 0,05073; 0,07650; -0,99578
636995841757088752; 1,95482; 2,19806; -0,49249; 0,03106; 0,01743; -0,99937
636995841759652280; 1,94490; 2,19125; -0,47859; 0,08636; -0,00064; -0,99626
636995841762215529; 1,92443; 2,19398; -0,46205; 0,08144; 0,04989; -0,99543
636995841764778563; 1,91686; 2,19241; -0,46542; -0,00071; 0,03242; -0,99947
636995841767331733; 1,92539; 2,18902; -0,46566; 0,01652; -0,00098; -0,99986
636995841769874932; 1,91890; 2,18927; -0,46659; -0,00560; 0,00075; -0,99998
636995841772433182; 1,91698; 2,18911; -0,46644; -0,00730; 0,00059; -0,99997
636995841774986530; 1,92090; 2,18907; -0,46547; -0,00267; 0,00391; -0,99999
636995841777539704; 1,92333; 2,18882; -0,46584; -0,00911; 0,00150; -0,99996
636995841780092877; 1,92437; 2,18939; -0,46824; -0,01796; 0,00621; -0,99982
636995841782651094; 1,92029; 2,21821; -0,45099; -0,08713; 0,32374; -0,94213
636995841785204267; 1,92925; 2,23362; -0,39464; -0,06919; 0,61842; -0,78280
636995841787760316; 1,93452; 2,23547; -0,37002; -0,02271; 0,71569; -0,69805
636995841790323455; 1,93175; 2,23617; -0,37701; -0,03234; 0,69882; -0,71457
636995841792866657; 1,93187; 2,23082; -0,38723; -0,03009; 0,62582; -0,77939
636995841795439802; 1,92793; 2,19625; -0,45587; -0,01886; 0,09591; -0,99521
636995841797982998; 1,92026; 2,14356; -0,50717; -0,02494; -0,40125; -0,91563
636995841800534544; 1,92000; 2,14059; -0,51118; -0,01761; -0,43128; -0,90204
636995841803097635; 1,91932; 2,14419; -0,50984; -0,01563; -0,40180; -0,91559
636995841805640835; 1,91532; 2,16539; -0,50626; -0,04255; -0,22912; -0,97247
636995841808204002; 1,91665; 2,19953; -0,47318; -0,04479; 0,11795; -0,99201
636995841810752301; 1,92112; 2,20514; -0,45491; -0,03981; 0,20321; -0,97833
636995841813299305; 1,92267; 2,20147; -0,46500; -0,02973; 0,14089; -0,98958
636995841815852470; 1,92220; 2,20009; -0,46512; -0,03428; 0,13268; -0,99057
636995841818415620; 1,92168; 2,20178; -0,46082; -0,04072; 0,15241; -0,98748
636995841820973352; 1,92251; 2,20163; -0,46057; -0,03632; 0,14906; -0,98816
636995841823526523; 1,92343; 2,20059; -0,46026; -0,03245; 0,14182; -0,98936
636995841826077101; 1,92457; 2,19984; -0,45976; -0,02471; 0,13318; -0,99078
636995841828630274; 1,92606; 2,19973; -0,46053; -0,01657; 0,13104; -0,99124
636995841831183441; 1,92853; 2,19974; -0,45985; -0,00023; 0,13277; -0,99115
636995841833737597; 1,93129; 2,19998; -0,46013; 0,01352; 0,13092; -0,99130
636995841836290758; 1,93083; 2,19937; -0,46026; 0,01315; 0,12639; -0,99189
636995841838848560; 1,92942; 2,19948; -0,46023; 0,01519; 0,12350; -0,99223
636995841841397467; 1,91647; 2,19692; -0,46099; -0,15865; 0,10026; -0,98223
636995841843960606; 1,85705; 2,19043; -0,43233; -0,82035; 0,05750; -0,56896
636995841846513782; 1,84097; 2,18729; -0,41650; -0,87162; 0,05454; -0,48714
636995841849066952; 1,83174; 2,18647; -0,41403; -0,90102; 0,04025; -0,43190
636995841851630094; 1,82621; 2,18526; -0,41259; -0,90129; 0,04424; -0,43095
636995841854178933; 1,82314; 2,18571; -0,41016; -0,90680; 0,04691; -0,41894
636995841856729330; 1,82276; 2,18507; -0,40817; -0,90433; 0,04514; -0,42445
636995841859286682; 1,82563; 2,18574; -0,41002; -0,89956; 0,04757; -0,43420
636995841861839847; 1,82662; 2,18545; -0,40898; -0,89773; 0,04654; -0,43808
636995841864393023; 1,82754; 2,18585; -0,40840; -0,89616; 0,04906; -0,44100
636995841866952295; 1,82854; 2,18620; -0,40834; -0,89443; 0,05104; -0,44428
636995841869488358; 1,82774; 2,18485; -0,40704; -0,89034; 0,04596; -0,45297
636995841872047733; 1,87192; 2,19896; -0,44803; -0,47780; 0,14906; -0,86573
636995841874620836; 1,93096; 2,19897; -0,47434; 0,04634; 0,10818; -0,99305
636995841877174007; 1,95566; 2,20067; -0,46644; 0,30687; 0,12748; -0,94318
636995841879717200; 1,96684; 2,20309; -0,45763; 0,42322; 0,15824; -0,89210
636995841882277086; 1,96562; 2,20265; -0,45971; 0,37777; 0,15180; -0,91337
636995841884825613; 1,96224; 2,20208; -0,46189; 0,36329; 0,14359; -0,92054
636995841887386013; 1,98378; 2,20204; -0,45316; 0,62033; 0,14480; -0,77086
636995841889939289; 2,00139; 2,20015; -0,44740; 0,74725; 0,10813; -0,65569
636995841892492357; 2,00704; 2,19764; -0,44718; 0,75522; 0,08582; -0,64983
636995841895045524; 1,99551; 2,19812; -0,45472; 0,65568; 0,08197; -0,75058
636995841897601988; 1,92227; 2,19523; -0,47475; -0,13014; 0,05485; -0,98998
636995841900159638; 1,90095; 2,18787; -0,47763; -0,26079; -0,00901; -0,96535
636995841902712809; 1,89767; 2,18498; -0,47965; -0,25732; -0,03488; -0,96570
636995841905265970; 1,90045; 2,18405; -0,48314; -0,22584; -0,04930; -0,97292
636995841907814827; 1,89900; 2,18150; -0,48466; -0,22374; -0,06810; -0,97227
636995841910377983; 1,89934; 2,18097; -0,48517; -0,22205; -0,07550; -0,97211
636995841912930885; 1,89921; 2,18011; -0,48522; -0,22087; -0,08290; -0,97177
636995841915486224; 1,89822; 2,17925; -0,48560; -0,23357; -0,08933; -0,96823
636995841918039473; 1,89817; 2,17873; -0,48774; -0,24586; -0,09970; -0,96416
636995841920592567; 1,89907; 2,17534; -0,49257; -0,24279; -0,13381; -0,96080
636995841923145831; 1,89731; 2,17515; -0,49662; -0,22754; -0,12783; -0,96534
636995841925694744; 1,89516; 2,17920; -0,49909; -0,23957; -0,09727; -0,96599
636995841928237940; 1,89098; 2,18646; -0,49900; -0,23575; -0,06547; -0,96961
636995841930801052; 1,89541; 2,19627; -0,50200; -0,21695; -0,08313; -0,97264
636995841933366882; 1,89174; 2,22476; -0,49778; -0,19851; -0,04095; -0,97924
636995841935920058; 1,88089; 2,26848; -0,48954; -0,17130; -0,01169; -0,98515
636995841938493156; 1,85179; 2,32796; -0,48432; -0,00993; -0,15352; -0,98810
636995841941026390; 1,77490; 2,37522; -0,45184; 0,15863; -0,15608; -0,97492
636995841943577904; 1,67178; 2,37230; -0,38481; 0,32060; -0,29323; -0,90068
636995841946141396; 1,54105; 2,40548; -0,30948; 0,28795; -0,74961; -0,59596
636995841948684642; 1,50443; 2,62163; -0,29682; 0,55731; -0,73857; -0,37936
636995841951237812; 1,37937; 2,76667; -0,33438; 0,87249; -0,41215; -0,26248
636995841953800954; 1,30868; 2,71773; -0,35692; 0,92407; -0,31304; -0,21930
636995841956349209; 1,26242; 2,72329; -0,38414; 0,94226; -0,30721; -0,13328
636995841958912429; 1,24446; 2,75207; -0,40366; 0,97438; -0,15577; -0,16223
636995841961458226; 1,23647; 2,76448; -0,40179; 0,98984; -0,03300; -0,13828
