utc_now_ticks; elapsed; should_hit; hit; correct
636995853697514980; 7918; Yellow; SphereYellow; True
636995853745705407; 12738; Blue; SphereBlue; True
636995853782469887; 16414; Green; SphereGreen; True
636995853811788247; 19346; Red; SphereRed; True
636995853836885899; 21855; Yellow; SphereYellow; True
636995853855329655; 23700; Blue; SphereBlue; True
636995853870544526; 25221; Yellow; SphereYellow; True
636995853889315421; 27098; Yellow; SphereYellow; True
636995853908082741; 28975; Red; SphereRed; True
636995853929169297; 31084; Blue; SphereBlue; True
