utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636961204944570405; -0,40104; 2,17965; -0,37182; 0,30934; 0,01696; 0,95080
636961204956359030; -0,40511; 2,17945; -0,36627; 0,15763; 0,00890; 0,98746
636961204958892255; -0,40848; 2,19062; -0,37826; 0,12640; 0,14945; 0,98066
636961204961450645; -0,40606; 2,19135; -0,38239; 0,13966; 0,14831; 0,97903
636961204964053680; -0,40527; 2,19153; -0,38638; 0,08093; 0,14605; 0,98596
636961204966620182; -0,39020; 2,19429; -0,38974; 0,03150; 0,15644; 0,98718
636961204969163376; -0,37869; 2,19249; -0,39026; 0,09387; 0,14647; 0,98475
636961204971726535; -0,38856; 2,18986; -0,38963; 0,07200; 0,13955; 0,98759
636961204974269728; -0,39279; 2,19110; -0,38219; 0,05370; 0,13774; 0,98901
636961204976783008; -0,39287; 2,19008; -0,38449; 0,04885; 0,13838; 0,98917
636961204979368892; -0,39026; 2,19130; -0,38270; 0,06681; 0,14604; 0,98702
636961204981940996; -0,39170; 2,19157; -0,38525; 0,06892; 0,15326; 0,98578
636961204984494161; -0,39148; 2,19295; -0,38483; 0,07278; 0,16618; 0,98341
636961204987047331; -0,39396; 2,19020; -0,38322; 0,06539; 0,14312; 0,98754
636961204989596942; -0,39138; 2,18874; -0,37172; 0,10590; 0,11700; 0,98747
636961204992160092; -0,38895; 2,18759; -0,36156; 0,10517; 0,12018; 0,98717
636961204994707360; -0,38848; 2,18587; -0,36010; 0,12584; 0,10286; 0,98670
636961204997260533; -0,38948; 2,18804; -0,36321; 0,11725; 0,12558; 0,98513
636961204999813703; -0,38696; 2,18720; -0,36372; 0,14053; 0,10163; 0,98485
636961205002376857; -0,38597; 2,18350; -0,37229; 0,12800; 0,06347; 0,98974
636961205004926248; -0,38503; 2,18536; -0,37706; 0,14489; 0,07996; 0,98621
636961205007481324; -0,38536; 2,18606; -0,38226; 0,13091; 0,09146; 0,98717
636961205010044355; -0,38338; 2,18648; -0,37964; 0,13868; 0,08738; 0,98648
636961205012587554; -0,38652; 2,18353; -0,37823; 0,11701; 0,06817; 0,99079
636961205015150704; -0,38874; 2,18303; -0,37355; 0,10926; 0,05368; 0,99256
