utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636953373195011151; 0,11501; 2,32623; -0,33107; -0,09057; 0,09032; 0,99179
636953373205981130; 0,12313; 2,28701; -0,32918; -0,02850; -0,06112; 0,99772
636953373208494410; 0,11723; 2,28563; -0,33132; -0,06033; -0,02528; 0,99786
636953373211167249; 0,11699; 2,28617; -0,33043; -0,06135; 0,00107; 0,99812
636953373213718315; 0,11845; 2,28455; -0,33277; -0,06279; -0,00353; 0,99802
636953373216271532; 0,11592; 2,28618; -0,32860; -0,08318; -0,00831; 0,99650
636953373218848645; 0,11357; 2,28876; -0,33543; -0,06118; 0,02637; 0,99778
636953373221431735; 0,11690; 2,28706; -0,33491; -0,07196; 0,01184; 0,99734
636953373223994876; 0,11698; 2,28703; -0,33526; -0,06424; 0,01127; 0,99787
636953373226543166; 0,11601; 2,28443; -0,33455; -0,08149; -0,01479; 0,99656
636953373229086401; 0,11629; 2,28608; -0,33597; -0,07444; 0,00589; 0,99721
636953373231649498; 0,11775; 2,28674; -0,33914; -0,04921; 0,01551; 0,99867
636953373234192730; 0,11742; 2,28682; -0,33885; -0,05183; 0,02037; 0,99845
636953373236756499; 0,11712; 2,28692; -0,33966; -0,04976; 0,02695; 0,99840
636953373239319658; 0,11602; 2,28718; -0,33987; -0,04945; 0,02031; 0,99857
636953373241867814; 0,11726; 2,28704; -0,33952; -0,04126; 0,00925; 0,99911
636953373244430950; 0,11196; 2,28907; -0,34288; -0,07066; 0,03016; 0,99704
636953373246984129; 0,11818; 2,28489; -0,34041; -0,06222; -0,01049; 0,99801
636953373249529017; 0,11786; 2,28521; -0,33860; -0,07335; -0,00557; 0,99729
636953373252091022; 0,11640; 2,28614; -0,34246; -0,06150; 0,00806; 0,99807
636953373254644192; 0,11792; 2,28719; -0,34532; -0,04687; 0,01463; 0,99879
636953373257197371; 0,11737; 2,28713; -0,34578; -0,06683; 0,01779; 0,99761
636953373259750504; 0,12366; 2,28463; -0,34141; -0,04695; -0,01296; 0,99881
636953373262303583; 0,12122; 2,28499; -0,34191; -0,03993; -0,01358; 0,99911
636953373264856751; 0,12010; 2,28557; -0,34509; -0,04062; -0,00615; 0,99916
636953373267409921; 0,12119; 2,28649; -0,34445; -0,03384; -0,00583; 0,99941
636953373269968273; 0,12456; 2,28563; -0,34517; -0,04229; -0,00607; 0,99909
636953373272521846; 0,12261; 2,28549; -0,34236; -0,03712; -0,01546; 0,99919
636953373275070738; 0,12128; 2,28563; -0,34365; -0,02789; -0,01519; 0,99950
636953373277633889; 0,12291; 2,28530; -0,34383; -0,03213; -0,01912; 0,99930
636953373280187062; 0,12062; 2,28658; -0,34520; -0,03001; -0,00637; 0,99953
636953373282740259; 0,12325; 2,28627; -0,34546; -0,01834; -0,01246; 0,99975
636953373285273560; 0,12425; 2,28826; -0,34729; -0,02427; 0,00911; 0,99966
636953373287828121; 0,12472; 2,28574; -0,34446; -0,01153; -0,01196; 0,99986
636953373290401245; 0,12526; 2,28531; -0,34240; -0,00582; -0,02487; 0,99967
636953373292954480; 0,12623; 2,28449; -0,34060; -0,01176; -0,03410; 0,99935
636953373295512823; 0,12545; 2,28482; -0,34097; -0,00346; -0,03179; 0,99949
636953373298063205; 0,12283; 2,28591; -0,34279; -0,00363; -0,02087; 0,99978
636953373300626344; 0,12538; 2,28468; -0,34092; -0,00792; -0,03597; 0,99932
636953373303179517; 0,12754; 2,28567; -0,34078; 0,00517; -0,02972; 0,99954
636953373305732693; 0,12505; 2,28641; -0,34247; 0,00015; -0,01970; 0,99981
636953373308294917; 0,12262; 2,28711; -0,34430; 0,00007; -0,01511; 0,99989
636953373310841764; 0,12505; 2,29093; -0,34101; -0,00341; -0,00790; 0,99996
636953373313384878; 0,12928; 2,28414; -0,33209; 0,02670; -0,08405; 0,99610
636953373315948023; 0,12524; 2,28623; -0,33789; 0,03862; -0,08955; 0,99523
636953373318498268; 0,12473; 2,28202; -0,33406; 0,00828; -0,14863; 0,98886
636953373321061406; 0,12769; 2,28347; -0,33523; 0,01882; -0,09703; 0,99510
636953373323619620; 0,12827; 2,28904; -0,34450; 0,02096; -0,01642; 0,99965
636953373326173057; 0,12748; 2,29056; -0,34106; 0,00408; -0,01733; 0,99984
636953373328716160; 0,13032; 2,28792; -0,33642; 0,01663; -0,04765; 0,99873
636953373331283407; 0,12898; 2,28616; -0,33827; 0,03090; -0,05624; 0,99794
636953373333826510; 0,12804; 2,28707; -0,33918; 0,03279; -0,05508; 0,99794
636953373336388301; 0,12584; 2,28901; -0,33990; 0,00361; -0,03612; 0,99934
636953373338941466; 0,12710; 2,28996; -0,34147; 0,02373; -0,02482; 0,99941
636953373341494636; 0,12844; 2,28905; -0,34161; 0,02377; -0,02967; 0,99928
636953373344050907; 0,12639; 2,29071; -0,34038; 0,02084; -0,02085; 0,99957
636953373346594831; 0,12743; 2,28901; -0,34357; 0,03490; -0,02502; 0,99908
636953373349154582; 0,12740; 2,28988; -0,34332; 0,02851; -0,01810; 0,99943
636953373351707750; 0,12666; 2,29052; -0,34167; 0,01686; -0,01353; 0,99977
636953373354261043; 0,12629; 2,29113; -0,34592; 0,01127; -0,00178; 0,99994
636953373356824062; 0,12655; 2,29046; -0,34843; 0,01560; 0,00009; 0,99988
636953373359368924; 0,12674; 2,29205; -0,34679; 0,00683; 0,01112; 0,99991
636953373361932062; 0,12652; 2,29124; -0,34658; 0,01436; 0,01280; 0,99982
636953373364485227; 0,12610; 2,29224; -0,34559; 0,00606; 0,02010; 0,99978
636953373367048374; 0,12651; 2,29106; -0,34573; 0,01301; 0,00541; 0,99990
636953373369591845; 0,12699; 2,29214; -0,34676; 0,01154; 0,01698; 0,99979
636953373372142768; 0,12897; 2,29274; -0,34679; 0,02048; 0,02381; 0,99951
636953373374697934; 0,12764; 2,29243; -0,34719; 0,01516; 0,02165; 0,99965
636953373377251099; 0,12566; 2,29357; -0,34876; 0,01205; 0,03293; 0,99939
636953373379814243; 0,12836; 2,29555; -0,35252; 0,01647; 0,05225; 0,99850
636953373382362519; 0,13151; 2,29962; -0,35612; 0,03798; 0,08624; 0,99555
636953373384915382; 0,13070; 2,29653; -0,35254; 0,04840; 0,05666; 0,99722
636953373387468553; 0,12667; 2,29678; -0,35092; 0,01356; 0,05699; 0,99828
636953373390021717; 0,12353; 2,29470; -0,35179; -0,00287; 0,04088; 0,99916
636953373392584862; 0,12668; 2,29605; -0,35341; 0,01877; 0,05746; 0,99817
636953373395133140; 0,12757; 2,29570; -0,35407; 0,02032; 0,05774; 0,99812
636953373397686316; 0,12669; 2,29620; -0,35289; 0,02419; 0,05652; 0,99811
636953373400249551; 0,12754; 2,29539; -0,35152; 0,02712; 0,04362; 0,99868
636953373402802637; 0,12899; 2,29635; -0,34956; 0,02536; 0,04091; 0,99884
636953373405355798; 0,12543; 2,29530; -0,35275; 0,02736; 0,04100; 0,99878
636953373407920220; 0,12315; 2,29913; -0,35280; 0,00015; 0,06412; 0,99794
636953373410465213; 0,12663; 2,29706; -0,35174; 0,02139; 0,05119; 0,99846
636953373413008126; 0,12687; 2,29820; -0,35229; 0,01719; 0,05941; 0,99809
636953373415571265; 0,12664; 2,29847; -0,35353; 0,01993; 0,06299; 0,99782
636953373418124441; 0,12638; 2,29819; -0,35316; 0,02128; 0,06156; 0,99788
636953373420677062; 0,13032; 2,29806; -0,35390; 0,04155; 0,05856; 0,99742
636953373423233073; 0,12778; 2,29841; -0,35365; 0,05343; 0,05826; 0,99687
636953373425786249; 0,12596; 2,29839; -0,35472; 0,03949; 0,05979; 0,99743
636953373428349382; 0,12844; 2,29880; -0,35449; 0,05492; 0,06327; 0,99648
636953373430897636; 0,12847; 2,29939; -0,35495; 0,04737; 0,06952; 0,99646
