utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636954334770967063; 0,13253; 2,30960; 0,10929; 0,10104; -0,01510; 0,99477
636954334782115681; -0,35503; 2,39098; -0,04634; 0,28808; 0,26272; 0,92086
636954334784698776; -0,34045; 2,37134; -0,06403; 0,43250; 0,26966; 0,86036
636954334787251946; -0,36222; 2,35226; -0,05525; 0,41427; 0,21154; 0,88523
636954334789864961; -0,36281; 2,34583; -0,04539; 0,40074; 0,19241; 0,89576
636954334792420931; -0,35531; 2,35617; -0,06143; 0,43765; 0,06427; 0,89685
636954334794974101; -0,35228; 2,34877; -0,07238; 0,51888; -0,02141; 0,85458
636954334797527272; -0,34537; 2,34749; -0,06914; 0,53762; -0,04401; 0,84204
636954334800080442; -0,34900; 2,34681; -0,07564; 0,57403; -0,04329; 0,81769
636954334802623641; -0,34903; 2,34510; -0,07595; 0,56699; -0,05347; 0,82198
636954334805186789; -0,34523; 2,34505; -0,07818; 0,57487; -0,06084; 0,81598
636954334807749924; -0,34644; 2,34452; -0,07646; 0,57520; -0,05876; 0,81590
636954334810300245; -0,35252; 2,34282; -0,07085; 0,56478; -0,06977; 0,82229
636954334812853419; -0,35071; 2,33857; -0,06766; 0,57562; -0,10915; 0,81040
636954334815406586; -0,34842; 2,33524; -0,06323; 0,56951; -0,14005; 0,80996
636954334817959759; -0,35131; 2,33170; -0,06112; 0,55526; -0,17418; 0,81323
636954334820516726; -0,34481; 2,33577; -0,06569; 0,55835; -0,15898; 0,81423
636954334823065527; -0,34879; 2,33549; -0,06763; 0,56465; -0,15752; 0,81016
636954334825618698; -0,34777; 2,33386; -0,06313; 0,55294; -0,17151; 0,81538
636954334828181839; -0,34606; 2,33401; -0,06163; 0,55265; -0,17278; 0,81531
636954334830735009; -0,34539; 2,33514; -0,06104; 0,55314; -0,16320; 0,81695
636954334833282563; -0,34568; 2,33569; -0,06146; 0,55529; -0,16057; 0,81601
636954334835835727; -0,34529; 2,33527; -0,06119; 0,55641; -0,16041; 0,81528
636954334838405848; -0,34427; 2,33469; -0,06395; 0,58119; -0,16690; 0,79647
636954334840948892; -0,34287; 2,33618; -0,06596; 0,58659; -0,15483; 0,79495
636954334843501945; -0,34596; 2,33869; -0,06512; 0,58939; -0,13983; 0,79565
636954334846052562; -0,34996; 2,33893; -0,06420; 0,59226; -0,13232; 0,79481
636954334848605972; -0,35077; 2,33885; -0,06079; 0,57466; -0,12983; 0,80803
636954334851169300; -0,34763; 2,33824; -0,06454; 0,60042; -0,12691; 0,78955
636954334853722298; -0,34543; 2,34016; -0,06480; 0,59999; -0,12095; 0,79081
636954334856275457; -0,35784; 2,33940; -0,04552; 0,48219; -0,10660; 0,86956
636954334858828630; -0,34891; 2,33582; -0,04355; 0,46054; -0,12655; 0,87857
636954334861391768; -0,33963; 2,33051; -0,03795; 0,42544; -0,15688; 0,89128
636954334863946204; -0,33456; 2,32474; -0,04404; 0,45303; -0,19922; 0,86895
636954334866496353; -0,32855; 2,32751; -0,05459; 0,52315; -0,17392; 0,83431
636954334869049830; -0,33351; 2,33050; -0,05614; 0,52401; -0,16337; 0,83590
