utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636999373318348899; -0,45747; 2,11058; -0,25731; -0,06681; -0,18681; 0,98012
636999373329271451; -0,43492; 2,10376; -0,26126; 0,10786; -0,21716; 0,97016
636999373331824621; -0,43745; 2,11787; -0,26501; 0,05691; -0,07040; 0,99589
636999373334377789; -0,44262; 2,12719; -0,27138; 0,00458; 0,04030; 0,99918
636999373336983220; -0,44342; 2,13435; -0,27973; 0,00829; 0,12113; 0,99260
636999373339534456; -0,43995; 2,13400; -0,28080; 0,03249; 0,12162; 0,99204
636999373342096282; -0,43781; 2,13378; -0,28128; 0,04159; 0,11896; 0,99203
636999373344652123; -0,43516; 2,13453; -0,28078; 0,03810; 0,12458; 0,99148
636999373347185465; -0,43560; 2,13421; -0,28039; 0,04395; 0,12279; 0,99146
636999373349738513; -0,43665; 2,13367; -0,27972; 0,03281; 0,11339; 0,99301
636999373352311623; -0,43533; 2,13239; -0,27997; 0,03977; 0,09755; 0,99444
636999373354864793; -0,43439; 2,13178; -0,28102; 0,04620; 0,09088; 0,99479
636999373357419796; -0,43427; 2,13096; -0,28009; 0,04915; 0,08247; 0,99538
636999373359972867; -0,43395; 2,13067; -0,27859; 0,04821; 0,07727; 0,99584
636999373362536017; -0,43549; 2,13029; -0,27885; 0,04332; 0,07334; 0,99637
636999373365079289; -0,43644; 2,12983; -0,27775; 0,04085; 0,06591; 0,99699
636999373367632381; -0,43599; 2,12965; -0,27749; 0,04164; 0,06331; 0,99712
636999373370195867; -0,43541; 2,12965; -0,27777; 0,04510; 0,06273; 0,99701
636999373372747377; -0,43550; 2,12959; -0,27731; 0,04563; 0,06093; 0,99710
636999373375290238; -0,43531; 2,12944; -0,27669; 0,04455; 0,05829; 0,99731
636999373377843431; -0,43646; 2,12929; -0,27636; 0,04038; 0,05605; 0,99761
636999373380406550; -0,43733; 2,12818; -0,27487; 0,03770; 0,04273; 0,99837
636999373382962274; -0,43663; 2,12738; -0,27395; 0,04185; 0,03288; 0,99858
636999373385514647; -0,43652; 2,12695; -0,27374; 0,04512; 0,02739; 0,99861
636999373388062939; -0,43633; 2,12676; -0,27451; 0,05178; 0,02546; 0,99833
636999373390601308; -0,43323; 2,12620; -0,27326; 0,06448; 0,00650; 0,99790
636999373393158614; -0,43383; 2,12622; -0,27304; 0,06610; -0,00374; 0,99781
636999373395731688; -0,43520; 2,12415; -0,27130; 0,06343; -0,02818; 0,99759
636999373398294835; -0,43384; 2,12260; -0,26904; 0,07011; -0,04625; 0,99647
636999373400846416; -0,43333; 2,12264; -0,26895; 0,07072; -0,04765; 0,99636
636999373403398011; -0,43337; 2,12212; -0,26806; 0,07019; -0,05324; 0,99611
636999373405951123; -0,43367; 2,12242; -0,26841; 0,07140; -0,05174; 0,99611
636999373408509823; -0,43496; 2,12210; -0,26827; 0,06687; -0,05451; 0,99627
636999373411063013; -0,43667; 2,12433; -0,26917; 0,06115; -0,03137; 0,99764
636999373413616184; -0,44049; 2,13029; -0,27304; -0,00888; 0,04064; 0,99913
636999373416169529; -0,44485; 2,13214; -0,28002; -0,03496; 0,08868; 0,99545
636999373418727764; -0,44193; 2,13141; -0,27975; -0,00784; 0,07516; 0,99714
636999373421280938; -0,43717; 2,13395; -0,28085; -0,00344; 0,08174; 0,99665
636999373423834234; -0,43074; 2,13822; -0,27741; 0,02352; 0,09338; 0,99535
636999373426386323; -0,42904; 2,13513; -0,27681; 0,02676; 0,07507; 0,99682
636999373428949458; -0,43163; 2,12978; -0,28162; -0,00995; 0,04975; 0,99871
