utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636970762088908168; -0,37356; 2,21101; -0,52273; 0,18673; -0,07692; 0,97940
636970762101082573; -0,36811; 2,17053; -0,49577; 0,24875; -0,38851; 0,88723
636970762103595864; -0,37595; 2,18262; -0,49909; 0,16011; -0,26989; 0,94949
636970762106165423; -0,38252; 2,19268; -0,50839; 0,07895; -0,15627; 0,98455
636970762108715765; -0,38159; 2,20371; -0,51956; 0,05939; -0,03372; 0,99767
636970762111268935; -0,37658; 2,21641; -0,54110; 0,00266; 0,10375; 0,99460
636970762113812143; -0,36208; 2,23140; -0,55213; 0,00351; 0,19260; 0,98127
636970762116374332; -0,35858; 2,22651; -0,53732; 0,04668; 0,17013; 0,98431
636970762118957428; -0,35991; 2,21840; -0,55858; 0,05106; 0,18217; 0,98194
636970762121528895; -0,35499; 2,21942; -0,55145; 0,04194; 0,16724; 0,98502
636970762124032172; -0,34831; 2,21756; -0,55861; 0,03821; 0,16796; 0,98505
636970762126615256; -0,35251; 2,21866; -0,55387; 0,04838; 0,16224; 0,98557
636970762129198348; -0,35320; 2,21744; -0,56041; 0,03286; 0,17221; 0,98451
636970762131701698; -0,34434; 2,21872; -0,55629; 0,03385; 0,16547; 0,98563
636970762134256780; -0,34027; 2,21802; -0,55886; 0,05205; 0,16650; 0,98467
636970762136805342; -0,34431; 2,21896; -0,55697; 0,03797; 0,16779; 0,98509
636970762139358515; -0,34327; 2,21864; -0,55837; 0,04110; 0,16924; 0,98472
636970762141921659; -0,34422; 2,21859; -0,55795; 0,03866; 0,16775; 0,98507
636970762144584539; -0,34732; 2,21867; -0,55812; 0,02202; 0,16858; 0,98544
636970762147137060; -0,34670; 2,21877; -0,55830; 0,02351; 0,16934; 0,98528
636970762149689088; -0,34553; 2,21848; -0,55876; 0,03412; 0,16872; 0,98507
636970762152242267; -0,34313; 2,21833; -0,55823; 0,04263; 0,16696; 0,98504
636970762154795438; -0,34434; 2,21794; -0,55800; 0,03971; 0,16542; 0,98542
636970762157358582; -0,34434; 2,21810; -0,55798; 0,03635; 0,16574; 0,98550
636970762159911756; -0,34454; 2,21795; -0,55750; 0,03589; 0,16520; 0,98561
636970762162464648; -0,34456; 2,21838; -0,55748; 0,03610; 0,16682; 0,98533
636970762165028433; -0,34545; 2,21845; -0,55786; 0,03303; 0,16765; 0,98529
636970762167621505; -0,34499; 2,21839; -0,55768; 0,03515; 0,16722; 0,98529
636970762170174667; -0,34408; 2,21843; -0,55783; 0,03963; 0,16780; 0,98502
636970762172678061; -0,34524; 2,21832; -0,55789; 0,03444; 0,16834; 0,98513
636970762175231149; -0,34440; 2,21809; -0,55815; 0,04016; 0,16789; 0,98499
636970762177799761; -0,34199; 2,21812; -0,55748; 0,04822; 0,16596; 0,98495
636970762180352973; -0,34357; 2,21805; -0,55793; 0,04169; 0,16741; 0,98501
636970762182896128; -0,34375; 2,21787; -0,55777; 0,04115; 0,16655; 0,98517
636970762185449301; -0,34357; 2,21802; -0,55793; 0,04343; 0,16577; 0,98521
636970762188008536; -0,34398; 2,21795; -0,55816; 0,04020; 0,16649; 0,98522
636970762190571674; -0,34365; 2,21803; -0,55779; 0,04139; 0,16622; 0,98522
636970762193114485; -0,34327; 2,21805; -0,55778; 0,04189; 0,16672; 0,98511
636970762195669678; -0,34307; 2,21799; -0,55785; 0,04404; 0,16692; 0,98499
