utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636971545710153012; -0,27032; 2,15205; -0,48589; 0,42526; -0,09132; 0,90045
636971545721513205; -0,27438; 2,15372; -0,49588; 0,02110; -0,08233; 0,99638
636971545724096306; -0,27617; 2,15940; -0,49864; 0,01192; -0,02627; 0,99958
636971545726669430; -0,27731; 2,16635; -0,50661; 0,01814; 0,05209; 0,99848
636971545729262497; -0,27813; 2,16978; -0,51176; 0,01714; 0,09306; 0,99551
636971545731815662; -0,27929; 2,17159; -0,51565; 0,01323; 0,11539; 0,99323
636971545734368876; -0,28026; 2,17440; -0,52221; 0,01525; 0,15539; 0,98774
636971545736922043; -0,28267; 2,17551; -0,52672; 0,00049; 0,17385; 0,98477
636971545739475220; -0,28404; 2,17549; -0,52701; -0,01044; 0,17450; 0,98460
636971545742028390; -0,28414; 2,17619; -0,52773; -0,00807; 0,17947; 0,98373
636971545744591532; -0,28348; 2,17893; -0,52841; 0,00002; 0,19861; 0,98008
636971545747150450; -0,28434; 2,18011; -0,52811; -0,00026; 0,20478; 0,97881
636971545749693644; -0,28454; 2,17877; -0,52396; -0,00845; 0,18098; 0,98345
636971545752246814; -0,28603; 2,17297; -0,51861; -0,02411; 0,11408; 0,99318
636971545754799990; -0,28511; 2,17150; -0,51708; -0,02479; 0,09348; 0,99531
636971545757366066; -0,28592; 2,17138; -0,52111; -0,02498; 0,10109; 0,99456
636971545759931449; -0,28807; 2,17180; -0,51962; -0,03388; 0,10154; 0,99425
636971545762464677; -0,28904; 2,17150; -0,51990; -0,03607; 0,10419; 0,99390
636971545765017847; -0,28852; 2,17347; -0,52212; -0,02596; 0,12615; 0,99167
636971545767580998; -0,28911; 2,17215; -0,52292; -0,02769; 0,11380; 0,99312
636971545770135355; -0,29009; 2,17004; -0,52131; -0,03755; 0,08875; 0,99535
636971545772687853; -0,28892; 2,16849; -0,52078; -0,03768; 0,07233; 0,99667
636971545775242783; -0,29024; 2,16412; -0,51405; -0,03912; 0,02459; 0,99893
636971545777796114; -0,29471; 2,15668; -0,51137; -0,07265; -0,04165; 0,99649
636971545780359261; -0,29049; 2,15847; -0,51223; -0,02343; -0,02532; 0,99940
636971545782902466; -0,28548; 2,15747; -0,50817; -0,00506; -0,04059; 0,99916
636971545785455634; -0,28626; 2,15297; -0,50976; -0,00409; -0,06717; 0,99773
636971545788017153; -0,29365; 2,15978; -0,51602; -0,00596; 0,00142; 0,99998
636971545790569833; -0,28969; 2,16707; -0,52255; 0,00115; 0,07759; 0,99699
636971545793130809; -0,29026; 2,16412; -0,51680; -0,01859; 0,03712; 0,99914
636971545795674017; -0,28841; 2,16430; -0,51945; -0,00706; 0,04001; 0,99917
636971545798227187; -0,28438; 2,16526; -0,52098; 0,01312; 0,04918; 0,99870
636971545800790329; -0,29264; 2,16626; -0,51402; -0,01818; 0,03788; 0,99912
636971545803338631; -0,30029; 2,16324; -0,51733; -0,04307; 0,02293; 0,99881
636971545805896795; -0,29652; 2,16361; -0,51902; -0,01053; 0,02966; 0,99950
636971545808445091; -0,28416; 2,15958; -0,51446; 0,06023; -0,00553; 0,99817
636971545811008233; -0,28292; 2,15932; -0,51220; 0,10352; -0,01261; 0,99455
636971545813561430; -0,28637; 2,15898; -0,51268; 0,09836; -0,01672; 0,99501
636971545816083515; -0,28490; 2,15885; -0,51209; 0,09972; -0,02089; 0,99480
636971545818640049; -0,28411; 2,15840; -0,51201; 0,10447; -0,02612; 0,99418
636971545821224670; -0,28529; 2,15914; -0,51261; 0,10138; -0,02229; 0,99460
636971545823777530; -0,28517; 2,15903; -0,51282; 0,10259; -0,02274; 0,99446
636971545826336122; -0,28711; 2,16189; -0,51317; 0,08911; 0,00580; 0,99600
636971545828889324; -0,29019; 2,16585; -0,51521; 0,06980; 0,05226; 0,99619
636971545831442448; -0,29234; 2,16780; -0,51735; 0,06063; 0,07706; 0,99518
636971545833990726; -0,29265; 2,16829; -0,51827; 0,05972; 0,08635; 0,99447
636971545836550861; -0,29307; 2,16863; -0,51939; 0,05770; 0,09404; 0,99390
636971545839106109; -0,29480; 2,16846; -0,51919; 0,04477; 0,09464; 0,99450
636971545841654402; -0,29646; 2,16874; -0,52034; 0,03187; 0,10054; 0,99442
636971545844207575; -0,29588; 2,16899; -0,52134; 0,02624; 0,10747; 0,99386
636971545846770717; -0,29697; 2,16921; -0,52226; 0,02067; 0,11121; 0,99358
636971545849323899; -0,29732; 2,16887; -0,52213; 0,01863; 0,10670; 0,99412
636971545851873621; -0,29669; 2,16908; -0,52199; 0,02131; 0,10635; 0,99410
636971545854431873; -0,29676; 2,16927; -0,52235; 0,02236; 0,10823; 0,99387
636971545856985047; -0,29451; 2,17017; -0,52328; 0,05188; 0,11619; 0,99187
636971545859538217; -0,27898; 2,17370; -0,52959; 0,18753; 0,16089; 0,96899
636971545862091420; -0,25504; 2,17649; -0,54288; 0,42037; 0,21071; 0,88255
636971545864655777; -0,24016; 2,16848; -0,54427; 0,58075; 0,12465; 0,80448
636971545867204213; -0,24140; 2,16833; -0,53953; 0,55831; 0,11470; 0,82167
636971545869767390; -0,24496; 2,16838; -0,53906; 0,54257; 0,11923; 0,83150
636971545872310563; -0,24536; 2,16878; -0,53744; 0,53490; 0,11848; 0,83656
636971545874873713; -0,24571; 2,16823; -0,53771; 0,53613; 0,11558; 0,83618
636971545877423745; -0,24636; 2,16812; -0,53703; 0,52977; 0,11426; 0,84041
636971545879976918; -0,24640; 2,16826; -0,53675; 0,52871; 0,11175; 0,84141
636971545882530092; -0,24696; 2,16792; -0,53676; 0,52696; 0,11097; 0,84262
636971545885083259; -0,24737; 2,16771; -0,53637; 0,52363; 0,10736; 0,84515
636971545887636435; -0,24750; 2,16775; -0,53638; 0,52366; 0,10706; 0,84518
636971545890199580; -0,24768; 2,16772; -0,53617; 0,52170; 0,10628; 0,84648
636971545892742808; -0,24811; 2,16786; -0,53619; 0,51924; 0,10725; 0,84787
636971545895299801; -0,24947; 2,16960; -0,53741; 0,51007; 0,12443; 0,85109
636971545897858033; -0,26082; 2,17819; -0,54170; 0,41708; 0,22455; 0,88069
636971545900411198; -0,29131; 2,17185; -0,53080; 0,12995; 0,14092; 0,98146
636971545902914504; -0,30603; 2,16620; -0,52032; 0,01813; 0,05587; 0,99827
636971545905517547; -0,31082; 2,16151; -0,51233; 0,00356; 0,01299; 0,99991
636971545908070601; -0,30709; 2,15997; -0,51821; 0,01106; 0,01604; 0,99981
636971545910628833; -0,30344; 2,16078; -0,51403; 0,03519; 0,01260; 0,99930
636971545913182006; -0,30596; 2,15924; -0,51462; 0,00997; 0,00866; 0,99991
636971545915735182; -0,30308; 2,16028; -0,51395; 0,01998; 0,00928; 0,99976
636971545918296676; -0,29795; 2,16094; -0,51630; 0,04827; 0,01947; 0,99864
636971545920849855; -0,29756; 2,16191; -0,51834; 0,04968; 0,02943; 0,99833
636971545923399358; -0,30079; 2,16308; -0,51253; -0,00387; 0,02000; 0,99979
636971545925952528; -0,29717; 2,16304; -0,51479; -0,01909; 0,02461; 0,99951
636971545928505698; -0,29223; 2,16501; -0,51627; -0,09463; 0,03504; 0,99490
636971545931058875; -0,26918; 2,16560; -0,51225; -0,10773; 0,02641; 0,99383
636971545933612182; -0,24983; 2,16429; -0,51034; 0,02624; 0,01573; 0,99953
636971545936115491; -0,28040; 2,16435; -0,51010; -0,25053; -0,00697; 0,96808
636971545938691138; -0,31031; 2,15866; -0,52349; -0,70367; -0,06052; 0,70794
636971545941274230; -0,28552; 2,16404; -0,53081; -0,85132; -0,00634; 0,52461
636971545943827415; -0,25670; 2,16450; -0,52706; -0,88321; 0,01075; 0,46885
636971545946400525; -0,23948; 2,16431; -0,52488; -0,91852; 0,01043; 0,39525
636971545948943876; -0,22285; 2,16282; -0,52359; -0,96256; -0,01024; 0,27086
636971545951498087; -0,19463; 2,16340; -0,50425; -0,95439; 0,00208; 0,29856
636971545954051260; -0,18928; 2,16156; -0,49244; -0,94479; -0,00756; 0,32758
636971545956614414; -0,18998; 2,16205; -0,49448; -0,93995; -0,00397; 0,34129
636971545959167581; -0,18972; 2,16245; -0,49626; -0,93756; -0,00165; 0,34783
636971545961715351; -0,18915; 2,16227; -0,49529; -0,93598; -0,00324; 0,35205
636971545964288841; -0,18864; 2,16299; -0,49560; -0,93283; 0,00454; 0,36028
636971545966824874; -0,18446; 2,16514; -0,49360; -0,91848; 0,02826; 0,39447
636971545969378048; -0,18072; 2,16571; -0,49160; -0,90786; 0,03598; 0,41772
636971545971941195; -0,18131; 2,16537; -0,49145; -0,90773; 0,03437; 0,41814
636971545974494371; -0,18120; 2,16539; -0,49166; -0,90716; 0,03496; 0,41934
636971545977040651; -0,18348; 2,16551; -0,49428; -0,91950; 0,03535; 0,39149
636971545979605546; -0,18907; 2,16651; -0,50719; -0,95956; 0,04607; 0,27771
636971545982158716; -0,19220; 2,16634; -0,50992; -0,95939; 0,04297; 0,27879
636971545984711892; -0,19169; 2,16637; -0,50918; -0,95878; 0,04206; 0,28102
636971545987265072; -0,19178; 2,16628; -0,50920; -0,95790; 0,04114; 0,28414
636971545989817795; -0,19269; 2,16623; -0,50962; -0,95939; 0,03743; 0,27959
636971545992390913; -0,19292; 2,16587; -0,50980; -0,95895; 0,03551; 0,28133
636971545994930118; -0,19347; 2,16554; -0,50919; -0,95827; 0,03210; 0,28404
636971545997473390; -0,19274; 2,16580; -0,50926; -0,95774; 0,03331; 0,28572
636971546000056407; -0,19227; 2,16588; -0,50905; -0,95467; 0,03302; 0,29582
636971546002589641; -0,19273; 2,16557; -0,50814; -0,94842; 0,02853; 0,31574
636971546005147142; -0,19242; 2,16536; -0,50791; -0,94488; 0,02494; 0,32647
636971546007700313; -0,19250; 2,16491; -0,50719; -0,94247; 0,02121; 0,33361
636971546010255873; -0,19233; 2,16498; -0,50699; -0,94189; 0,02013; 0,33531
636971546012789107; -0,19318; 2,16503; -0,50724; -0,94095; 0,02046; 0,33793
636971546015362220; -0,18500; 2,16963; -0,49059; -0,80617; 0,04696; 0,58981
636971546017915396; -0,17354; 2,17270; -0,47468; -0,36847; 0,08373; 0,92586
636971546020466553; -0,21465; 2,17098; -0,49189; -0,25743; 0,08051; 0,96294
636971546023031285; -0,25971; 2,17311; -0,50212; -0,14399; 0,09504; 0,98500
636971546025574557; -0,28802; 2,17179; -0,49773; -0,01560; 0,08064; 0,99662
636971546028137625; -0,29879; 2,16712; -0,49672; 0,09958; 0,05596; 0,99345
636971546030690796; -0,30356; 2,16700; -0,49756; 0,11579; 0,05711; 0,99163
636971546033242791; -0,29797; 2,16461; -0,50044; 0,11023; 0,04950; 0,99267
636971546035795962; -0,30041; 2,16693; -0,50472; 0,06251; 0,06972; 0,99561
636971546038349889; -0,30246; 2,16598; -0,50540; 0,05773; 0,06371; 0,99630
636971546040904904; -0,29763; 2,16396; -0,50500; 0,08812; 0,03661; 0,99544
636971546043468039; -0,29576; 2,16270; -0,50329; 0,08921; 0,02035; 0,99580
636971546046011253; -0,29669; 2,16316; -0,50367; 0,08497; 0,02293; 0,99612
636971546048574395; -0,29723; 2,16315; -0,50350; 0,07964; 0,02124; 0,99660
636971546051127565; -0,29647; 2,16319; -0,50345; 0,08108; 0,01924; 0,99652
636971546053679070; -0,29686; 2,16303; -0,50288; 0,07544; 0,01755; 0,99700
636971546056236104; -0,29964; 2,16682; -0,50323; 0,04834; 0,05780; 0,99716
636971546058789335; -0,30451; 2,17284; -0,51000; 0,01570; 0,13296; 0,99100
636971546061342459; -0,31918; 2,17279; -0,51291; -0,03267; 0,13650; 0,99010
636971546063895632; -0,32043; 2,17346; -0,51695; -0,02549; 0,15152; 0,98813
636971546066432826; -0,31429; 2,17559; -0,52046; 0,01564; 0,17432; 0,98456
636971546068995971; -0,30995; 2,17620; -0,52404; 0,03923; 0,18940; 0,98112
