utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636990528457778433; -0,49780; 2,21372; -0,37554; 0,61487; -0,07634; 0,78492
636990528469127279; -0,50372; 2,21642; -0,38063; 0,61771; -0,05322; 0,78461
636990528471660643; -0,50391; 2,21629; -0,38050; 0,61783; -0,05209; 0,78458
636990528474323512; -0,50387; 2,21643; -0,38014; 0,61685; -0,05118; 0,78542
636990528476996358; -0,50381; 2,21652; -0,37985; 0,61575; -0,05021; 0,78634
636990528479549857; -0,50427; 2,21666; -0,38006; 0,61514; -0,04902; 0,78689
636990528482109770; -0,50401; 2,21669; -0,38036; 0,61504; -0,04929; 0,78695
636990528484656063; -0,50434; 2,21701; -0,38042; 0,61527; -0,04525; 0,78701
636990528487209346; -0,50432; 2,21723; -0,38067; 0,61438; -0,04209; 0,78789
636990528489772366; -0,50476; 2,21749; -0,38064; 0,61417; -0,04085; 0,78812
636990528492365428; -0,50446; 2,21742; -0,38056; 0,61444; -0,04151; 0,78787
636990528494928571; -0,50445; 2,21748; -0,38044; 0,61516; -0,04131; 0,78732
636990528497501682; -0,50504; 2,21769; -0,38076; 0,61393; -0,03924; 0,78839
636990528500023441; -0,50562; 2,21794; -0,38101; 0,61334; -0,03685; 0,78896
636990528502596558; -0,50642; 2,21828; -0,38165; 0,61286; -0,03149; 0,78956
636990528505149993; -0,50642; 2,21855; -0,38145; 0,61244; -0,03147; 0,78989
636990528507692928; -0,50558; 2,21835; -0,38129; 0,61263; -0,03223; 0,78971
636990528510256062; -0,50535; 2,21822; -0,38094; 0,61263; -0,03326; 0,78967
636990528512802126; -0,50499; 2,21815; -0,38089; 0,61313; -0,03492; 0,78921
636990528515359767; -0,50594; 2,21825; -0,38145; 0,61257; -0,03226; 0,78976
636990528517912927; -0,50590; 2,21836; -0,38138; 0,61152; -0,03301; 0,79054
636990528520466104; -0,50676; 2,21831; -0,38142; 0,61152; -0,03257; 0,79056
636990528523040668; -0,50610; 2,21838; -0,38102; 0,61035; -0,03354; 0,79142
636990528525573620; -0,50665; 2,21871; -0,38009; 0,60851; -0,03060; 0,79296
636990528528131476; -0,50673; 2,21913; -0,37926; 0,60614; -0,02814; 0,79486
636990528530683201; -0,50520; 2,21860; -0,37947; 0,60781; -0,03610; 0,79327
636990528533236376; -0,50498; 2,21895; -0,37894; 0,60693; -0,03459; 0,79400
636990528535799513; -0,50601; 2,21991; -0,37907; 0,60600; -0,02592; 0,79504
636990528538347036; -0,50697; 2,21898; -0,38033; 0,60302; -0,03022; 0,79715
636990528540910179; -0,50665; 2,21835; -0,37977; 0,60102; -0,03454; 0,79849
636990528543463348; -0,50734; 2,21853; -0,38039; 0,60182; -0,03269; 0,79797
636990528546016516; -0,50680; 2,21850; -0,38048; 0,60217; -0,03286; 0,79769
636990528548559717; -0,50685; 2,21882; -0,37970; 0,60072; -0,03197; 0,79882
636990528551125271; -0,50694; 2,21897; -0,37984; 0,60155; -0,03018; 0,79827
636990528553677543; -0,50710; 2,21886; -0,37995; 0,60084; -0,02983; 0,79881
636990528556225998; -0,50719; 2,21896; -0,37979; 0,60075; -0,02983; 0,79888
636990528558789559; -0,50723; 2,21850; -0,38037; 0,60325; -0,03237; 0,79689
636990528561332330; -0,50716; 2,21844; -0,37961; 0,60091; -0,03393; 0,79860
636990528563893740; -0,50761; 2,21864; -0,37946; 0,59895; -0,03249; 0,80013
636990528566446935; -0,50719; 2,21846; -0,37965; 0,60022; -0,03366; 0,79913
636990528569000121; -0,50698; 2,21857; -0,37896; 0,59793; -0,03481; 0,80079
636990528571562469; -0,50731; 2,21892; -0,37890; 0,59525; -0,03041; 0,80297
636990528574111877; -0,51063; 2,21897; -0,37765; 0,57695; -0,02852; 0,81628
636990528576655063; -0,51033; 2,21916; -0,37868; 0,58009; -0,02699; 0,81411
636990528579208235; -0,50983; 2,21905; -0,37902; 0,58302; -0,02839; 0,81196
636990528581779660; -0,51056; 2,21916; -0,37955; 0,58425; -0,02582; 0,81116
636990528584332741; -0,51063; 2,21974; -0,38138; 0,58704; -0,02077; 0,80929
636990528586890997; -0,51098; 2,21983; -0,38151; 0,58721; -0,01943; 0,80920
636990528589444158; -0,51070; 2,21971; -0,38137; 0,58727; -0,02176; 0,80910
636990528591997329; -0,51023; 2,21967; -0,38196; 0,58969; -0,02120; 0,80735
636990528594550495; -0,51056; 2,21985; -0,38202; 0,58905; -0,01991; 0,80785
636990528597103688; -0,51052; 2,22019; -0,38238; 0,59087; -0,01756; 0,80658
636990528599655126; -0,51053; 2,21992; -0,38248; 0,59090; -0,01801; 0,80654
636990528602208471; -0,51057; 2,22006; -0,38252; 0,59068; -0,01675; 0,80673
636990528604751665; -0,51120; 2,22014; -0,38231; 0,58976; -0,01659; 0,80741
636990528607314805; -0,51029; 2,22021; -0,38262; 0,59271; -0,01545; 0,80526
