utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636958701175008787; -0,22639; 2,21214; -0,20538; -0,11130; -0,08725; 0,98995
636958701185820940; -0,24020; 2,26198; -0,23880; 0,14144; 0,17526; 0,97431
636958701188483822; -0,24045; 2,25001; -0,21543; 0,12202; 0,08021; 0,98928
636958701191145617; -0,26856; 2,23731; -0,18453; -0,10102; 0,07524; 0,99203
636958701193818462; -0,25320; 2,25302; -0,18057; 0,01796; 0,22616; 0,97392
636958701196361670; -0,24696; 2,23933; -0,20014; 0,08747; 0,19217; 0,97745
636958701198924802; -0,25003; 2,22889; -0,22701; 0,03202; 0,18361; 0,98248
636958701201501363; -0,25661; 2,22394; -0,22425; -0,04159; 0,10892; 0,99318
636958701204084459; -0,24747; 2,22199; -0,22631; 0,00863; 0,11611; 0,99320
636958701206637115; -0,23998; 2,22465; -0,22590; -0,05211; 0,12364; 0,99096
636958701209188134; -0,23468; 2,23055; -0,21703; -0,07565; 0,12728; 0,98898
636958701211741307; -0,23255; 2,22450; -0,22394; -0,00560; 0,13479; 0,99086
636958701214314420; -0,24183; 2,22049; -0,22238; -0,04362; 0,11585; 0,99231
636958701216852862; -0,24269; 2,21814; -0,22014; 0,00745; 0,10272; 0,99468
636958701219411117; -0,24605; 2,21173; -0,19760; -0,02555; 0,01401; 0,99958
636958701221968770; -0,23623; 2,21311; -0,19184; 0,01538; 0,00990; 0,99983
636958701224521943; -0,23761; 2,21428; -0,19586; 0,00989; 0,02753; 0,99957
636958701227075178; -0,23601; 2,21437; -0,19719; 0,02926; 0,03048; 0,99911
636958701229628360; -0,23678; 2,21404; -0,19777; 0,03071; 0,02788; 0,99914
636958701232181583; -0,23445; 2,21232; -0,19385; 0,05112; 0,00388; 0,99868
636958701234734718; -0,23263; 2,21246; -0,19426; 0,05311; 0,00843; 0,99855
636958701237293099; -0,23236; 2,21203; -0,19331; 0,04486; 0,00353; 0,99899
636958701239850224; -0,23473; 2,21105; -0,18934; 0,02625; -0,01309; 0,99957
636958701242413356; -0,23385; 2,21222; -0,19169; 0,03209; 0,00189; 0,99948
636958701244956553; -0,23233; 2,21196; -0,19129; 0,03186; -0,00202; 0,99949
636958701247504802; -0,23043; 2,21210; -0,19118; 0,04138; -0,00339; 0,99914
636958701250067943; -0,22942; 2,21236; -0,19155; 0,04579; 0,00298; 0,99895
636958701252620742; -0,23130; 2,21175; -0,19016; 0,03628; -0,00377; 0,99933
636958701255184050; -0,23891; 2,21230; -0,18805; -0,00876; 0,00122; 0,99996
636958701257737224; -0,25098; 2,21969; -0,18741; -0,08876; 0,07066; 0,99354
636958701260270455; -0,24716; 2,22095; -0,18918; -0,03456; 0,09077; 0,99527
636958701262833596; -0,23796; 2,21991; -0,18134; 0,00605; 0,06902; 0,99760
636958701265387550; -0,23774; 2,21902; -0,18296; -0,00092; 0,06618; 0,99781
636958701267940729; -0,24419; 2,21579; -0,18790; 0,04886; 0,02726; 0,99843
636958701270494072; -0,25072; 2,21393; -0,20056; -0,03302; 0,01307; 0,99937
636958701273057219; -0,25621; 2,21790; -0,19161; -0,09106; 0,02106; 0,99562
636958701275610372; -0,27876; 2,21972; -0,18776; -0,27833; 0,03559; 0,95983
636958701278163563; -0,26608; 2,21657; -0,18806; -0,14330; -0,00925; 0,98964
