utc_now_ticks; pos_x; pos_y; pos_z; frwd_x; frwd_y; frwd_z
636965448356598921; -0,27086; 2,16199; -0,30944; 0,37616; 0,00218; 0,92655
636965448367619774; -0,25895; 2,15661; -0,32088; 0,42837; -0,03615; 0,90288
636965448370217902; -0,26004; 2,15656; -0,32062; 0,42263; -0,03547; 0,90561
636965448372771081; -0,25942; 2,15671; -0,32072; 0,42482; -0,03405; 0,90464
636965448375375586; -0,26056; 2,15665; -0,32179; 0,42280; -0,03184; 0,90566
636965448377932585; -0,26104; 2,15679; -0,32186; 0,40967; -0,03088; 0,91171
636965448380485755; -0,26266; 2,15677; -0,32382; 0,32668; -0,02914; 0,94469
636965448383038928; -0,25615; 2,15774; -0,33103; 0,18999; -0,02405; 0,98149
636965448385592108; -0,23900; 2,15827; -0,33801; 0,08489; -0,02322; 0,99612
636965448388152189; -0,22899; 2,15893; -0,34370; 0,03070; -0,01321; 0,99944
636965448390695620; -0,22624; 2,15920; -0,34479; -0,01645; -0,01220; 0,99979
636965448393243898; -0,22187; 2,15966; -0,34858; -0,07329; -0,00628; 0,99729
636965448395807037; -0,21521; 2,16118; -0,34935; -0,07067; 0,00419; 0,99749
636965448398360207; -0,21994; 2,16343; -0,35281; -0,07538; 0,02640; 0,99681
636965448400923360; -0,22511; 2,16411; -0,35307; -0,09467; 0,03196; 0,99500
636965448403472264; -0,22156; 2,16400; -0,35281; -0,07621; 0,02988; 0,99664
636965448406029441; -0,22071; 2,16409; -0,35301; -0,06290; 0,02976; 0,99758
636965448408582617; -0,22209; 2,16386; -0,35331; -0,06374; 0,02837; 0,99756
636965448411135796; -0,22073; 2,16397; -0,35315; -0,05820; 0,02735; 0,99793
636965448413688961; -0,22117; 2,16368; -0,35314; -0,05875; 0,02601; 0,99793
636965448416242301; -0,22079; 2,16344; -0,35295; -0,05889; 0,02417; 0,99797
636965448418795465; -0,22048; 2,16340; -0,35270; -0,05797; 0,02344; 0,99804
636965448421358610; -0,21991; 2,16294; -0,35233; -0,05632; 0,02096; 0,99819
636965448423911786; -0,21986; 2,16262; -0,35229; -0,05525; 0,01864; 0,99830
636965448426464971; -0,21958; 2,16208; -0,35209; -0,05237; 0,01654; 0,99849
636965448429005757; -0,21904; 2,16208; -0,35146; -0,05194; 0,01409; 0,99855
636965448431558378; -0,21956; 2,16164; -0,35131; -0,04995; 0,01149; 0,99869
636965448434121531; -0,21837; 2,16153; -0,35029; -0,04887; 0,00812; 0,99877
636965448436684672; -0,21809; 2,16100; -0,35002; -0,04690; 0,00582; 0,99888
